Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),Date
NITINSPIN,NITIN SPINNERS LTD,17490042723,338.5,8.91248391,13.38134316,967347,327446959.5,309.5544569,300.6826679,280.2947241,16086556000,Process Industries,5883862000,5.82924,,7-Feb-22
LSIL,LLOYDS STEELS INDU,16715789918,19.4,4.86486486,15.13353116,5510715,106907871,18.80449355,19.49773767,17.43506052,699282000,Non-Energy Minerals,-77164000,,,7-Feb-22
OMAXE,OMAXE LTD,16589078711,95.2,4.90358127,5.48476454,1288212,122637782.4,91.49323459,89.06540819,83.62908079,4757000000,Finance,-787200000,,25177300000,7-Feb-22
JYOTISTRUC,JYOTI STRUCTURES,15006580099,24.85,4.85232068,16.39344262,497155,12354301.75,22.9256567,21.9572827,20.2204018,0,Utilities,-2561883000,,50622500000,7-Feb-22
CANTABIL,CANTABIL RETAIL IN,14292371359,905.85,3.66788739,12.55591451,61216,55452513.6,834.0825485,811.7701835,756.7298218,2516438000,Retail Trade,784193000,14.1123,12402200000,7-Feb-22
PRECWIRE,PRECISION WIRES IN,12756441246,112.95,4.19741697,0.3553976,203432,22977644.4,109.4444575,103.0524232,87.50032413,17185974000,Producer Manufacturing,1122434000,5.17675,5113780000,7-Feb-22
EXCELINDUS,EXCEL INDUSTRIES,11651774780,986.5,6.76984685,10.43940666,70747,69791915.5,923.0001026,916.5187398,918.6691018,7465678000,Process Industries,1392401000,8.03819,12360100000,7-Feb-22
URJA,URJA GLOBAL LTD,11645736445,21.1,4.97512438,4.45544554,3243380,68435318,21.40106377,22.35433071,19.54979177,1484595154,Utilities,6922000,,,7-Feb-22
BAJAJHCARE,BAJAJ HEALTHCARE LTD,11326383239,426.05,3.32242027,5.39270254,54197,23090631.85,422.2322285,422.9526508,403.6681903,6569838000,Health Technology,1279145000,5.79997,,7-Feb-22
GANESHHOUC,GANESH HOUSING CP,10722486250,214.95,3.74034749,15.25469169,216977,46639206.15,198.9123371,198.6575708,198.7082576,1671532245,Consumer Durables,1073899000,,,7-Feb-22
BHAGERIA,BHAGERIA INDUSTRIE,10616446857,259.4,6.59543867,7.50103605,242195,62825383,245.3429883,245.6743349,250.0821476,4007370000,Process Industries,1168728000,6.26294,,7-Feb-22
ARSHIYA,ARSHIYA LTD,10373012018,43.35,9.88593156,19.91701245,1325458,57458604.3,38.54727636,37.59664932,35.64856279,2280841000,Commercial Services,806386000,29.1454,26330200000,7-Feb-22
MEDICAMEQ,MEDICAMEN BIOTECH LTD,10076861770,870.4,5.26697708,7.72277228,24372,21213388.8,839.2295,845.9949673,797.237356,1127160827,Health Technology,218609000,33.3388,7307860000,7-Feb-22
ZEEMEDIA,ZEE MEDIA CORP,9500261857,16.7,9.86842105,12.45791246,12795467,213684298.9,15.11981465,14.94948065,14.23616828,6490650000,Consumer Services,2161300000,3.06634,9469700000,7-Feb-22
UTTAMSUGAR,UTTAM SUGAR MILLS,8670702396,250.25,10.24229075,19.67957915,1535903,384359725.8,221.5150662,215.3472054,202.453227,18185903000,Process Industries,2269200000,5.27725,11512000000,7-Feb-22
ISMTLTD,ISMT LTD,8123501261,58.45,4.93716338,22.66526758,265823,15537354.35,52.43288658,52.32600445,50.27502153,12488200000,Non-Energy Minerals,870700000,125.403,13668700000,7-Feb-22
HTMEDIA,HT MEDIA LTD,8076366405,37,6.47482014,14.9068323,6116765,226320305,32.5619679,30.89878404,28.79133513,11172900000,Consumer Services,252600000,,,7-Feb-22
BALAJITELE,BALAJI TELEFILMS,7417917602,76.85,4.70027248,22.96,4675026,359275748.1,66.80601646,64.9588521,63.554706,2937044000,Consumer Services,-1342070000,,6370670000,7-Feb-22
AGARIND,AGARWAL INDUSTRIAL,7295874211,575.7,4.04843665,5.03557745,92469,53234403.3,543.1491419,517.965736,467.7268169,9039023000,Distribution Services,902668000,3.72465,5554340000,7-Feb-22
NDTV,NEW DELHI TELEVISI,7294924039,120.8,6.94997787,8.82882883,254010,30684408,114.7624811,114.7986411,109.9446823,3576290000,Consumer Services,599000000,5.41788,6024130000,7-Feb-22
LIKHITHA,LIKHITHA INFRASTRUC LTD,6995471265,371.1,4.50577302,6.14988558,448355,166384540.5,353.6237148,350.6841159,350.0241339,1906217079,Industrial Services,567864000,13.9617,6604880000,7-Feb-22
NAHARINDUS,NAHAR IND ENTERPRI,6309885969,190.35,19.98109045,34.09651286,682792,129969457.2,155.5632551,148.2557877,136.8761017,13968888000,Process Industries,2296386000,13.3483,9495090000,7-Feb-22
JINDRILL,JINDAL DRILLING,5999088507,215.95,4.3236715,40.45528455,1057242,228311409.9,178.6653296,166.0070221,151.9201533,3978553000,Industrial Services,759525000,8.78539,,7-Feb-22
ARTEMISMED,ARTEMIS MEDICARE,5763598786,46.35,6.30733945,0.32467532,692828,32112577.8,44.59305545,44.27381741,42.19643187,4075486000,Health Services,706309000,11.4316,,7-Feb-22
TRIL,TRANSFORM & RECTIF,5733397419,44.65,3.47624565,34.48795181,3014809,134611221.9,38.78416463,36.71274898,34.00950567,7389269000,Producer Manufacturing,773200000,6.7444,6056860000,7-Feb-22
KOTHARIPET,KOTHARI PETROCHEM,5722812147,101.1,3.95886889,1.1,335094,33878003.4,99.9702969,95.24601486,81.02905914,2280340000,Process Industries,482039000,3.79386,,7-Feb-22
ZUARI,ZUARI AGRO CHEMICA,5578994277,139.95,5.34437335,17.7039529,401850,56238907.5,126.2695989,123.2244334,119.7344239,24037450000,Process Industries,,9.79318,,7-Feb-22
VIKASECO,VIKAS ECOTECH LIMI,5383198635,5.95,4.38596491,-5.55555556,15207986,90487516.7,5.73237138,5.24194412,4.12282572,1161777304,Process Industries,114030000,45.7428,,7-Feb-22
KRISHANA,KRISHANA PHOSCHEM LTD,5241622239,212.2,19.98869098,21.50014314,67966,14422385.2,181.8621141,177.5375399,172.9213234,1477831000,Process Industries,,,,7-Feb-22
NRL,NUPUR RECYCLERS LTD,5140720000,258.4,4.55189156,-9.6345515,184000,47545600,254.4646474,228.8432596,,1039349000,Non-Energy Minerals,,,,7-Feb-22
INDSWFTLAB,IND SWIFT LABS,4986931130,88,4.14201183,15.78947368,589694,51893072,81.91028035,79.98788976,76.63588185,8913445000,Health Technology,1973884000,7.58425,12942700000,7-Feb-22
TCPLPACK,TCPL PACKAGING LTD,4923100206,566.3,4.52196382,4.57987073,54470,30846361,543.3598938,538.5311902,530.8541941,8915808000,Commercial Services,1391369000,6.05307,8701370000,7-Feb-22
ZUARIGLOB,ZUARI GLOBAL LTD,4541213052,163.8,6.01941748,13.90820584,216298,35429612.4,153.3719009,151.6793362,146.9141894,8020469000,Process Industries,471799000,76.5285,24126900000,7-Feb-22
MAGADSUGAR,MAGADH SUGAR & ENE,4502275779,348.65,9.07242296,15.35153019,544495,189838181.8,313.0804156,303.3176869,288.6062069,9282479000,Process Industries,1150684000,8.08213,,7-Feb-22
RANASUG,RANA SUGARS LTD,4438110093,30.85,6.93240901,8.05604203,4281941,132097879.9,28.98553329,28.60353166,27.57938129,12220737000,Process Industries,2041560000,2.19394,5274460000,7-Feb-22
ORIENTABRA,ORIENT ABRASIVES,4342903084,37.45,3.0261348,27.59795571,3598186,134752065.7,32.39519396,31.42097841,30.14927439,3021678000,Non-Energy Minerals,260637000,8.52707,3567970000,7-Feb-22
MBAPL,MADHYA BHARAT AGRO P. LTD,4255383541,233.1,20,21.7232376,62285,14518633.5,197.2494208,189.7595661,182.8708633,1311025000,Process Industries,498565000,,5084230000,7-Feb-22
VISHWARAJ,VISHWARAJ SUGAR IND LTD,4131159973,23.9,8.63636364,-0.62370062,20964903,501061181.7,23.2427923,24.12213231,26.48918237,4101001000,Process Industries,779343000,16.9707,8355650000,7-Feb-22
UGARSUGAR,UGAR SUGAR WORKS,3881250000,41.4,20,25.0755287,3020457,125046919.8,34.85766303,33.72164887,31.92778956,9099554000,Process Industries,758823000,35.4491,6340390000,7-Feb-22
ROHITFERRO,ROHIT FERRO-TECH,3874076643,35.45,3.65497076,13.80417335,904997,32082143.65,35.05693464,37.22608887,33.95823128,6341234000,Producer Manufacturing,-466817000,,13517300000,7-Feb-22
ADVANIHOTR,ADVANI HOTELS & RE,3866239991,91.25,8.82528324,8.76042908,309763,28265873.75,83.91803607,81.96629791,79.84363555,273902025,Consumer Services,5265000,,3718880000,7-Feb-22
MAWANASUG,MAWANA SUGARS LTD,3360138613,97.1,13.03841676,15.87112172,1327467,128897045.7,86.49477051,84.7670059,82.95737572,14061140000,Consumer Non-Durables,927000000,9.25654,6244830000,7-Feb-22
