Ticker,Description,Market Capitalization,Price,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
LGBFORGE,LGB FORGE LTD,2205754916,9.7,4.86486486,10.22727273,349235,3387579.5,9.05901805,9.02370091,9.07357329,9.39541857,1162197000,Producer Manufacturing,-56561000,,
IVP,IVP LTD,1591277110,161.7,4.86381323,10.0374277,54843,8868113.1,150.40419765,151.70232436,156.41822515,151.11123249,6607000000,Process Industries,363800000,4.37404373,
AVROIND,AVRO INDIA LTD,1110120000,115.3,4.77055884,2.99240732,66232,7636549.6,111.77766152,112.11767111,116.14524962,119.20846834,800130000,Consumer Durables,58376000,19.0167192,
JAICORPLTD,JAI CORP LTD,41427027552,243.25,4.7588286,4.80395929,6913583,1681729064.75,225.68400788,212.69272472,193.27717014,164.86773782,5943263000,Process Industries,417500000,99.2264133,
AVADHSUGAR,AVADH SUGAR ENERGY,11021140482,577.7,4.74118584,9.98572109,242574,140134999.8,547.55704274,548.07912817,542.99681105,518.33256305,27980149000,Process Industries,2634115000,4.18400126,
CARTRADE,CARTRADE TECH LTD,24626343912,550.05,4.71159537,6.60916549,382271,210268163.55,521.59601292,516.56780209,504.55602402,510.60988772,3637392000,Technology Services,360193000,68.36985703,
ACCURACY,ACCURACY SHIPPING LTD,1287290000,8.95,4.67836257,0,276981,2478979.95,8.77083346,9.12300928,10.03370341,13.84404729,8773400000,Transportation,,,
SETCO,SETCO AUTOMOTIVE,1001916844,7.85,4.66666667,17.1641791,116886,917555.1,7.15099952,7.01659532,6.95883731,8.37369943,5455700000,Producer Manufacturing,386600000,2.59161108,
GOLDSTAR,GOLDSTAR POWER LTD,1299807033,5.65,4.62962963,14.14141414,22500,127125,5.03400766,5.1795122,5.68470993,4.31863201,499830000,Producer Manufacturing,59331000,24.11301062,
DBOL,DHAMPUR BIO ORGANICS LTD,10489200000,165.2,4.62318585,6.85639671,782640,129292127.99999999,157.9583262,159.55548072,163.02609278,166.24822007,24071400000,Process Industries,2133891999.9999995,4.91552525,
RTNPOWER,RATTANINDIA POWER,35227894771,6.8,4.61538462,16.23931624,190423393,1294879072.3999999,5.75973532,5.40174222,4.94298318,4.2635436,32311600000,Utilities,6755000000,5.21508435,
HFCL,HFCL LTD,100300817388,76.2,4.59849292,12.47232472,37626302,2867124212.4,71.26253005,69.71133871,67.96428018,68.0730549,47433100000,Electronic Technology,6545300000,15.32409781,
OLECTRA,OLECTRA GREENTECH,97979768470,1248.95,4.5759022,3.21900826,1690216,2110995273.2,1201.94652258,1185.67278559,1116.105276,836.65015273,10907608000,Consumer Durables,1472007000,66.56202618,
BECTORFOOD,MRS BECTORS FOOD SPE LTD,60352609010,1073.3,4.55918169,2.9149487,599989,643968193.6999999,1049.69577004,1021.75359735,933.17107432,691.49766807,13621390000,Consumer Non-Durables,2018680000,29.89706591,
ARROWGREEN,ARROW GREENTECH LI,4902825738,337.6,4.52012384,5.61552028,21788,7355628.8,322.6799514,325.51019939,324.46070529,261.11861716,1087700000,Process Industries,418109000,11.72619039,
DHANI,DHANI SERVICES LTD,27917638119,48.6,4.51612903,18.10449001,5010655,243517833,44.44762777,43.03250894,39.9399089,41.95493523,7380541000,Finance,-2455100000,,
TARC,ANANT RAJ GLOBAL LTD,26254700000,92.9,4.49943522,-0.85378551,1643334,152665728.60000002,88.23283202,84.46358754,75.80559246,57.33576606,3746639000,Finance,1502245000,17.47697613,
ARSHIYA,ARSHIYA LTD,1209354380,4.65,4.49438202,20.77922078,49996,232481.4,4.19590181,4.1723858,4.44960834,7.41398039,1425766000,Commercial Services,,,
GREAVESCOT,GREAVES COTTON LTD,33396394899,150.55,4.47605104,9.93063162,4772076,718436041.8000001,141.00458422,138.65807337,137.57405148,140.25709371,26994500000,Producer Manufacturing,814400000,41.00736112,
UTTAMSUGAR,UTTAM SUGAR MILLS,14038643147,385.8,4.4679151,8.26434381,406137,156687654.6,364.82592756,358.82577424,342.36668683,295.36603908,20588693000,Process Industries,2448100000,8.11981951,14634100000
GPIL,GODAWARI POWER,80567793823,619.3,4.46150306,3.52724668,1601570,991852300.9999998,592.62843459,582.68330873,543.86865098,434.20449221,57530381000,Non-Energy Minerals,9770300000,8.24619447,
BLKASHYAP,B.L. KASHYAP & SON,11450097930,53,4.43349754,6.21242059,1869664,99092192,50.37501026,48.41916377,45.33154197,37.61132692,11099761000,Industrial Services,904428000,12.66004362,
SCHNEIDER,SCHNEIDER ELECTR,81558387601,356,4.42945452,4.64432379,2358935,839780860,339.04495507,325.65970827,296.06541104,223.89967775,17745050000,Distribution Services,1882400000,43.32681024,
DRCSYSTEMS,DRC SYSTEMS INDIA LTD,1814911070,42.55,4.41717791,3.02663688,74708,3178825.4,40.62773811,40.18429506,39.45187194,37.21025678,256252000,Technology Services,63030000,28.7944006,
RAJMET,RAJNANDINI METAL LTD,2515970000,9.5,4.3956044,6.1452514,423463,4022898.5,9.05868556,9.02570396,9.23557232,13.48695602,10288800000,Non-Energy Minerals,218088000,11.53648986,
BHARATWIRE,BHARAT WIRE ROPES,15314158188,235.2,4.37097385,13.84316971,947726,222905155.2,220.02250293,215.06772075,202.83392043,158.12776671,5886064000,Producer Manufacturing,1548015000,9.89277119,
RAILTEL,RAILTEL CORP OF IND LTD,64348152313,209.35,4.36190905,23.83910086,16283573,3408966007.5499997,186.1684153,177.45013039,160.92322904,133.02421175,19635100000,Communications,3836300000,16.77349329,
RSSOFTWARE,RS SOFTWARE (I),1337860929,55.05,4.36018957,6.89320388,138081,7601359.05,51.02470332,48.59030363,43.42079272,34.28845995,301267000,Technology Services,7676000,166.55379482,877160000
ANGELONE,ANGEL ONE LTD,150328595884,1869.85,4.33848558,5.94050992,1637125,3061178181.25,1774.91555734,1733.38441477,1648.46479876,1453.59968235,30077960000,Finance,12825110000,11.72142741,
MAZDA,MAZDA LTD,3910081563,1013.45,4.32343297,9.58585759,6070,6151641.5,944.36635534,928.90906016,899.03789445,774.17479321,1907322000,Producer Manufacturing,384907000,10.15850988,
MSUMI,MOTHERSON SUMI WRNG IND L,262967496472.00003,62.1,4.28211762,3.58632021,12081637,750269657.7,60.09949263,59.86817689,58.95502809,55.85184212,70566000000,Producer Manufacturing,7631400000,34.45861788,
TEJASNET,TEJAS NETWORKS LTD,141586218828,871.1,4.27964576,1.8770844,2620089,2282359527.9,843.28557756,834.03239222,798.44088305,683.68871497,9195700000,Electronic Technology,-249100000,,115905000000
EQUITASBNK,EQUITAS SMALL FIN BNK LTD,96759417806,90.5,4.26266921,6.22066102,10905439,986942229.5,86.41903916,87.10134189,87.62054046,75.23429245,48315050000,Finance,,,119770000000
MOIL,MOIL LTD,46486196571,238.55,4.21581932,8.67881549,2737210,652961445.5,222.39672169,214.24375796,197.69721099,173.19054004,13390562000,Non-Energy Minerals,3448166000,13.48142652,
COCHINSHIP,COCHIN SHIPYARD LTD,114407254215,905.7,4.19926249,3.74570447,7329876,6638668693.200001,843.38478654,796.08846792,709.26569745,572.00987139,23645548000,Producer Manufacturing,2956360000,38.69868832,
GET_D,GE T&D INDIA LTD,81486811134,330.7,4.14108342,-5.29782631,794923,262881036.1,332.72259125,318.73545008,279.0439178,197.02309965,27732200000,Producer Manufacturing,1242100000,65.60406661,
FINPIPE,FINOLEX INDUSTRIES,142554574371,239.55,4.10690551,10.87711178,1928489,461969539.9500001,222.4425932,213.89940865,199.65901424,179.02726623,43844300000,Producer Manufacturing,3191000000,44.67394998,
PARACABLES,PARAMOUNT COMMUNIC,13496976312,59.65,4.10122346,7.09156002,624594,37257032.1,55.97795228,52.60030632,46.34553146,36.08960928,7964665000,Producer Manufacturing,569414000,23.70327444,
SHARDAMOTR,SHARDA MOTOR INDUS,29642435434,1032.6,4.07700239,22.63657957,498991,515258106.6,906.0963626,879.53960778,844.29569465,772.01410568,26999358000,Producer Manufacturing,2892364000,10.24851486,
GRAVITA,GRAVITA INDIA LTD,51878538659,782.05,4.05828094,4.27333333,935827,731863505.3499999,747.88399889,728.41077263,682.14761807,549.61494718,27897000000,Non-Energy Minerals,2581400000,20.09705534,
SIMBHALS,SIMBHAOLI SUGARS L,1076143997,27.1,4.03071417,0.55658254,273812,7420305.2,25.94889654,25.4799715,24.96675639,23.94049497,12327340000,Process Industries,110502000,9.73868344,
EIMCOELECO,EIMCO ELECON INDIA,4796123723,864.9,4.02309094,17.67346939,17170,14850333,781.35871442,760.42112916,715.22598733,559.4031367,1726970000,Producer Manufacturing,283618000,16.91050541,
HTMEDIA,HT MEDIA LTD,5527772274,24.6,4.01691332,2.92887029,1452978,35743258.80000001,23.80146835,23.3468014,22.15679437,20.75833853,15003800000,Consumer Services,-773300000,,
KERNEX,KERNEX MICROSYSTEM,6182222808,410.7,4.01417997,-5.01849919,69157,28402779.9,402.90296656,388.06344682,357.22180329,304.37192668,40396000,Electronic Technology,-151145000,,
KIRLOSENG,KIRLOSKAR OIL ENGI,67479695104,483.9,3.96390366,2.86990015,1686487,816091059.3,471.72892869,465.57384026,444.3482334,375.03169449,50036400000,Producer Manufacturing,8251700000.000001,8.17767189,
MAHSEAMLES,MAHARASHTRA SEAML,69233488969,537.75,3.96326728,6.29571272,969600,521402400,511.67423502,501.74059423,485.45011348,422.01160195,57127457000,Non-Energy Minerals,10614000000,6.52284614,
SUPRIYA,SUPRIYA LIFESCIENCE LTD,21633774506,280.15,3.93248392,4.35834962,703223,197007923.45,270.60678656,267.87162249,259.10254723,259.42029308,4609380000,Health Technology,1651230000,13.10161183,
INTELLECT,INTELLECT DESIGN A,96304220244,735,3.8869258,5.03001007,1554729,1142725815,702.58930742,690.32927988,653.45185472,568.42373537,22312520000,Technology Services,4648890000,20.71553,
MANAPPURAM,MANAPPURAM FINANCE,126028176890,154.6,3.8280795,8.37715446,38552548,5960223920.8,147.05870675,144.35649315,137.06275058,124.06782842,66716100000.00001,Finance,28522400000,4.41856845,
GLS,GLENMARK LIFE SCIENCE LTD,75060140293,635.65,3.79653482,-0.79594226,542133,344606841.45,627.84767764,629.74224057,612.58092988,527.24674997,21612200000,Health Technology,6886860000,10.89903676,
TIRUPATI,SHREE TIRUPATI BAL,1874057431,192,3.78378378,6.66666667,2000,384000,167.7955906,153.40745062,141.01151754,102.9817241,1762494000,Process Industries,,,
TEGA,TEGA INDUSTRIES LTD,63734327118,995.4,3.75234305,9.26454446,381166,379412636.4,956.94950699,968.64984309,959.97918095,791.28835675,12061470000,Distribution Services,2635740000,24.18080961,
GHCL,GHCL,57236771407,621.5,3.73028111,19.93438595,1228528,763530152,560.91874055,545.0153095,529.95600281,526.49637509,45454200000,Process Industries,14478900000,3.95311601,
PTCIL,PTC INDUSTRIES LTD,78576325411,5997.95,3.71424057,-0.03416667,45444,272570839.8,5788.47101387,5473.29875414,4769.70056786,,2192621000,Producer Manufacturing,675073000,116.39678288,
SAREGAMA,SAREGAMA INDIA LTD,73634296509,396.75,3.71193579,0.40491207,304768,120916704,389.46302813,393.24911856,390.51087655,370.75948941,7366212000,Consumer Services,2182800000,30.38816956,71281700000
RCOM,RELIANCE COMM LTD,3816435470,1.4,3.7037037,12,10165223,14231312.2,1.31787007,1.30271376,1.30185557,1.6794729,4790000000,Communications,140000000,27.26025336,
MCX,MULTI COMMODITY EX,83030440572,1688.25,3.63401983,5.71383845,1345221,2271069353.25,1613.24637869,1604.55500469,1584.79700637,1509.72654231,5811700000,Finance,1896800000,43.77395644,
MASTEK,MASTEK,70147979187,2374.65,3.62862754,9.63296399,208030,493998439.5,2233.5646158,2172.66776747,2082.92221967,1934.69410767,25550700000,Technology Services,4739200000,14.8016499,
LINDEINDIA,LINDE INDIA LTD,515611353652,6268.25,3.61171949,5.17462511,199867,1252816322.75,5826.68459159,5509.69490466,5010.95358218,4161.86785007,25070400000,Process Industries,6617690000,77.91409898,
STYLAMIND,STYLAM INDUSTRIES LTD,28166829134,1723.6,3.60975023,6.7905824,44737,77108693.2,1655.53790585,1632.73386316,1591.08946624,1368.95818177,9521339000,Non-Energy Minerals,1612497000,17.29418978,26603900000
PERSISTENT,PERSISTENT SYSTEMS,398271503288,5370.7,3.56351074,6.87960199,693331,3723672801.7,5113.13351177,5020.98687942,4926.88733771,4595.1209686,83505920000,Technology Services,15492660000,25.51737166,382306000000
ATULAUTO,ATUL AUTO LTD,13620711484,591.45,3.5270454,28.89832998,2242961,1326599283.45,492.0351395,445.98007343,400.37919478,342.78710351,3116500000,Consumer Durables,212800000,64.00710284,
KICL,KALYANI INVESTMENT,10544397555,2493.85,3.52651017,-1.03769841,9829,24512051.65,2404.56993337,2308.7339121,2121.76306802,1908.29719743,534850000,Finance,535669999.99999994,19.68450269,
HINDWAREAP,HINDWARE HME INOVATON LTD,40858309031,585.9,3.51590106,6.14130435,596906,349727225.4,562.63615582,566.22021393,555.19535432,467.22734391,28732700000,Producer Manufacturing,2480100000,16.47446032,
SOUTHWEST,SOUTH WEST PINNACL,3494775722,129.65,3.51297405,2.61179264,10624,1377401.6,126.67705494,129.24423405,133.85823983,136.18616404,1242627000,Energy Minerals,188998000,18.49107251,
BIKAJI,BIKAJI FOODS INTERN LTD,120002000000,498.2,3.51132565,3.0616488,1189856,592756367.1999999,484.3070218,479.77376231,458.34801798,,19655979000,Consumer Non-Durables,2447570000,49.02903696,
SPANDANA,SPANDANA SPHOORTY FIN LTD,56743298409,827.95,3.50021747,-0.12665862,487338,403491497.1,812.64551943,807.64997014,773.41878028,658.56666434,14382880000,Finance,6848850000,8.28508412,
PIONEEREMB,PIONEER EMBROID LTD,1358876773,51.9,3.48952728,-8.94736842,85624,4443885.6,50.9865118,48.54404311,44.11616858,40.71185445,2966426000,Consumer Non-Durables,135793000,10.00697218,
STLTECH,STERLITE TECHNOLOGIES LTD,66139747698.00001,171.55,3.43683428,9.7568778,10318694,1770171955.7,158.26097825,155.46322869,153.52107999,160.79947642,68460000000,Technology Services,8860000000,7.46498281,
EMKAY,EMKAY GLOBAL FIN,2075692938.0000005,87.4,3.43195266,1.62790698,119487,10443163.8,83.50903781,81.60518647,78.69102336,76.38571253,2143837000,Finance,137061000,15.14430026,
ZENTEC,ZEN TECHNOLOGIES,68210317836,840.5,3.41433405,-1.00117786,747494,628268707,814.07759931,778.68546854,661.96225964,420.2245245,2188462000,Technology Services,1307299000,52.17652414,
ELECON,ELECON ENGINEERING,96009512644,883,3.41395101,3.75418722,569820,503151060,849.21289398,825.90196814,750.39322669,548.7096839,15264644000,Producer Manufacturing,3739530000,25.67421912,
SUPRAJIT,SUPRAJIT ENG LTD,56630250902,423.1,3.38423946,8.25124451,600031,253873116.10000005,402.56431273,403.68284854,404.41596141,378.11278879,27523550000,Producer Manufacturing,3181550000,17.79957911,
BEPL,BHANSALI ENG POLYM,22419657703,93.1,3.32963603,5.79545455,3968588,369475542.7999999,88.82503615,88.27208111,88.0781615,83.00602704,13625566000,Process Industries,1953432000,11.47706073,
ORIENTCER,ORIENT CERATECH LTD,3786580822,32.7,3.31753555,0.30675462,52868,1728783.6,32.11077157,32.65912697,,,3022075000,Non-Energy Minerals,256360000,14.77056024,
GNA,GNA AXLES LTD,21301189856,1025.25,3.31536461,-1.41826923,212789,218161922.25,1010.17826979,998.77980741,949.96164883,827.45697479,15829337000,Producer Manufacturing,2413717000,8.8250569,
KRISHCA,KRISHCA STRAPPING,2380000000,281,3.30882353,-4.38924479,18000,5058000,270.21208826,250.09171215,205.09671178,,723000000,Producer Manufacturing,,,
NAZARA,NAZARA TECHNOLOGIES LTD,49746376032,776.95,3.30408465,9.29103645,1924575,1495298546.25,730.40492436,712.42745379,687.59465382,644.89758599,10910000000,Technology Services,1040200000,47.82385698,
VIPCLOTHNG,VIP CLOTHING LTD,3781268910,47,3.2967033,7.67468006,599667,28184349,44.6791183,44.38890955,44.91753963,42.78436392,1995329000,Consumer Non-Durables,148119000,25.52858789,
BSOFT,BIRLASOFT (INDIA),135804595861.00002,509.7,3.29313804,8.56230032,4220220,2151046134,482.27349427,463.34059199,420.53666698,351.68728635,47947690000,Technology Services,5437900000,22.77875574,88396200000
