Name,BSE Code,NSE Code,Industry,Current Price,Net worth,Market Capitalization,Debt,EVEBITDA,Price to Earning,Dividend yield,Dividend last year,Sales latest quarter,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year
Maiden Forgings,543874,,Steel - Medium / Small,115.80,64.95,164.58,61.66,9.99,17.13,0.00,0.00,115.50,10.50,,,,,,,,4.18,,,,,,,,,,,,,,,108.45,9.91,,,,,,,,,4.13,,220.81,21.98,0.33,22.31,3.52,5.48,13.31,3.70,9.61,0.00,9.61
Maithan Alloys,590078,MAITHANALL,Mining / Minerals / Metals,1238.55,2908.71,3607.81,13.70,7.06,12.34,0.48,17.47,443.65,32.49,59.56,92.05,5.29,0.13,86.63,24.62,0.00,62.01,19.12,7.32,403.66,40.61,44.41,85.02,5.20,0.17,79.65,20.01,59.60,0.00,59.64,10.06,689.55,105.54,39.02,155.98,5.11,0.29,139.16,29.98,118.14,-11.42,109.18,15.31,2882.72,589.40,72.39,679.83,20.21,4.78,636.80,137.81,513.11,-18.04,498.99
Maitreya,,MAITREYA,Healthcare,127.25,11.24,86.23,5.21,11.73,20.48,0.00,0.00,24.28,4.42,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,38.38,7.16,0.52,7.71,1.27,0.57,5.84,1.65,4.21,-0.03,4.19
Majestic Auto,500267,,Construction,258.05,503.36,268.37,153.92,6.47,10.38,2.91,7.80,39.60,30.59,6.60,37.19,2.19,3.84,31.16,8.01,0.00,23.14,100.00,77.25,13.32,5.57,3.81,9.38,2.15,3.54,3.69,1.19,2.38,0.00,2.50,41.82,12.23,6.75,3.76,10.51,2.18,3.47,4.86,1.29,3.30,0.00,3.57,55.19,49.58,24.66,11.45,36.11,8.80,13.71,13.60,8.88,3.78,0.00,4.72
Makers Labs.,506919,,Pharmaceuticals - Indian - Formulations,130.15,65.74,76.80,15.08,32.89,,0.00,0.00,25.06,0.20,0.41,0.61,1.13,0.49,-1.01,0.11,0.00,-1.13,54.63,0.80,25.01,-0.22,0.33,0.11,1.11,0.41,-1.41,0.26,-1.66,0.00,-1.66,-0.88,26.50,1.63,0.88,2.51,1.03,1.07,0.41,0.34,0.07,0.00,0.07,6.15,101.19,3.32,2.28,5.58,4.24,2.20,-0.84,1.35,-2.21,0.02,-2.19
Maks Energy,,MAKS,Electric Equipment,94.50,16.26,65.53,16.39,26.64,81.91,0.00,0.00,30.88,1.04,,,,,,,,0.20,,,24.03,1.57,,,,,,,,,0.60,,20.30,0.51,,,,,,,,,-0.24,,44.33,2.08,0.38,2.46,0.04,1.89,0.53,0.17,0.36,0.00,0.36
Mallcom (India),539400,MALLCOM,Textiles - Products,1072.20,219.37,671.04,81.15,10.82,17.68,0.28,1.87,108.32,15.40,0.98,16.38,2.98,0.97,12.43,3.28,0.00,9.15,39.64,14.22,94.47,14.15,0.91,15.06,2.41,1.12,11.53,3.01,8.52,0.00,8.52,14.98,110.65,15.47,0.08,15.55,2.16,0.35,13.04,3.56,9.39,0.00,9.48,13.98,410.55,58.48,3.15,61.57,8.27,2.46,50.90,13.96,36.90,0.06,36.94
Malu Paper,532728,MALUPAPER,Paper,41.80,6.56,71.63,125.83,22.79,,0.00,0.00,68.15,4.11,0.00,4.11,1.25,2.62,0.24,0.06,0.00,0.17,35.55,6.03,70.00,4.14,0.00,4.14,1.25,2.58,0.31,0.05,0.26,0.00,0.26,5.91,65.43,-4.14,0.00,-4.14,1.26,2.09,-7.49,-1.95,-5.55,0.00,-5.55,-6.33,233.87,-0.95,0.66,-0.29,5.03,8.67,-13.99,-3.54,-10.45,0.00,-10.45
Man Industries,513269,MANINDS,Steel - Medium / Small,267.60,1171.80,1613.97,208.69,5.85,14.22,0.75,12.02,1018.00,69.63,21.18,90.81,14.85,21.88,54.08,15.04,0.00,39.04,20.37,6.84,490.42,46.85,3.58,50.43,15.20,20.84,14.39,3.18,11.21,0.00,11.21,9.55,465.08,15.33,1.98,17.31,11.22,9.22,-3.13,1.96,-5.09,0.00,-5.09,3.30,2231.34,137.20,39.56,165.25,45.35,41.03,90.38,22.38,59.34,11.51,68.00
Man Infra,533169,MANINFRA,Construction,209.95,1219.60,7794.40,216.70,15.15,24.83,0.51,33.41,215.29,64.11,27.56,91.67,2.33,6.46,82.88,17.77,0.00,65.12,90.77,29.78,509.66,109.07,16.36,125.43,2.40,9.27,113.76,26.70,82.44,0.00,87.06,21.40,401.26,93.94,13.57,107.51,2.84,14.76,89.91,26.85,53.28,0.00,63.05,23.41,1890.35,413.96,52.76,465.15,11.24,58.47,397.01,108.06,257.55,1.57,288.95
