Name,BSE Code,NSE Code,Industry,Current Price,Net worth,Market Capitalization,Debt,EVEBITDA,Price to Earning,Dividend yield,Dividend last year,Sales latest quarter,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year
Godfrey Phillips,500163,GODFRYPHLP,Cigarettes,2102.50,3790.93,10931.72,346.63,10.69,13.62,2.09,228.80,1157.64,223.60,38.00,261.60,36.48,6.60,218.52,55.51,0.00,202.06,42.76,19.32,1046.48,252.85,52.69,305.54,36.77,6.75,262.02,41.05,254.44,0.00,254.44,24.16,1019.29,240.69,43.09,283.78,39.05,6.75,237.98,59.79,201.81,0.00,201.81,23.61,3562.49,803.55,251.67,925.56,153.63,29.01,872.58,182.16,588.28,129.66,690.43
Godrej Agrovet,540743,GODREJAGRO,Food - Processing - Indian,560.20,2365.63,10765.74,1563.59,16.12,31.00,1.70,182.55,2570.87,201.44,20.15,221.59,52.89,27.94,140.76,36.83,0.00,103.93,23.71,7.84,2510.19,192.90,31.77,224.67,52.79,29.46,142.42,35.34,105.32,0.00,107.08,7.68,2445.33,150.29,13.04,163.33,46.11,25.71,91.51,21.89,69.62,0.00,69.62,6.15,9373.68,522.79,139.48,592.82,185.47,99.12,377.68,82.32,241.05,69.45,295.36
Godrej Consumer,532424,GODREJCP,Personal Care - Indian,1050.35,14499.86,107472.35,3274.76,37.35,58.50,0.48,0.00,3601.95,704.17,53.39,770.10,60.88,77.31,619.37,186.60,-12.54,432.77,54.89,19.55,3448.91,642.84,-12.67,711.95,76.29,74.00,479.88,161.06,373.15,-81.78,318.82,18.64,3391.92,542.11,17.20,581.98,53.32,48.25,457.74,98.88,376.63,-22.67,358.86,15.98,13315.97,2443.20,114.30,2562.22,236.29,188.48,2132.73,430.27,1706.23,-4.72,1702.46
Godrej Industrie,500164,GODREJIND,Chemicals,692.45,8224.11,23307.25,25272.50,14.28,26.48,0.00,0.00,3937.61,265.51,397.30,662.81,89.30,333.11,240.40,75.90,0.00,164.50,49.85,6.74,4505.66,241.65,532.49,774.14,85.57,302.71,385.86,94.45,178.06,0.00,291.41,5.36,4021.04,220.43,302.04,522.47,75.63,223.24,223.60,4.37,156.18,0.00,219.23,5.48,16740.25,1510.22,1417.58,2705.80,304.52,942.70,1680.58,259.94,847.56,222.00,1420.64
Godrej Propert.,533150,GODREJPROP,Construction,1976.60,9458.71,54966.98,10262.47,54.14,83.25,0.00,0.00,343.00,-95.29,262.11,166.82,7.39,48.01,111.42,38.78,0.00,72.64,52.82,-27.78,936.09,-149.20,378.72,229.52,6.93,29.67,192.92,59.23,124.94,0.00,133.69,-15.94,165.09,-109.66,204.11,94.45,5.61,40.57,48.27,-18.76,54.96,0.00,67.03,-66.42,2252.26,206.90,786.74,865.86,24.14,174.23,795.27,174.67,483.14,127.78,620.60
Goel Food,543538,,Food - Processing - Indian,144.50,18.80,54.48,31.34,8.64,13.03,0.00,0.00,10.26,3.62,,,,,,,,1.61,,,14.18,5.41,,,,,,,,,2.57,,8.36,2.50,,,,,,,,,1.45,,21.84,7.96,1.22,9.18,1.05,2.68,5.45,1.43,4.03,0.00,4.03
Gogia Capital,531600,,Finance & Investments,102.00,54.82,64.47,1.81,7.96,9.83,0.00,0.00,1.39,0.10,0.52,0.62,0.09,0.01,0.52,0.00,0.00,0.52,100.00,7.19,7.13,6.65,0.12,6.77,0.05,0.26,6.46,0.00,6.46,0.00,6.46,93.27,0.87,0.18,0.35,0.53,0.04,0.29,0.20,0.05,0.15,0.00,0.15,20.69,2.61,0.91,2.07,1.49,0.18,1.93,0.87,0.18,-0.58,1.49,0.69
Gokak Textiles,532957,,Textiles - Cotton/Blended,112.40,-47.22,73.06,120.30,-12.36,,0.00,0.00,31.87,-3.55,9.82,-3.12,1.46,2.55,2.26,0.00,9.39,2.26,25.13,-11.14,28.48,-5.28,0.42,-4.86,1.45,2.76,-9.07,0.00,-8.13,0.00,-9.07,-18.54,21.27,-1.32,1.11,-0.21,1.51,4.51,-6.23,0.00,-4.69,0.00,-6.22,-6.21,84.23,-14.38,36.71,-11.09,6.08,9.99,6.26,0.00,-23.56,33.42,6.26
Gokaldas Exports,532630,GOKEX,Textiles - Products,891.95,963.08,5404.08,142.20,20.15,37.52,0.11,6.06,500.25,47.04,8.76,55.80,20.75,5.71,29.34,5.62,0.00,23.71,52.91,9.40,514.65,60.20,7.58,67.78,19.08,5.52,43.18,10.63,32.55,0.00,32.55,11.70,569.67,65.24,12.70,71.89,17.07,5.81,55.06,9.26,41.02,6.05,45.80,11.45,2222.20,270.78,31.08,279.72,71.75,25.72,204.39,31.42,156.06,22.14,172.97
Gokul Agro,539725,GOKULAGRO,Solvent Extraction,124.55,709.36,1839.11,457.71,5.60,13.88,0.00,0.00,4118.95,81.05,7.22,88.27,7.61,37.49,43.17,9.38,0.00,33.79,3.68,1.97,2468.86,58.73,7.21,65.94,7.49,26.99,31.46,7.41,24.05,0.00,24.05,2.38,2776.21,66.03,3.45,69.48,7.32,23.16,39.00,9.53,29.48,0.00,29.48,2.38,10739.81,281.53,16.79,298.30,28.85,94.73,174.74,42.33,132.39,0.02,132.41
Gokul Refoils,532980,GOKUL,Solvent Extraction,44.70,326.06,442.81,352.07,11.23,17.69,0.00,0.00,927.43,17.92,-15.54,20.74,2.59,6.11,-6.32,-1.63,-18.36,-4.70,4.55,1.93,588.02,11.26,2.99,14.25,2.42,8.44,3.39,0.86,2.53,0.00,2.53,1.91,779.41,14.06,2.47,16.53,1.78,6.28,8.47,0.67,7.80,0.00,7.80,1.80,3136.53,55.80,10.35,65.89,7.69,27.08,31.38,7.24,23.94,0.26,24.14
Golden Tobacco,500151,GOLDENTOBC,Cigarettes,50.55,-205.26,88.69,2.33,8.77,16.73,0.00,0.00,3.80,-0.41,0.03,-0.38,0.14,1.03,-1.55,0.00,0.00,-1.55,76.84,-10.79,1.98,-1.79,5.43,-1.73,0.14,1.18,2.32,0.61,-3.04,5.37,1.72,-90.40,4.65,0.53,0.08,0.61,0.12,1.03,-0.54,0.00,-0.54,0.00,-0.54,11.40,41.79,11.43,0.95,15.29,0.47,4.28,7.63,0.00,10.54,-2.91,7.63
Goldiam Intl.,526729,GOLDIAM,Diamond Cutting / Jewellery,171.00,590.82,1862.40,3.34,14.80,21.83,1.17,21.79,133.42,27.38,5.86,33.24,1.45,0.01,31.78,8.33,0.00,23.45,33.99,20.52,119.77,22.40,1.41,23.81,1.30,0.00,22.51,5.20,17.27,0.00,17.30,18.70,85.15,22.60,7.56,30.16,2.18,0.30,27.68,8.90,18.55,0.00,18.77,26.54,533.18,104.27,20.85,125.09,7.39,0.26,117.47,32.28,84.40,0.03,85.18
Goldkart Jewels,,GOLDKART,Trading,77.90,26.32,130.76,14.72,59.62,344.11,0.00,0.00,31.65,1.16,,,,,,,,0.14,,,31.29,1.27,,,,,,,,,0.24,,27.11,0.87,,,,,,,,,1.27,,58.40,2.14,1.41,2.14,0.03,1.76,1.76,0.25,0.31,1.41,1.51
Goldline Intl.,538180,,Finance & Investments,1.06,53.47,55.22,0.32,456.33,501.99,0.00,0.00,0.23,0.02,0.00,0.02,0.00,0.00,0.02,0.00,0.00,0.02,100.00,8.70,0.34,0.03,0.00,0.03,0.00,0.00,0.03,0.00,0.03,0.00,0.03,8.82,0.18,-0.01,0.00,-0.01,0.00,0.00,-0.01,0.00,-0.01,0.00,-0.01,-5.56,1.45,0.07,0.00,0.07,0.00,0.00,0.07,0.00,0.07,0.00,0.07
Goldstar Power,,GOLDSTAR,Auto Ancillaries,15.00,22.89,361.06,16.78,43.52,87.00,0.00,0.00,28.46,3.96,,,,,,,,2.26,,,15.37,2.67,,,,,,,,,1.89,,34.61,3.27,,,,,,,,,1.83,,49.98,5.98,2.09,8.12,1.59,1.48,5.00,1.28,3.76,-0.05,3.73
Goldstone Tech.,531439,GOLDTECH,Computers - Software - Medium / Small,132.00,68.53,455.64,13.24,212.91,,0.00,0.00,24.97,0.16,0.25,0.41,0.34,0.23,-0.16,0.04,0.00,-0.20,100.00,0.64,18.81,0.13,0.23,0.36,0.34,0.21,-0.19,0.13,-0.32,0.00,-0.32,0.69,25.80,1.04,0.26,1.30,0.13,0.09,1.08,0.54,0.55,0.00,0.55,4.03,92.96,1.86,1.14,3.00,0.82,0.55,1.63,1.18,0.46,0.00,0.46
Golkunda Diamond,523676,,Diamond Cutting / Jewellery,119.00,46.42,82.83,37.93,8.93,12.53,1.26,1.04,44.45,3.00,0.16,3.16,0.24,0.74,2.18,0.55,0.00,1.63,18.76,6.75,54.90,1.41,0.15,1.56,0.23,0.74,0.59,0.15,0.44,0.00,0.44,2.57,54.84,3.03,0.10,3.13,0.16,0.60,2.37,0.67,1.70,0.00,1.70,5.53,233.44,15.31,0.47,15.75,0.65,2.61,12.52,3.09,9.41,0.03,9.43
Goodluck India,530655,GOODLUCK,Steel - Medium / Small,925.55,682.40,2624.80,654.36,12.63,23.95,0.49,12.26,885.99,71.93,1.75,73.68,8.52,19.20,45.96,11.26,0.00,34.70,27.49,8.12,858.02,69.83,1.04,70.87,8.82,21.91,40.14,11.54,28.59,0.00,28.59,8.14,779.21,47.49,3.88,51.37,8.00,15.42,27.95,7.60,20.36,0.00,20.36,6.09,3072.01,204.41,13.87,218.30,32.59,65.57,120.12,33.21,86.92,-0.02,86.90
Goodricke Group,500166,,Tea,186.20,340.09,402.19,113.15,1746.57,,0.00,0.00,241.46,38.74,2.32,41.06,5.15,2.52,33.39,0.05,0.00,33.34,76.06,16.04,165.71,2.60,1.83,4.43,5.26,1.92,-2.75,-0.98,-1.77,0.00,-1.77,1.57,280.44,56.44,3.96,60.40,5.28,1.55,53.57,13.92,39.65,0.00,39.65,20.13,882.20,9.46,19.16,26.12,20.59,5.50,2.53,2.86,0.57,2.50,-0.32
Goodyear India,500168,GOODYEAR,Tyres,1315.95,622.57,3035.89,7.12,11.55,22.45,2.01,61.14,690.12,61.33,4.41,65.74,13.89,1.14,50.71,12.77,0.00,37.94,28.15,8.89,719.66,64.07,3.70,67.77,14.02,1.16,52.59,13.33,39.26,0.00,39.26,8.90,766.86,46.02,4.69,50.71,13.48,1.01,36.22,9.12,27.10,0.00,27.10,6.00,2927.51,206.95,16.29,223.24,53.99,3.87,165.38,42.52,122.86,0.00,122.86
Gorani Industrie,531608,,Domestic Appliances,148.90,11.97,79.85,11.64,39.07,103.70,0.00,0.00,11.94,0.81,0.06,0.87,0.10,0.26,0.51,0.13,0.00,0.38,18.68,6.78,8.04,0.76,0.03,0.79,0.10,0.21,0.48,0.13,0.36,0.00,0.36,9.45,12.56,1.49,0.04,1.53,0.11,0.15,1.27,0.33,0.94,0.00,0.94,11.86,41.22,2.65,0.53,3.19,0.43,0.72,2.03,0.53,1.51,-0.01,1.50
Goyal Aluminiums,541152,GOYALALUM,Trading,10.10,18.63,143.12,0.44,37.55,72.29,0.00,0.00,12.39,0.79,0.00,0.79,0.03,0.00,0.76,0.28,0.00,0.48,8.39,6.38,16.24,0.91,0.00,0.91,0.04,0.09,0.78,0.11,0.65,0.00,0.65,5.60,23.80,0.84,0.00,0.84,0.00,0.05,0.79,0.00,0.79,0.00,0.79,3.53,65.99,3.44,0.12,3.56,0.20,0.46,2.90,0.75,2.15,0.00,2.15
Goyal Salt,,GOYALSALT,Food - Processing - Indian,151.85,16.55,271.81,12.76,41.79,76.78,0.00,0.00,46.80,4.05,,,,,,,,2.41,,,,,,,,,,,,,,,64.50,4.08,,,,,,,,,2.39,,117.23,6.74,0.06,6.80,0.89,1.07,4.84,1.31,3.54,0.00,3.54
GP Petroleums,532543,GULFPETRO,Chemicals,52.55,290.32,267.59,29.70,8.58,12.22,0.00,0.00,161.98,13.53,0.43,13.96,1.12,0.06,12.78,3.24,0.00,9.53,16.22,8.35,177.37,6.66,0.28,6.94,1.13,-0.38,6.19,1.57,4.62,0.00,4.62,3.75,204.26,8.25,0.01,8.26,0.69,-1.29,8.86,2.84,6.02,0.00,6.02,4.04,790.39,38.70,-1.21,39.75,3.56,-0.74,34.67,9.47,26.83,-2.26,25.19
GPT Infraproject,533761,GPTINFRA,Construction,161.10,293.03,936.56,243.25,10.37,21.85,1.55,14.54,233.63,31.48,0.88,32.36,4.39,8.17,19.80,5.80,0.00,13.83,94.67,13.47,235.90,25.72,3.80,29.52,3.71,8.69,17.12,4.66,12.18,0.00,12.18,10.90,152.70,20.01,0.53,20.54,4.67,9.37,6.50,1.93,5.20,0.00,5.20,13.10,809.15,87.48,5.83,93.10,18.69,37.42,37.20,7.44,29.63,0.21,29.77
Granules India,532482,GRANULES,Pharmaceuticals - Indian - Bulk Drugs & Formln,400.25,2967.42,9717.71,1379.87,13.23,24.67,0.37,36.30,1189.49,212.97,1.53,214.50,52.52,25.96,136.02,33.91,0.00,102.12,51.65,17.90,985.52,136.82,0.35,137.17,49.24,22.46,65.47,17.58,47.90,0.00,47.90,13.88,1150.73,242.91,4.79,247.70,44.06,13.22,190.42,45.32,145.09,0.00,145.09,21.11,4511.92,915.19,12.41,928.97,184.49,55.93,687.18,170.58,517.62,-1.37,516.60
Graphisads,,GRAPHISAD,Miscellaneous,86.35,42.86,157.81,29.53,15.53,27.49,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.43,11.20,0.35,11.79,0.89,2.48,8.18,2.61,5.74,-0.24,5.57
Graphite India,509488,GRAPHITE,Electrodes - Graphites,547.80,5568.00,10692.08,344.00,49.64,121.69,1.55,166.09,793.00,-30.00,1045.00,61.00,19.00,4.00,992.00,190.00,954.00,802.00,22.32,-3.78,747.00,-91.00,78.00,-13.00,18.00,6.00,-37.00,-7.00,-30.00,0.00,-30.00,-12.18,825.00,102.00,66.00,213.00,15.00,4.00,149.00,57.00,119.79,-45.00,92.00,12.36,3180.92,312.20,79.92,444.96,57.04,13.19,321.89,122.84,230.75,-52.84,199.05
Grasim Inds,500300,GRASIM,Textiles - Manmade,2118.25,83170.24,139538.74,121928.06,9.41,21.06,0.47,658.45,30220.68,6047.95,284.59,6332.54,1245.15,2225.67,2861.72,837.67,0.00,2024.05,62.66,20.01,31065.19,6356.75,296.06,6652.81,1182.53,2032.41,3437.87,861.52,1576.47,0.00,2576.35,20.46,27485.54,4591.28,254.00,4933.31,1116.05,1373.21,2356.02,846.83,1046.88,-88.03,1509.19,16.70,117627.08,21589.05,3732.98,25331.49,4551.59,6043.73,14726.71,3648.51,6831.65,-9.46,11078.20
Grauer & Weil,505710,GRAUWEIL,Chemicals,129.50,733.22,2935.84,10.94,13.09,22.41,0.62,18.14,250.49,48.84,7.43,56.27,5.26,0.29,50.72,13.26,0.00,37.46,48.90,19.50,200.26,47.78,5.75,53.53,5.12,0.27,48.14,11.24,36.90,0.00,36.90,23.86,204.89,38.61,4.25,42.86,5.04,-0.02,37.84,9.85,27.99,0.00,27.99,18.84,981.13,156.01,18.29,175.01,19.81,2.53,151.96,39.01,113.47,-0.71,112.95
Graviss Hospital,509546,,Hotels,54.59,177.97,384.96,3.37,40.36,95.29,0.00,0.00,9.59,-2.01,0.39,-1.62,0.95,0.05,-2.62,-0.32,0.00,-2.30,80.92,-20.96,11.39,1.25,0.21,1.46,0.94,0.02,0.50,0.25,0.25,0.00,0.25,10.97,18.13,-0.36,0.10,-0.26,1.12,0.03,-1.41,-0.02,-1.39,0.00,-1.39,-1.99,65.46,10.51,1.67,11.81,4.11,0.10,7.97,2.02,5.66,0.37,5.95
Gravita India,533282,GRAVITA,Mining / Minerals / Metals,1090.35,668.45,7522.97,523.07,24.21,33.59,0.40,30.04,836.18,72.61,14.13,86.74,8.57,11.17,67.00,8.16,0.00,58.84,18.63,8.68,703.39,58.43,23.35,81.78,7.92,12.70,61.16,8.61,52.08,0.00,52.55,8.31,682.69,58.69,6.92,65.61,5.57,9.86,50.18,5.20,44.57,0.00,44.98,8.60,2800.60,206.99,88.06,299.59,23.96,43.50,227.59,23.50,204.97,-4.54,204.09
Greaves Cotton,501455,GREAVESCOT,Engines,140.05,1374.30,3247.98,87.60,17.57,477.83,0.64,20.85,726.69,45.90,-365.06,61.34,19.15,2.21,-340.52,34.07,-380.50,-374.59,30.71,6.32,568.59,-14.41,22.44,7.10,16.73,1.71,-10.41,14.52,-5.00,0.93,-24.93,-2.53,698.81,41.63,14.81,56.65,14.01,2.10,40.33,8.03,29.03,-0.21,32.30,5.96,2699.45,126.54,54.64,193.18,56.68,11.69,112.81,43.06,76.97,-12.00,69.75
Greenchef Appli.,,GREENCHEF,Domestic Appliances,103.70,107.40,241.33,79.69,12.90,25.59,0.00,0.00,150.29,8.73,,,,,,,,3.90,,,,,,,,,,,,,,,,,,,,,,,,,,,319.56,20.40,2.72,21.66,3.48,5.04,14.60,4.12,9.43,1.46,10.48
Greenlam Industr,538979,GREENLAM,Miscellaneous,570.10,1024.98,7300.00,949.42,28.45,50.03,0.26,19.05,603.64,75.59,5.84,81.43,19.45,9.29,52.69,13.32,0.00,39.38,51.41,12.52,515.24,64.35,4.01,68.36,17.40,7.29,43.67,11.43,32.24,0.00,32.24,12.49,518.04,53.69,5.19,58.88,15.44,5.71,37.73,8.55,29.19,0.00,29.19,10.36,2025.96,232.89,17.95,246.00,63.25,23.48,164.11,36.06,124.45,4.84,128.04
Greenpanel Inds.,542857,GREENPANEL,Miscellaneous,379.50,1272.41,4654.99,182.24,14.11,25.20,0.40,18.39,398.73,69.08,6.80,75.88,18.50,1.91,55.47,14.47,0.00,41.00,55.61,17.33,386.19,65.79,6.37,72.16,18.22,3.96,49.98,12.73,37.26,0.00,37.26,17.04,457.29,116.72,13.73,124.35,18.23,1.79,110.43,37.97,68.46,6.10,72.46,25.52,1782.86,419.05,22.92,437.18,71.97,19.04,350.96,94.44,253.01,4.79,256.51
Greenply Industr,526797,GREENPLY,Miscellaneous,240.50,658.03,2968.44,756.57,23.26,55.99,0.21,6.14,607.73,51.14,3.65,54.79,16.17,17.75,20.87,6.97,0.00,13.91,39.82,8.41,476.14,29.49,1.40,30.89,13.32,12.97,4.60,3.78,0.82,0.00,0.82,6.19,494.75,47.52,1.43,48.95,8.88,7.33,32.74,9.15,23.59,0.00,23.59,9.60,1845.63,148.36,24.96,163.64,36.46,26.25,110.61,19.18,83.43,9.68,91.43
Gretex Corporate,543324,,Finance & Investments,281.30,62.99,323.93,0.01,36.02,47.64,0.18,0.51,11.39,1.00,,,,,,,,2.82,,,8.03,3.82,,,,,,,,,3.93,,4.59,2.59,,,,,,,,,3.05,,12.63,7.40,1.69,7.53,0.25,0.24,8.60,2.07,16.48,1.56,18.02
Grindwell Norton,506076,GRINDWELL,Abrasives And Grinding Wheels,2173.00,1844.20,24070.44,64.69,41.06,63.81,0.67,160.54,667.40,131.43,22.70,154.13,16.92,1.81,135.40,33.09,0.00,102.31,55.20,19.69,668.35,134.52,14.60,149.12,16.69,2.16,130.27,33.39,96.88,0.00,96.88,20.13,634.66,121.89,14.98,136.87,15.57,1.46,119.84,29.52,90.06,0.00,90.32,19.21,2541.34,501.26,52.58,538.11,60.15,7.80,485.89,124.37,349.90,15.73,361.52
GRM Overseas,531449,GRMOVER,Food - Processing - Indian,203.15,277.47,1221.29,188.94,15.37,25.60,0.22,2.70,165.60,7.56,6.61,14.17,0.84,4.08,9.25,2.48,0.00,6.77,14.34,4.57,297.32,21.78,5.54,27.32,0.83,5.53,20.96,5.28,15.68,0.00,15.68,7.33,258.97,18.23,-0.46,17.77,0.74,3.18,13.85,3.40,10.44,0.00,10.44,7.04,1262.46,85.80,11.64,97.64,3.68,19.16,74.60,21.04,53.70,-0.20,53.56
Grob Tea Co,,GROBTEA,Tea,919.80,89.30,106.91,14.29,120.46,,0.22,0.23,29.56,9.27,1.17,10.44,0.98,0.31,9.15,0.00,0.00,9.15,129.43,31.36,20.96,2.05,1.50,3.55,0.84,0.40,2.31,0.00,2.32,0.00,2.32,9.78,44.48,16.01,0.74,16.75,0.67,0.01,16.07,0.00,16.08,0.00,16.08,35.99,102.26,3.93,3.42,7.26,3.20,0.44,3.71,3.10,0.58,0.09,0.60
Growington Vent,539222,,Trading,215.85,18.20,346.55,0.00,182.17,272.88,0.00,0.00,10.58,0.88,0.45,1.50,0.01,0.16,1.33,0.32,0.00,0.92,8.16,6.65,,,,,,,,,,,,,3.82,-0.10,,,,,,,,,0.26,,19.63,0.96,0.93,1.90,0.02,0.16,1.71,0.45,1.27,-0.01,1.26
GRP,509152,GRPLTD,Miscellaneous,4705.05,151.59,623.13,94.73,20.96,46.64,0.36,2.26,114.41,11.08,0.43,11.51,2.98,1.88,6.65,1.95,0.00,4.69,52.72,9.68,99.34,6.51,0.52,7.03,2.76,1.80,2.47,0.51,1.97,0.00,1.97,6.55,117.03,5.98,6.40,12.38,3.28,1.48,7.62,1.46,6.15,0.00,6.15,5.11,451.00,24.79,9.52,33.74,12.51,6.50,15.30,1.36,13.51,0.57,13.95
GSS Infotech,532951,GSS,Computers - Software - Medium / Small,197.80,228.44,334.83,0.00,49.45,81.87,0.00,0.00,20.72,0.57,0.07,0.64,0.04,0.20,0.40,0.37,0.00,0.02,100.00,2.75,20.67,1.10,0.09,1.19,0.02,0.22,0.95,0.58,0.37,0.00,0.37,5.32,31.41,6.37,0.27,6.62,0.01,0.21,6.42,0.41,5.99,0.02,6.01,20.28,114.39,15.05,1.96,15.49,0.20,0.92,15.89,1.04,13.43,1.52,14.85
GTL,500160,GTL,Telecommunications - Service Provider,8.50,-6161.15,134.03,6000.68,112.51,5.81,0.00,0.00,46.66,5.35,68.68,10.07,1.01,7.10,65.92,0.00,63.96,65.92,87.96,11.47,46.11,10.60,2.30,12.90,1.20,6.84,4.86,0.00,4.86,0.00,4.86,22.99,46.32,-22.16,3.02,-19.14,1.00,6.45,-26.59,0.00,-26.59,0.00,-26.59,-47.84,186.41,-18.86,106.03,-13.26,4.30,25.66,57.21,0.00,-43.22,100.43,57.21
GTL Infra.,532775,GTLINFRA,Telecommunications - Equipment,1.55,-4677.40,1908.74,4207.32,18.55,,0.00,0.00,350.77,114.56,4.30,118.86,82.15,206.24,-169.53,0.00,0.00,-169.53,100.00,32.66,352.62,136.39,39.32,175.71,82.46,195.75,-102.50,0.00,-102.50,0.00,-102.50,38.68,359.92,1.48,4.85,6.33,128.62,195.53,-317.82,0.00,-317.82,0.00,-317.82,0.41,1457.86,361.24,-892.65,388.71,503.57,781.93,-1816.91,0.00,-896.79,-920.12,-1816.91
GTN Industries,500170,,Textiles - Cotton/Blended,43.31,93.17,75.97,24.33,346.08,,0.00,0.00,48.40,0.94,0.40,1.34,0.92,1.25,-0.83,-0.20,0.00,-0.63,29.92,1.94,49.60,-1.33,0.49,-0.84,0.91,1.19,-2.94,-0.63,-2.31,0.00,-2.31,-2.68,58.49,5.85,0.10,5.95,0.89,1.57,3.49,1.13,2.36,0.00,2.36,10.00,313.89,30.80,2.23,32.91,3.57,7.58,21.88,6.32,15.50,0.12,15.56
GTPL Hathway,540602,GTPL,Entertainment / Electronic Media Software,185.75,1129.92,2084.07,239.17,4.29,20.17,2.15,44.98,779.20,124.15,10.78,134.93,82.04,4.98,47.91,12.03,0.00,35.87,100.00,15.93,774.44,119.56,6.13,125.69,73.89,4.14,47.66,12.46,35.20,0.00,35.20,15.44,654.98,131.33,7.91,139.24,74.34,2.27,62.63,15.15,44.86,0.00,47.47,20.05,2663.92,466.27,31.92,517.12,318.92,9.92,169.35,44.54,126.17,-18.93,124.81
GTV Engineering,539479,,Castings & Forgings,442.15,32.35,138.12,6.17,19.15,27.62,0.00,0.00,44.63,1.20,0.01,1.21,0.24,0.03,0.94,0.00,0.00,0.94,6.63,2.69,18.86,0.33,0.40,0.73,0.22,0.06,0.45,0.00,0.44,0.00,0.44,1.75,21.57,0.61,0.00,0.61,0.25,0.04,0.32,0.00,0.32,0.00,0.32,2.83,95.81,2.56,3.15,3.50,0.83,0.22,4.66,0.57,2.17,2.21,4.10
Gufic BioScience,509079,GUFICBIO,Pharmaceuticals - Indian - Bulk Drugs & Formln,311.45,390.67,3125.67,358.74,24.07,37.99,0.03,0.97,214.87,39.37,0.33,39.70,4.30,4.46,30.94,7.73,0.00,23.21,49.22,18.32,195.02,35.48,0.88,36.36,4.24,4.07,28.05,7.43,20.62,0.00,20.62,18.19,174.84,32.61,0.82,33.43,4.56,1.61,27.26,7.05,20.21,0.00,20.21,18.65,690.62,134.65,2.57,137.19,22.28,8.22,106.72,27.02,79.68,0.03,79.70
Guj Apollo Inds,522217,GUJAPOLLO,Engineering,217.05,483.11,257.21,29.45,13.77,25.07,0.92,2.36,17.18,-0.96,7.60,6.64,1.22,0.52,4.90,0.14,0.00,5.21,22.88,-5.59,13.21,-0.22,5.37,5.15,1.22,0.66,3.27,0.16,3.24,0.00,3.24,-1.67,13.93,-1.75,8.59,6.84,1.29,0.68,4.87,1.42,6.66,0.00,6.66,-12.56,71.84,-5.11,24.09,17.52,5.10,2.38,11.50,-0.97,11.20,1.46,12.47
Guj Inds. Power,517300,GIPCL,Power Generation And Supply,174.70,3194.02,2644.60,635.52,5.84,14.30,2.15,56.72,280.18,61.94,25.93,87.87,42.10,10.11,35.66,7.32,0.00,28.34,38.48,22.11,342.21,105.91,18.01,123.92,41.51,9.42,72.99,15.61,57.37,0.00,57.37,30.95,252.28,75.53,13.51,89.04,41.28,8.77,38.99,12.36,26.63,0.00,26.63,29.94,1355.56,407.84,48.12,455.96,164.98,37.54,253.44,64.74,188.69,0.00,188.69
Guj Pipavav Port,533248,GPPL,Miscellaneous,149.75,2086.99,7234.68,87.91,10.61,20.56,4.07,294.90,252.61,150.65,25.18,172.27,28.80,2.17,144.86,37.19,3.56,107.68,100.00,59.64,214.92,105.84,13.98,124.45,28.70,2.53,88.59,22.68,69.34,-4.63,65.91,49.25,227.26,121.01,5.33,131.62,28.94,2.00,95.40,24.54,74.76,-5.28,70.87,53.25,916.95,502.60,13.38,553.60,116.15,7.96,391.87,100.08,319.35,-37.62,291.78
Guj. Ambuja Exp,524226,GAEL,Solvent Extraction,380.30,2576.63,8721.62,291.30,16.94,28.56,0.18,16.05,1115.72,103.51,42.17,145.68,30.49,5.87,109.32,26.33,0.00,82.99,28.38,9.28,1162.99,102.19,26.49,128.68,30.30,6.17,92.21,21.34,70.87,0.00,70.87,8.79,1077.77,93.62,16.25,109.87,23.70,2.58,83.59,19.49,64.10,0.00,64.10,8.69,4908.99,476.09,73.03,549.96,94.66,13.26,441.20,111.03,330.80,-0.84,330.17
