Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
FACT,FERTILIZERS & CHEM,84281130798,135.85,4.5804465,-0.54904832,2320950,315301057.5,130.21451501,127.1512073,125.72434436,120.26487509,22423433000,Process Industries,4964543000,,
SHREYAS,SHREYAS SHIP & LO,7643416667,363.3,4.53172205,7.56476684,169272,61496517.6,340.52305246,329.24022554,307.20569147,262.78942437,5599800000,Transportation,1744100000,5.3812,
BEML,BEML LTD,65386029583,1638.7,4.50226389,5.90706392,447984,734111380.8000001,1554.70508234,1558.55931745,1620.39088217,1535.82371995,35566414000,Producer Manufacturing,,25.7472,
SJS,SJS ENTERPRISES LTD,11462914967,393.1,4.47840532,7.30176061,195415,76817636.5,367.33840539,367.35376974,379.39634479,,2512340000,Producer Manufacturing,,,
MAXHEALTH,MAX HEALTHCARE INS LTD,329377705678,355.5,4.46664708,8.30159939,1495724,531729882,343.19325594,347.77241099,359.42918928,332.20926234,25046700000,Health Services,8971400000,44.5776,
FDC,FDC LTD,42489495074,262.3,4.43957794,-0.09521996,318873,83640387.9,260.64994167,265.60483645,277.56096441,303.88385049,13244697000,Health Technology,2860850000,12.9329,
POLYMED,POLY MEDICURE LTD,81649555945,888.15,4.3715847,7.6088932,293329,260520151.35,839.15601905,824.11860814,834.05015418,864.1627937,7787929000,Health Technology,2115801000,33.1944,
BCG,BRIGHTCOM GROUP,147651508380,89.5,4.31235431,14.67008328,4922696,440581292,80.43632217,77.23131713,80.90357914,61.60786509,28557982114,Technology Services,13494483000,0.338349,
NAGAFERT,NAGARJUNA FERTILIZ,6997360414,12.1,4.31034483,-8.67924528,1579254,19108973.4,12.45944133,12.486285,12.43770261,11.29200868,4571834000,Process Industries,-2530361000,,
SHIVAMAUTO,SHIVAM AUTOTECH LTD,3269444422,27.95,4.29104478,5.87121212,694845,19420917.75,26.54084866,26.11523412,26.72947416,25.98954759,4874115000,Producer Manufacturing,799066000,7.78402,
