Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
JPOLYINVST,JINDAL POLY INV &,2588562407,261.1,4.98592682,-2.5200672,16596,4333215.6,261.99875999,267.38244711,277.23361854,223.33891321,10516000,Finance,,,
ZODIAC,ZODIAC ENERGY LTD,1646993719,118.15,4.97556641,-5.17656501,32884,3885244.6,113.92881651,108.3908488,98.99550638,62.38845966,1003685000,Producer Manufacturing,,4.78668,
HINDNATGLS,HINDUSTHAN NAT GLA,1795549083,21.1,4.97512438,27.10843373,505129,10658221.9,18.29807725,17.24716991,17.72477528,25.9142784,18945421000,Process Industries,-163900000,60.3702,
CINELINE,CINELINE INDIA LTD,4772022501,166.7,4.97481108,13.51719442,67778,11298592.6,146.4469719,133.18797326,116.53614953,94.65815527,285714000,Finance,124331000,26.3481,
GOKULAGRO,GOKUL AGRO RES LTD,15308740585,112.95,4.97211896,19.397463,107659,12160084.05,98.37795393,90.54655336,80.69976875,62.17441132,83865894000,Process Industries,1843640000,1.85893,
AXISCADES,AXISCADES TECHNOLO,6060558244,167.85,4.97185741,12.53771371,322835,54187854.75,152.56558386,142.55129831,124.97723016,99.27894287,5173861000,Technology Services,617628000,2.17032,
DEEPENR,DEEP ENE RESOURCES LTD,3179199951,102.55,4.96417605,27.47047856,126804,13003750.2,85.53234205,74.60142757,60.22871605,48.9704795,23844000,Industrial Services,9552000,94.24,
NDL,NANDAN DENIM LTD,7805569531,56.35,4.93482309,-8.37398374,626855,35323279.25,59.09421783,60.02093834,56.72859694,40.5230986,10882670000,Process Industries,1785203000,8.15283,
RITCO,RITCO LOGISTICS LTD,3180736410,134.25,4.92379836,3.62794288,134382,18040783.5,127.985,,,,4697831696,Transportation,426087000,4.96306,
KALPATPOWR,KALPATARU POWER TR,52125667215,366.95,4.91779843,-3.24324324,798272,292925910.4,368.9391936,374.52613798,380.27616407,388.08730704,129221900000,Industrial Services,13020000000,5.34805,
SIMBHALS,SIMBHAOLI SUGARS L,1547963190,39.5,4.91367862,27.21417069,1948617,76970371.5,33.30543383,30.16140141,26.41468247,22.86861894,12259637000,Process Industries,387676000,397.294,
MEP,MEP INFRASTRUCTURE,4687046308,26.75,4.90196078,15.30172414,2135552,57126016,23.65056006,22.39167341,21.97130963,21.90450085,11231906000,Transportation,5352207000,4.31025,
ADVANIHOTR,ADVANI HOTELS & RE,3824642599,87.25,4.86778846,2.5867137,244652,21345887,84.91106186,86.56602856,87.14922919,79.28074821,273902025,Consumer Services,92596000,,
ADANIPOWER,ADANI POWER LTD,1102120309204,299.2,4.7435673,27.29206552,44895283,13432668673.6,257.92971115,231.24606575,185.1084126,128.19938273,262214800000,Utilities,61964300000,11.0561,
RUCHINFRA,RUCHI INFRASTRUCTU,2148862273,11.05,4.73933649,-5.15021459,335368,3705816.4,10.68385868,10.33248799,9.8523015,8.84261521,622040000,Transportation,271900000,11.0884,
PENIND,PENNAR INDUSTRIES,5714921813,42.05,4.73225405,4.9937578,2045095,85996244.75,40.17853062,39.13004655,38.05047013,33.65897306,15253500000,Non-Energy Minerals,1661500000,7.86177,
AWL,ADANI WILMAR LTD,1043381955277,841,4.71269377,25.91705345,37860816,31840946256,720.41828034,642.13874971,484.14437168,,370573330000,Process Industries,,,
