,,,,,,,,,,,,,,,Sum of Last,Column Labels,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,BBOX,,,,,,,,,,877.5,,862.95,,1740.45
,,,,,,,,,,,,,2,,BCG,,,,,158,,,,,141.8,,,,299.8
,,,,,,,,,,,,,1,,BCLIND,,,,,,,440.1,,,,,,,440.1
,,,,,,,,,,,,,1,,BDL,,,,,,,,,475.3,,,,,475.3
,,,,,,,,,,,,,1,,BEML,,,,,,,,,,,,,1592.05,1592.05
,,,,,,,,,,,,,1,,BEPL,,,,,,,,,,,137.35,,,137.35
,,,,,,,,,,,,,1,,BERGEPAINT,,,,,,,722.7,,,,,,,722.7
,,,,,,,,,,,,,1,,BFUTILITIE,,,,,,,378.95,,,,,,,378.95
,,,,,,,,,,,,,1,,BGRENERGY,,,,,,,,83.65,,,,,,83.65
,,,,,,,,,,,,,1,,BHAGERIA,259.4,,,,,,,,,,,,,259.4
,,,,,,,,,,,,,1,,BHARATFORG,,,747.9,,,,,,,,,,,747.9
,,,,,,,,,,,,,2,,BHARATGEAR,,176.75,,,,,159.45,,,,,,,336.2
,,,,,,,,,,,,,1,,BHARATRAS,,,,,,,,12598.75,,,,,,12598.75
,,,,,,,,,,,,,4,,BIGBLOC,,,80.2,84.2,88.4,,,85.25,,,,,,338.05
,,,,,,,,,,,,,1,,BINDALAGRO,,,,,,,,,,,,,22.4,22.4
,,,,,,,,,,,,,4,,BIRLACABLE,,118.75,,128.8,,,131.95,,,,,,132.15,511.65
,,,,,,,,,,,,,2,,BLS,257.85,,,,,,234.05,,,,,,,491.9
,,,,,,,,,,,,,1,,BLUEDART,,,6708.6,,,,,,,,,,,6708.6
,,,,,,,,,,,,,3,,BLUESTARCO,1053.2,,,,,,1046.8,1107.05,,,,,,3207.05
,,,,,,,,,,,,,1,,BOMDYEING,,,,,,,109.65,,,,,,,109.65
,,,,,,,,,,,,,1,,BORORENEW,,,,,,,621.7,,,,,,,621.7
,,,,,,,,,,,,,2,,BRFL,,9.3,9.75,,,,,,,,,,,19.05
,,,,,,,,,,,,,1,,BRIGADE,,514.65,,,,,,,,,,,,514.65
,,,,,,,,,,,,,1,,BRNL,,,,,46.15,,,,,,,,,46.15
