Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),,,Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
NAHARCAP,NAHAR CAPITAL AND,7262813325,499.5,15.25149977,23.12053241,190720,95264640,458.1930728,461.105782,434.0053448,315.5706421,451701000,Finance,416212000,4.41244,,3-Mar-22,,,,,,,,,,,,,,,,,,
LOKESHMACH,LOKESH MACHINES,1215190743,76.15,12.64792899,21.35458167,524823,39965271.45,71.0240216,72.75958876,71.78292448,57.81327264,1502145000,Producer Manufacturing,277328000,5.38345,,3-Mar-22,,,,,,,,,,,,,,,,,,
SUPPETRO,SUPREME PETROCHEM,62378018414,731.2,10.17855797,13.42589002,508034,371474460.8,676.6136615,678.1902022,687.3823852,654.408095,31808532000,Process Industries,9139672000,4.96474,,3-Mar-22,,,,,,,,,,,,,,,,,,
AGSTRA,AGS TRANSACT TECH LTD,12015200000,120.8,9.96813837,23.39121553,1575903,190369082.4,114.0588747,129.9494355,,,,Commercial Services,,,,3-Mar-22,,,,,,,,,,,,,,,,,,
TIMETECHNO,TIME TECHNOPLAST,15230982848,73.45,8.89547813,13.61175561,2050888,150637723.6,71.11159603,73.63024984,75.98058834,73.91233026,30049205000,Process Industries,4961871000,5.6892,,3-Mar-22,,,,,,,,,,,,,,,,,,
ENIL,ENTERTAINMENT NETW,8030081088,183.75,8.88888889,7.36196319,85490,15708787.5,180.2914041,180.0337608,179.1768305,180.4861638,2720884000,Consumer Services,537292000,37.6875,,3-Mar-22,,,,,,,,,,,,,,,,,,
MAWANASUG,MAWANA SUGARS LTD,4226577194,117.9,8.86426593,22.23950233,1990039,234625598.1,107.2713228,102.4043035,93.86090666,79.2183523,14061140000,Consumer Non-Durables,927000000,9.25654,6244830000,3-Mar-22,,,,,,,,,,,,,,,,,,
BLISSGVS,BLISS GVS PHARMA,7552936686,79.1,8.65384615,16.75276753,1724800,136431680,77.34378049,82.42058646,90.60910805,106.2291693,5686875000,Health Technology,414662000,10.3545,,3-Mar-22,,,,,,,,,,,,,,,,,,
CAREERP,CAREER POINT LTD,1934819116,115.7,8.38407494,12.76803119,171875,19885937.5,113.6842904,119.1546089,127.6154035,139.5908742,491966000,Consumer Services,28179000,36.2169,2491750000,3-Mar-22,,,,,,,,,,,,,,,,,,
PGEL,PG ELECTROPLAST LTD,12898350695,659.35,8.30321945,11.62180464,125124,82500509.4,637.4281523,665.4340131,687.5595027,543.4844006,7032065000,Electronic Technology,629701000,19.2607,,3-Mar-22,,,,,,,,,,,,,,,,,,
