BSE_Code,Date,BSE_Volume,BSE_Delivery,Price,PrevClose,Segment,Company Name,NSE_Code
937341,231020,40,40,1000.2,1015.0,F ,,
937355,231020,121,121,1037.95,1038.0,F ,,
937385,231020,1690,1300,1007.0,1010.0,F ,,
937407,231020,100,100,980.0,965.0,F ,,
937409,231020,9,9,980.0,970.0,F ,,
937427,231020,10,10,980.0,1000.0,F ,,
937439,231020,110,110,981.0,993.99,F ,,
937451,231020,450,450,1221.0,1252.0,F ,,
937453,231020,100,100,1001.1,1015.0,F ,,
937455,231020,200,200,976.05,973.15,F ,,
937461,231020,5,5,978.0,980.0,F ,,
937471,231020,50,50,1152.0,1165.8,F ,,
937483,231020,308,308,997.0,997.0,F ,,
937493,231020,101,101,1212.8,1212.8,F ,,
937495,231020,25,25,940.05,950.0,F ,,
937537,231020,422,400,1028.66,1028.3,F ,,
937541,231020,1,1,1015.0,1004.5,F ,,
937555,231020,3,3,1182.2,1181.2,F ,,
937559,231020,3,3,1290.0,1290.0,F ,,
937561,231020,160,160,29.07,29.09,F ,,
937589,231020,40,20,1201.11,1044.0,F ,,
937597,231020,20,20,1160.0,1180.5,F ,,
937621,231020,30,30,975.01,977.22,F ,,
937623,231020,102,102,1110.0,1108.0,F ,,
937625,231020,152,152,980.0,972.0,F ,,
937631,231020,661,661,938.78,938.99,F ,,
937633,231020,196,196,950.0,970.0,F ,,
937639,231020,225,225,959.0,912.0,F ,,
937697,231020,1159,1157,997.0,970.0,F ,,
937743,231020,10,10,1000.01,1000.0,F ,,
937779,231020,78,48,1161.0,1161.0,F ,,
937785,231020,220,220,1200.0,1185.0,F ,,
937789,231020,10,10,1050.8,1060.8,F ,,
937791,231020,10,10,1157.0,1158.55,F ,,
937807,231020,2,2,975.8,971.8,F ,,
937819,231020,71,71,1070.0,1100.0,F ,,
937821,231020,7,7,1015.0,1013.38,F ,,
937827,231020,58,58,975.0,970.0,F ,,
937865,231020,10,10,952.0,952.0,F ,,
937887,231020,30,30,960.0,959.47,F ,,
937939,231020,391,291,995.0,1006.5,F ,,
937991,231020,29,29,1099.7,1099.7,F ,,
938003,231020,11,11,1030.45,1030.0,F ,,
938013,231020,1480,1250,985.9,985.0,F ,,
938049,231020,109,109,1091.0,1091.0,F ,,
938055,231020,1,1,1024.0,1012.0,F ,,
938057,231020,40,40,1000.0,998.0,F ,,
938063,231020,70,70,1029.8,1012.0,F ,,
938065,231020,10,10,959.2,950.0,F ,,
938077,231020,31,31,1061.0,1000.0,F ,,
938091,231020,9,9,1050.0,1000.0,F ,,
938095,231020,1,1,1013.0,1000.59,F ,,
938099,231020,70,60,956.28,959.8,F ,,
938101,231020,100,100,977.0,970.0,F ,,
938111,231020,18,9,930.0,931.0,F ,,
938119,231020,150,150,1030.0,1030.0,F ,,
938123,231020,15,15,985.0,985.0,F ,,
938131,231020,4,4,976.8,976.8,F ,,
938137,231020,2,2,1065.0,1065.0,F ,,
938139,231020,82,82,1024.0,1024.0,F ,,
938162,231020,5,5,972.0,921.0,F ,,
938168,231020,5,5,1033.5,1031.9,F ,,
938172,231020,50,50,967.5,968.0,F ,,
938190,231020,27,27,994.0,995.0,F ,,
938206,231020,498,497,945.0,950.0,F ,,
938210,231020,50,50,1006.01,1019.86,F ,,
938212,231020,1000,1000,943.0,1000.0,F ,,
938214,231020,45,45,965.56,970.0,F ,,
938220,231020,1,1,959.9,952.5,F ,,
938222,231020,150,150,301.25,301.5,F ,,
938224,231020,61,61,306.0,302.33,F ,,
938226,231020,100,100,402.5,397.7,F ,,
938260,231020,17,3,965.0,1046.8,F ,,
938264,231020,14,14,950.2,990.0,F ,,
938278,231020,50,50,1033.0,1042.0,F ,,
938286,231020,100,100,1024.1,1010.1,F ,,
938288,231020,30,30,1000.8,1005.45,F ,,
938302,231020,5,5,972.5,972.9,F ,,
938336,231020,4,4,960.38,985.0,F ,,
938364,231020,1283,1077,930.0,948.0,F ,,
938366,231020,164,164,997.2,997.0,F ,,
500322,231020,112,112,23.34,22.23,XT,,
501630,231020,4000,4000,23.32,22.21,XT,,
514348,231020,2380,2380,5.95,6.07,B ,,
519574,231020,390,390,57.85,59.03,XT,,
522261,231020,155,155,507.15,497.25,T ,,
526709,231020,9600,9600,0.85,0.84,XT,,
530547,231020,240,240,16.49,16.82,XT,,
532985,231020,372,277,69.81,70.33,A ,,
533172,231020,1,1,5368.6,5289.48,E ,,
533230,231020,87044,67334,53.03,52.53,E ,,
533244,231020,17911,15522,52.93,52.24,E ,,
533385,231020,95747,75637,119.4,120.69,E ,,
533408,231020,13793,7455,54.74,53.37,E ,,
533570,231020,10420,6432,51.67,51.05,E ,,
533719,231020,13,11,5540.1,5469.0,E ,,
535276,231020,2924,2665,707.23,710.0,A ,,
536073,231020,106068,106068,23.48,24.0,XT,,
536960,231020,2348,2197,42.51,42.96,B ,,
537007,231020,40053,31421,214.02,215.55,B ,,
537008,231020,201,201,213.94,214.46,B ,,
537483,231020,133,119,203.55,203.96,B ,,
537708,231020,6333,6068,209.78,211.0,B ,,
538057,231020,19123,14393,53.62,54.03,A ,,
538422,231020,255351,255351,0.54,0.52,XT,,
538683,231020,2750,2057,728.33,731.64,A ,,
539031,231020,252,241,215.92,216.96,A ,,
539312,231020,41,29,711.2,707.0,A ,,
539313,231020,1268,1238,210.5,243.97,B ,,
