NSE_Code,Date,NSE_Volume,NSE_Delivery,Segment,Traded,Price,PrevClose,Company Name,BSE_Code
SBIETFPB,231020,917,557,EQ,917,230.47,230.18,,
SBIETFQLTY,231020,9960,7411,EQ,9960,174.2,175.55,,
SDL24BEES,231020,812,811,EQ,812,116.42,116.5,,
SDL26BEES,231020,10,10,EQ,10,115.4,115.39,,
SECMARK,231020,27679,4013,EQ,27679,91.75,95.65,,
SENSEXETF,231020,4697,4056,EQ,4697,65.77,67.38,,
SETF10GILT,231020,10261,10090,EQ,10261,217.9,217.75,,
SETFGOLD,231020,12120642,11931287,EQ,12120642,53.14,52.27,,
SETFNIF50,231020,3037897,2853440,EQ,3037897,203.32,204.86,,
SETFNIFBK,231020,15709,9263,EQ,15709,442.63,442.98,,
SETFNN50,231020,14308,12883,EQ,14308,468.26,471.94,,
SHARIABEES,231020,754,363,EQ,754,438.72,440.86,,
SILVER,231020,62399,40116,EQ,62399,73.24,72.77,,
SILVERBEES,231020,2193812,1537217,EQ,2193812,70.76,70.28,,
SILVERETF,231020,82777,73362,EQ,82777,71.33,70.86,,
SILVRETF,231020,2487,1439,EQ,2487,71.6,71.68,,
SRGHFL,231020,10716,4846,EQ,10716,254.4,264.55,,
TECH,231020,13279,7930,EQ,13279,32.38,32.46,,
TNIDETF,231020,19855,13685,EQ,19855,66.71,66.96,,
TREL,231020,651273,303150,EQ,651273,43.85,44.8,,
TVSHLTD,231020,834,437,EQ,834,5514.85,5564.95,,
UTIBANKETF,231020,32470,29361,EQ,32470,44.39,44.49,,
UTINEXT50,231020,7684,6569,EQ,7684,47.44,47.54,,
UTINIFTETF,231020,12934,12200,EQ,12934,210.16,210.89,,
UTISENSETF,231020,631,417,EQ,631,702.96,705.22,,
UTISXN50,231020,1110,1099,EQ,1110,59.06,59.72,,
VLEGOV,231020,100105,71325,EQ,100105,32.05,32.25,,
WINSOME,231020,10623,10623,EQ,10623,6.15,6.25,,
YASHO,231020,7523,5340,EQ,7523,1738.3,1759.4,,
ABSLBANETF,231019,9463,5625,EQ,9463,44.15,44.32,,
ABSLLIQUID,231019,1170,1006,EQ,1170,999.99,1000.0,,
ABSLNN50ET,231019,1431,1047,EQ,1431,46.42,46.6,,
ATL,231019,2041352,953648,EQ,2041352,44.65,43.55,,
AUTOBEES,231019,42647,30506,EQ,42647,168.67,168.03,,
AXISBNKETF,231019,6395,6160,EQ,6395,444.91,447.05,,
AXISBPSETF,231019,8912,4416,EQ,8912,11.22,11.22,,
AXISCETF,231019,64,54,EQ,64,87.4,87.04,,
AXISGOLD,231019,120976,87765,EQ,120976,51.08,50.86,,
AXISHCETF,231019,1872,1522,EQ,1872,96.98,97.73,,
AXISILVER,231019,9241,6926,EQ,9241,72.78,73.01,,
AXISNIFTY,231019,3375,2453,EQ,3375,210.64,211.25,,
AXISTECETF,231019,3887,2876,EQ,3887,329.49,330.83,,
AXSENSEX,231019,163,150,EQ,163,66.1,66.21,,
BANKBEES,231019,384175,243373,EQ,384175,446.75,448.18,,
BANKETF,231019,1529,1090,EQ,1529,439.15,440.49,,
BBETF0432,231019,661,468,EQ,661,1084.08,1086.08,,
