anti,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500265,MAH.SEAMLESS,A ,Q,210.75,254.15,210.35,245.4,225.1,211.8,81,1476,338605,,INE271B01025,26-Mar-20,,
500266,MAH.SCOOTER ,A ,Q,1904,2120.35,1904,2120.35,2120.35,1927.6,460,9112,18417874,,INE288A01013,26-Mar-20,,
500267,MAJESTIC AUT,X ,Q,73.95,73.95,54.15,59.65,59.65,64.05,232,70810,4070899,,INE201B01022,26-Mar-20,,
500268,MANALI PETRO,B ,Q,9.55,9.95,9.25,9.8,9.95,8.95,141,28676,273933,,INE201A01024,26-Mar-20,,
500271,MFSL        ,A ,Q,356.4,438,344.25,425.5,425.5,356.15,3968,88108,34726800,,INE180A01020,26-Mar-20,,
500277,MID INDIA IN,XT,Q,0.99,0.99,0.99,0.99,0.99,1.01,1,10,9,,INE401C01018,26-Mar-20,,
500279,MIRC ELECT  ,B ,Q,4.05,4.2,4.04,4.15,4.15,4.25,19,7078,28712,,INE831A01028,26-Mar-20,,
500280,CENTURY ENKA,B ,Q,114.15,119,114,118.15,118,109.55,450,5407,634682,,INE485A01015,26-Mar-20,,
500284,LORDS CHLORO,XT,Q,19,19.1,18.05,19,18.05,19,55,257459,4891048,,INE846D01012,26-Mar-20,,
500285,SPICEJET LTD,A ,Q,34,35.55,33.5,35.55,35.55,33.9,6418,854577,29924209,,INE285B01017,26-Mar-20,,
500288,MOREPEN LAB.,B ,Q,8.27,9.55,8,8.78,8.78,8.1,241,87735,791823,,INE083A01026,26-Mar-20,,
500290,MRF LTD.    ,A ,Q,57999,60799,54900,55343.3,55541.05,56251.25,759,991,57270652,,INE883A01011,26-Mar-20,,
500292,HEIDEL CEM  ,A ,Q,131.7,152.85,131.05,148.95,146.8,130,1121,39631,5781719,,INE578A01017,26-Mar-20,,
