SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,FILLER1,FILLER2,FILLER3
505355,NESCO LTD   ,B ,Q,2491.25,2491.25,2452.15,2469.95,2467,2484.2,153,479,1183699,,INE317F01027,,,
505358,INTEGRA ENG ,ST,Q,39.2,41.55,39.1,40.95,41.25,39.6,66,23936,989516,,INE984B01023,,,
505368,REVATHI EQU.,B ,Q,767,800,736,792.75,792.75,762.4,167,4350,3312608,,INE617A01013,,,
505400,TEXINFRA    ,B ,Q,42.2,43.8,42.2,43.05,43.05,43.35,96,509370,21978646,,INE435C01024,,,
505412,WENDT(INDIA),B ,Q,2180,2223.95,2180,2200,2200,2195,4,65,142239,,INE274C01019,,,
505509,RESPON IND  ,B ,Q,88,88,84,84.15,85,85.9,34,1833,155650,,INE688D01026,,,
505526,DOLAT INV.  ,XD,Q,2.25,2.25,2.2,2.25,2.25,2.19,8,1351,2984,,INE966A01022,,,
505533,WESTLIFE DEV,B ,Q,230.3,231.35,225.1,225.4,225.4,226.35,273,15665,3570115,,INE274F01020,,,
505537,ZEE ENTER   ,A ,Q,508,512,507.55,509.65,511,504.35,980,27102,13810185,,INE256A01028,,,
505590,SVPGLOB     ,XD,Q,405,405,384,389.7,384,387.9,39,4697,1826887,,INE308E01011,,,
505650,SKYL MILLAR ,XD,Q,3.14,3.14,3.14,3.14,3.14,3.3,1,200,628,,INE178E01026,,,
505665,ANTIF BEARNG,XC,Q,179.8,179.8,172,172.5,172.5,175.1,47,1349,234000,,INE779A01011,,,
505681,BIMETAL BEAR,XC,Q,399.9,408.7,399.9,400,400,394.65,29,737,295671,,INE469A01019,,,
505688,BHARAT GEARS,B ,Q,139.7,148.5,139.7,142.6,142.6,137.9,598,34128,4929122,,INE561C01019,,,
505700,ELECON ENG  ,B ,Q,60.25,60.75,59.55,59.75,59.75,60.25,342,32495,1954597,,INE205B01023,,,
505710,GRAUER& WEIL,XC,Q,40.5,41.75,40.25,40.65,40.65,40.35,257,91199,3737247,,INE266D01021,,,
505711,GAJRA BEVEL ,XT,Q,2.15,2.15,2.15,2.15,2.15,2.25,2,150,322,,INE282D01010,,,
505712,GUJ.AUTO GE ,XD,Q,274,274,268.15,270.55,272.7,270.2,35,1678,456583,,INE705G01021,,,
505714,GABRIEL(I)  ,B ,Q,160.15,164.5,158.25,159.45,158.25,160.15,783,41817,6753269,,INE524A01029,,,
505720,HERC.HOISTS ,B ,Q,153.7,162,153.7,155.5,155.5,155.3,478,29451,4687360,,INE688E01024,,,
505726,IFB IND.LTD.,B ,Q,685,758,683,750.05,750.05,669.85,5452,117802,87371280,,INE559A01017,,,
505729,SINGER INDIA,XC,Q,230,232,227.05,228.35,229.4,227.6,79,4442,1023405,,INE638A01027,,,
505737,INTER.COMBUS,XT,Q,931,1025.85,931,1025.85,1025.85,977,163,4831,4917244,,INE403C01014,,,
505744,FED MOG GOE ,B ,Q,575.3,575.3,564,568.3,568.3,573.05,95,2174,1241100,,INE529A01010,,,
505750,JOSTS ENG.  ,XD,Q,1020,1165,1015,1130.35,1130.35,1046.15,163,2698,2999906,,INE636D01017,,,
505790,FAG BEARINGS,B ,Q,4639.1,4710,4639.1,4645,4645,4683.85,23,36,168288,,INE513A01014,,,
505800,RANE HOLDIN ,B ,Q,1757.2,1819,1721.05,1747.35,1723.9,1744.85,626,3362,5979471,,INE384A01010,,,
505827,SNL BEARINGS,XD,Q,314.95,319.95,310,312.75,310.05,315.25,35,1670,525563,,INE568F01017,,,
505840,JAIPAN INDUS,XT,Q,24.5,25.7,24.25,24.25,24.25,24.5,10,1942,47618,,INE058D01030,,,
505850,MANCREDIT   ,XC,Q,1.69,1.73,1.57,1.73,1.73,1.65,75,103367,175481,,INE545L01021,,,
505854,TRF LTD.    ,B ,Q,252,252,239.25,240.75,240.75,250.55,473,14923,3645238,,INE391D01019,,,
505872,WPIL LTD.   ,XC,Q,467.95,468.3,450,455.3,457,461.35,303,10442,4789171,,INE765D01014,,,
505890,KENNAMETAL  ,B ,Q,641,649.95,624.05,627.1,630,650.65,178,29008,18220444,,INE717A01029,,,
505978,TRITON VALVE,XC,Q,1669,1699,1625.05,1643,1625.05,1621.7,87,1024,1694925,,INE440G01017,,,
506003,SUDAL INDUS ,XD,Q,8.8,9.5,8.8,8.8,8.8,9.05,8,10767,95799,,INE618D01015,,,
506016,JRIIIL      ,XT,Q,1.06,1.06,1.06,1.06,1.06,1.06,5,1930,2045,,INE022M01029,,,
506022,PRAKASH IND.,B ,Q,98.75,101.8,97,97.9,97.9,98.1,5363,760204,75967996,,INE603A01013,,,
506027,BHORUKA ALU.,XD,Q,0.51,0.51,0.51,0.51,0.51,0.53,2,1000,510,,INE866G01013,,,
506074,ARSHIYA     ,B ,Q,77.15,77.3,73,73.35,73.35,77.3,258,20713,1562776,,INE968D01022,,,
506076,GRIND NORTON,B ,Q,399.65,407,397.05,403.35,407,402.95,242,3847,1548541,,INE536A01023,,,
506079,LAKSHMI PREC,B ,Q,41,44,41,43.8,43.8,42,35,4141,179505,,INE651C01018,,,
506105,STANROSE MAF,XD,Q,172,172,166,168,168,170,19,1353,226170,,INE441L01015,,,
506109,GENESYS INT.,B ,Q,166,194.1,166,189.4,189.4,167.65,2639,333106,60771590,,INE727B01026,,,
506122,PANKAJPIYUS ,XD,Q,50,54.9,50,54.65,54.9,50.55,8,433,23432,,INE820M01018,,,
506128,PARNAXLAB   ,XD,Q,56.5,58,56,56.05,56,57.3,61,7763,442615,,INE383L01019,,,
506142,VYAPAR INDS ,XD,Q,34.7,34.7,34.7,34.7,34.7,36.4,3,607,21062,,INE070G01012,,,
506146,VISAGAR POL ,B ,Q,1.23,1.27,1.22,1.26,1.27,1.27,54,130293,162321,,INE370E01029,,,
506184,KANANI IND  ,B ,Q,11.01,11.7,11.01,11.7,11.7,11.5,4,354,3968,,INE879E01037,,,
506186,GALAXY ENTER,XT,Q,17,17,16,16,16,16.8,7,1999,32984,,INE403B01016,,,
506194,ARIH SUPER  ,B ,Q,184,189.5,183,185.65,185.65,188.4,960,258392,48455154,,INE643K01018,,,
506197,BLISSGVS PH ,B ,Q,158.3,161.9,155.1,156.35,156.45,158,1017,71604,11406812,,INE416D01022,,,
506222,INEOSSTYRO  ,B ,Q,853,862.85,844,850.15,850,853.4,92,2396,2041233,,INE189B01011,,,
506235,ALEMBIC LTD.,B ,Q,40.35,40.65,39.3,39.45,39.45,40,331,74142,2954936,,INE426A01027,,,
506248,AMINES&PLAST,XC,Q,45,45,42.8,42.85,42.8,44.9,54,7957,348635,,INE275D01022,,,
506260,ANUH PHARMA ,XC,Q,178.05,179.95,178.05,178.2,178.15,179.65,69,8980,1607735,,INE489G01022,,,
506261,MODISON MET.,XC,Q,59.75,61.45,59.6,59.8,59.8,60.1,112,76575,4583021,,INE737D01021,,,
506285,BAYER CROP  ,A ,Q,4643.85,4650,4607,4612.75,4607.5,4620.5,50,318,1469080,,INE462A01022,,,
506315,BORAX MORARJ,XD,Q,64,66,60.25,65,64.1,63.7,38,2938,189419,,INE658B01015,,,
506365,CHEMO PHARMA,XT,Q,43.7,43.7,41.6,41.6,41.6,43.7,2,110,4775,,INE320M01019,,,
506390,CLARI CHEM  ,B ,Q,629,631.8,621.1,622.85,622.85,630.25,263,5557,3479171,,INE492A01029,,,
506395,COROM INTER ,A ,Q,431,434.2,425.45,427.45,427,430.45,698,13116,5621442,,INE169A01031,,,
506401,DEEPAK NITR.,B ,Q,167,169.8,162.1,162.8,164.65,167.75,784,46624,7725638,,INE288B01029,,,
506405,DHARAMSI CHM,XC,Q,134.1,136.5,130.1,132.25,132.25,134.7,316,34548,4616861,,INE505A01010,,,
506480,GOCLCORP    ,B ,Q,411.25,425.25,405,407.45,407.45,411.15,63,1285,527316,,INE077F01035,,,
506520,JAYSHRI CHEM,XD,Q,11.52,12.1,11.51,11.69,11.7,11.51,34,8404,99286,,INE693E01016,,,
506525,KANORIA CHEM,B ,Q,86.1,87,83.3,83.65,83.3,86.1,829,89723,7643177,,INE138C01024,,,
506528,KELTECH EN. ,XD,Q,965,980,900.9,904.45,907,948.75,185,2682,2518115,,INE881E01017,,,
506532,NITTA GELA  ,XC,Q,186,188,184.5,185.5,185,186.15,72,15278,2843019,,INE265B01019,,,
506579,ORIENT.CARB.,B ,Q,976,989,960.05,962.85,960.05,982.15,97,660,641337,,INE321D01016,,,
506590,PHIL.CARBON ,B ,Q,627.9,642.35,619,622.7,625,621.2,4694,165219,104067274,,INE602A01015,,,
506597,AMAL PRODUCT,XD,Q,135,136.95,126.05,136.95,136.95,124.5,157,27860,3778574,,INE841D01013,,,
506605,POLYCHEM    ,XD,Q,429.45,429.45,406,406,406,409,4,48,20277,,INE752B01024,,,
506618,PUN.CHEM    ,B ,Q,329.8,338.8,325,326.4,326.4,331.65,427,15907,5252316,,INE277B01014,,,
506642,SADHANA NITR,XD,Q,71,71,68.5,68.85,68.85,70.75,8,606,42234,,INE888C01016,,,
506655,SUDARSH.CHEM,B ,Q,375,380,362,365.15,365.15,374.45,286,6993,2600168,,INE659A01023,,,
506685,ULTRAMARINE ,XC,Q,173.1,174.95,172.9,173.1,174.9,172.85,60,3300,573060,,INE405A01021,,,
506687,TRANSPEK    ,XC,Q,1048,1074.6,1030,1052.9,1052.9,1029.25,133,2602,2751506,,INE687A01016,,,
506690,UNICHEM LAB ,B ,Q,264.9,269.75,263,264.3,264,262.05,218,9784,2613360,,INE351A01035,,,
506720,ZANDUREALTY ,B ,Q,1272.05,1309.45,1263.6,1267.65,1269.75,1274.6,80,269,343210,,INE719A01017,,,
