Sr.No.,Accord Code,Company Name,CD_ISIN No,CD_BSE Code,CD_NSE Symbol,CD_Bloomberg Code,CD_Reuters Code,CD_Sector,CD_Industry1,SC_Latest Price Date,CD_Listing Status,SC_Latest Price,SC_Latest Market Cap
585,132792,Cairn India Ltd. (Amalgamated),INE910H01017,532792,CAIRN,CAIR IN,CAIL.BO,Crude Oil,Oil Exploration,25-Apr-2017,Delisted,285.40,53537.95
586,117236,Calcom Vision Ltd.,INE216C01010,517236,,CALC IN,CLCM.BO,Capital Goods,Electric Equipment,06-Jun-2017,Listed,5.75,3.27
587,132386,California Software Company Ltd.,INE526B01014,532386,CALSOFT,CFSC IN,CALI.BO,IT,IT - Software ,09-Jun-2017,Listed,8.08,9.99
588,126652,Cals Refineries Ltd.,INE040C01022,526652,,CALS IN,CALS.BO,Crude Oil,Oil Exploration,09-Jun-2017,Listed,0.09,74.65
589,132801,Cambridge Technology Enterprises Ltd.,INE627H01017,532801,CTE,CTECH IN,CATE.BO,IT,IT - Software ,09-Jun-2017,Listed,86.45,169.71
590,124440,Camex Ltd.,INE198C01010,524440,,CAMX IN,CAMX.BO,Chemicals,Dyes & Pigments,09-Jun-2017,Listed,26.85,27.41
591,132834,Camlin Fine Sciences Ltd.,INE052I01032,532834,CAMLINFINE,CFIN IN,CAMF.BO,Chemicals,Chemicals ,09-Jun-2017,Listed,84.15,872.72
592,100078,Camphor & Allied Products Ltd.,INE959C01015,500078,CAMPALLIED,CAP IN,CAMP.BO,Chemicals,Chemicals ,09-Jun-2017,Listed,758.85,389.57
593,200125,Camson Bio Technologies Ltd.,INE845E01012,538858,,CBTL IN,CAMS.BO,Agri,Agriculture,09-Jun-2017,Listed,21.50,64.50
594,278625,Camson Seeds Ltd.,INE494T01017,540071,,CAMSD IN,,Agri,Agriculture,09-Jun-2017,Listed,12.37,37.11
595,111196,Can Fin Homes Ltd.,INE477A01012,511196,CANFINHOME,CANF IN,CNFH.BO,Finance,Finance - Housing,09-Jun-2017,Listed,2988.25,7954.79
596,132483,Canara Bank,INE476A01014,532483,CANBK,CBK IN,CNBK.BO,Bank,Bank - Public,09-Jun-2017,Listed,360.30,21520.36
597,234574,Canara Robeco Mutual Fund - Canara Robeco - Gold ETF,INF760K01BR1,534631,CRMFGETF,,,ETF,ETF,09-Jun-2017,Listed,2725.00,0.00
598,219452,Cantabil Retail India Ltd.,INE068L01016,533267,CANTABIL,CANT IN,CRIL.BO,Textile ,Textile ,09-Jun-2017,Listed,69.25,113.07
599,243416,Capfin India Ltd.,INE960C01013,539198,,CAPFN IN,CAPD.BO,Finance,Finance - Investment,07-Jun-2017,Listed,1.90,0.54
600,200040,Capital First Ltd.,INE688I01017,532938,CAPF,CAFL IN,CAPF.BO,Finance,Finance - NBFC,09-Jun-2017,Listed,709.55,6928.05
601,243421,Capital Trade Links Ltd.,INE172D01021,538476,,CTLL IN,CAPI.BO,Finance,Finance - NBFC,09-Jun-2017,Listed,11.70,59.65
602,111505,Capital Trust Ltd.,INE707C01018,511505,CAPTRUST,CPT IN,CAPT.BO,Finance,Finance - NBFC,09-Jun-2017,Listed,395.45,647.01
603,124742,Caplin Point Laboratories Ltd.,INE475E01026,524742,CAPLIPOINT,CLPL IN,CAPL.BO,Healthcare,Pharmaceuticals & Drugs,09-Jun-2017,Listed,570.75,4313.54
604,111720,Capman Financials Ltd.,INE862D01019,511720,,CPFC IN,CAPM.BO,Finance,Finance - Investment,29-May-2017,Listed,4.96,1.75
605,131595,Capri Global Capital Ltd.,INE180C01026,531595,CGCL,CGCL IN,CAPG.BO,Finance,Finance - Investment,09-Jun-2017,Listed,56.40,987.76
606,112169,Capricorn Systems Global Solutions Ltd.,INE968E01012,512169,,CSGS IN,CAPS.BO,IT,IT - Software ,18-May-2017,Listed,20.09,8.03
607,109486,Caprihans India Ltd.,INE479A01018,509486,CAPRIHANS,CPRI IN,CAPR.BO,Plastic Products,Plastic Products,09-Jun-2017,Listed,99.25,130.35
608,107486,Caprolactam Chemicals Ltd.,INE470N01010,507486,,CPLC IN,CAPO.BO,Chemicals,Chemicals ,01-Jun-2017,Listed,18.00,8.28
609,271850,Captain Pipes Ltd.,INE513R01018,538817,,CAPI IN,CAPN.BO,Agri,Rubber  Products,08-Jun-2017,Listed,84.00,34.93
610,235813,Captain Polyplast Ltd.,INE536P01013,536974,,CAPP IN,CAPA.BO,Plastic Products,Plastic Products,09-Jun-2017,Listed,133.50,134.51
611,113375,Carborundum Universal Ltd.,INE120A01034,513375,CARBORUNIV,CU IN,CRBR.BO,Abrasives,Abrasives,09-Jun-2017,Listed,300.45,5668.23
612,217586,Career Point Ltd.,INE521J01018,533260,CAREERP,CRPT IN,CARP.BO,Other,Educational Institutions,09-Jun-2017,Listed,95.40,172.99
