Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,22082023,1466269810,0002131"
"Trade Date <22-AUG-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,173,ARIHANTSUP,EQ,126989,35239,27.75"
"20,174,ARISTO,SM,8000,4800,60.00"
"20,175,ARMANFIN,EQ,12417,4545,36.60"
"20,176,AROGRANITE,EQ,88514,42430,47.94"
"20,177,ARTEMISMED,EQ,70133,43672,62.27"
"20,178,ARVIND,EQ,3238418,1060195,32.74"
"20,179,ARVINDFASN,EQ,176363,125104,70.94"
"20,180,ARVSMART,EQ,53058,31773,59.88"
"20,181,ASAHIINDIA,EQ,96299,51183,53.15"
"20,182,ASAHISONG,EQ,4852,3202,65.99"
"20,183,ASAL,EQ,20667,9739,47.12"
"20,184,ASALCBR,EQ,111791,62200,55.64"
"20,185,ASHAPURMIN,EQ,876400,330541,37.72"
"20,186,ASHIANA,EQ,224132,120243,53.65"
"20,187,ASHIMASYN,EQ,60413,52258,86.50"
"20,188,ASHOKA,EQ,2262865,941977,41.63"
"20,189,ASHOKLEY,EQ,9617845,6290114,65.40"
"20,190,ASIANPAINT,EQ,377068,201164,53.35"
"20,191,ASIANTILES,EQ,4094268,1732515,42.32"
"20,192,ASLIND,SM,4000,4000,100.00"
"20,193,ASPINWALL,EQ,1683,1229,73.02"
"20,194,ASTEC,EQ,13807,7349,53.23"
"20,195,ASTERDM,EQ,138380,70534,50.97"
"20,196,ASTRAL,EQ,715291,315520,44.11"
"20,197,ASTRAMICRO,EQ,539284,295988,54.89"
"20,198,ASTRAZEN,EQ,7231,3139,43.41"
"20,199,ASTRON,EQ,106300,43736,41.14"
"20,200,ATALREAL,EQ,389929,95087,24.39"
"20,201,ATAM,EQ,4225,3625,85.80"
"20,202,ATFL,EQ,1897,1496,78.86"
"20,203,ATGL,EQ,1484767,649468,43.74"
"20,204,ATUL,EQ,23501,12400,52.76"
"20,205,ATULAUTO,EQ,112341,56520,50.31"
"20,206,AUBANK,EQ,2220325,1339127,60.31"
"20,207,AURDIS,SM,70000,59000,84.29"
"20,208,AURIONPRO,EQ,11023,8232,74.68"
"20,209,AUROIMPEX,SM,44800,40000,89.29"
"20,210,AUROPHARMA,EQ,2898526,1246093,42.99"
"20,211,AURUM,EQ,150478,76427,50.79"
"20,212,AURUMPP,E1,16703,15202,91.01"
"20,213,AUSOMENT,EQ,346684,142011,40.96"
"20,214,AUTOAXLES,EQ,11905,6552,55.04"
"20,215,AUTOBEES,EQ,23454,18612,79.36"
"20,216,AUTOIND,EQ,647270,255233,39.43"
"20,217,AVADHSUGAR,EQ,45652,18939,41.49"
"20,218,AVALON,EQ,435797,172369,39.55"
"20,219,AVANTIFEED,EQ,293133,108756,37.10"
"20,220,AVG,EQ,27357,10800,39.48"
"20,221,AVROIND,EQ,67828,19384,28.58"
"20,222,AVTNPL,EQ,97701,59473,60.87"
"20,223,AWHCL,EQ,686360,262694,38.27"
"20,224,AWL,EQ,2180081,1073845,49.26"
"20,225,AXISBANK,EQ,10860061,5870908,54.06"
"20,226,AXISBNKETF,EQ,450,304,67.56"
"20,227,AXISBPSETF,EQ,15919,15297,96.09"
"20,228,AXISCETF,EQ,936,798,85.26"
"20,229,AXISGOLD,EQ,95605,85197,89.11"
"20,230,AXISHCETF,EQ,517,274,53.00"
"20,231,AXISILVER,EQ,19606,17111,87.27"
"20,232,AXISNIFTY,EQ,7406,6653,89.83"
