Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,14112022,1014307377,0002138"
"Trade Date <14-NOV-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,176,ATGL,EQ,218406,77814,35.63"
"20,177,ATUL,EQ,17966,4521,25.16"
"20,178,ATULAUTO,EQ,274714,96275,35.05"
"20,179,AUBANK,EQ,1086235,446220,41.08"
"20,180,AURIONPRO,EQ,53622,34024,63.45"
"20,181,AUROPHARMA,EQ,9264478,1284726,13.87"
"20,182,AURUMPP,X1,60595,60595,100.00"
"20,183,AUSOMENT,EQ,15990,10405,65.07"
"20,184,AUTOAXLES,EQ,8378,5030,60.04"
"20,185,AUTOBEES,EQ,38167,19812,51.91"
"20,186,AUTOIND,EQ,417657,213614,51.15"
"20,187,AVADHSUGAR,EQ,34316,17066,49.73"
"20,188,AVANTIFEED,EQ,160393,84794,52.87"
"20,189,AVG,SM,25200,24000,95.24"
"20,190,AVROIND,EQ,33364,9795,29.36"
"20,191,AVTNPL,EQ,400392,207263,51.77"
"20,192,AWHCL,EQ,113267,76222,67.29"
"20,193,AWL,EQ,1620233,727821,44.92"
"20,194,AXISBANK,EQ,6985306,4654361,66.63"
"20,195,AXISBNKETF,EQ,37789,37295,98.69"
"20,196,AXISBPSETF,EQ,42777,39345,91.98"
"20,197,AXISCADES,EQ,620703,449401,72.40"
"20,198,AXISCETF,EQ,1826,1746,95.62"
"20,199,AXISGOLD,EQ,121251,84057,69.32"
"20,200,AXISHCETF,EQ,14267,10872,76.20"
"20,201,AXISILVER,EQ,12578,9291,73.87"
"20,202,AXISNIFTY,EQ,3917,2779,70.95"
"20,203,AXISTECETF,EQ,2603,1673,64.27"
"20,204,AXITA,EQ,235031,154585,65.77"
"20,205,AYMSYNTEX,EQ,32070,23198,72.34"
"20,206,BAJAJ-AUTO,EQ,200313,116995,58.41"
"20,207,BAJAJCON,EQ,229550,114131,49.72"
"20,208,BAJAJELEC,EQ,23474,11130,47.41"
"20,209,BAJAJFINSV,EQ,1459293,402559,27.59"
"20,210,BAJAJHCARE,EQ,26337,17050,64.74"
"20,211,BAJAJHIND,EQ,3996042,1646850,41.21"
"20,212,BAJAJHLDNG,EQ,91262,50076,54.87"
"20,213,BAJFINANCE,EQ,855060,431076,50.41"
"20,214,BALAJITELE,EQ,70706,39461,55.81"
"20,215,BALAMINES,EQ,38243,22804,59.63"
"20,216,BALKRISHNA,EQ,9998,4080,40.81"
"20,217,BALKRISIND,EQ,228319,96219,42.14"
"20,218,BALMLAWRIE,EQ,284752,116824,41.03"
"20,219,BALPHARMA,EQ,7561,4992,66.02"
"20,220,BALRAMCHIN,EQ,3455530,1043426,30.20"
"20,221,BANARBEADS,EQ,9722,5365,55.18"
"20,222,BANARISUG,EQ,2734,1937,70.85"
"20,223,BANCOINDIA,EQ,191784,105349,54.93"
"20,224,BANDHANBNK,EQ,6016703,2341981,38.92"
"20,225,BANG,EQ,80968,47771,59.00"
"20,226,BANKA,EQ,9878,5968,60.42"
"20,227,BANKBARODA,EQ,23748826,6517119,27.44"
"20,228,BANKBEES,EQ,618255,367507,59.44"
"20,229,BANKINDIA,EQ,12588052,5314095,42.22"
"20,230,BANSWRAS,EQ,257978,172000,66.67"
"20,231,BARBEQUE,EQ,106798,67921,63.60"
"20,232,BASF,EQ,11639,6011,51.65"
"20,233,BASML,EQ,197113,60180,30.53"
"20,234,BATAINDIA,EQ,366836,167722,45.72"
"20,235,BAYERCROP,EQ,15029,7728,51.42"
"20,236,BBETF0432,EQ,3998,3206,80.19"
"20,237,BBL,EQ,73343,23310,31.78"
"20,238,BBOX,EQ,69441,19285,27.77"
"20,239,BBTC,EQ,51990,21499,41.35"
"20,240,BBTCL,SM,10000,8000,80.00"
"20,241,BCG,EQ,30304324,12872442,42.48"
"20,242,BCLIND,EQ,137316,81925,59.66"
"20,243,BCP,EQ,133115,89397,67.16"
"20,244,BDL,EQ,1010056,356939,35.34"
"20,245,BEARDSELL,EQ,53213,33190,62.37"
"20,246,BECTORFOOD,EQ,139684,61809,44.25"
"20,247,BEDMUTHA,EQ,9410,4221,44.86"
"20,248,BEL,EQ,10547759,5488658,52.04"
"20,249,BEML,EQ,40160,20866,51.96"
"20,250,BEPL,EQ,148129,86083,58.11"
"20,251,BERGEPAINT,EQ,750772,365869,48.73"
"20,252,BESTAGRO,EQ,67643,39080,57.77"
"20,253,BETA,SM,3200,2200,68.75"
"20,254,BEWLTD,SM,1250,1250,100.00"
"20,255,BFINVEST,EQ,21080,7842,37.20"
"20,256,BFUTILITIE,EQ,533202,178107,33.40"
"20,257,BGRENERGY,EQ,116219,81053,69.74"
"20,258,BHAGCHEM,EQ,2306,1471,63.79"
"20,259,BHAGERIA,EQ,16644,7255,43.59"
"20,260,BHAGYANGR,EQ,62392,18423,29.53"
"20,261,BHAGYAPROP,EQ,14104,9547,67.69"
"20,262,BHANDARI,EQ,393313,290555,73.87"
"20,263,BHARATFORG,EQ,3132699,1074500,34.30"
"20,264,BHARATGEAR,EQ,78133,48287,61.80"
"20,265,BHARATRAS,EQ,3670,2264,61.69"
"20,266,BHARATWIRE,EQ,76662,53137,69.31"
"20,267,BHARTIARTL,EQ,10406576,8686639,83.47"
"20,268,BHEL,EQ,76991767,19395350,25.19"
"20,269,BIL,EQ,9015,5112,56.71"
"20,270,BINDALAGRO,EQ,131532,67368,51.22"
"20,271,BIOCON,EQ,2662219,1319505,49.56"
"20,272,BIOFILCHEM,EQ,23411,14615,62.43"
"20,273,BIRET,RR,79238,66418,83.82"
"20,274,BIRLACABLE,EQ,315042,182974,58.08"
"20,275,BIRLACORPN,EQ,65509,25355,38.70"
"20,276,BIRLAMONEY,EQ,37783,26937,71.29"
"20,277,BLBLIMITED,EQ,17743,12023,67.76"
"20,278,BLISSGVS,EQ,60734,38043,62.64"
"20,279,BLKASHYAP,EQ,263719,170480,64.64"
"20,280,BLS,EQ,919093,465427,50.64"
"20,281,BLUEDART,EQ,14813,7831,52.87"
"20,282,BLUESTARCO,EQ,35926,21500,59.85"
"20,283,BMETRICS,SM,1200,1200,100.00"
"20,284,BODALCHEM,EQ,439520,158825,36.14"
