Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,30032022,1392713979,0002083"
"Trade Date <30-MAR-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,195,BAGFILMS,EQ,469545,336137,71.59"
"20,196,BAJAJ-AUTO,EQ,343930,182663,53.11"
"20,197,BAJAJCON,EQ,962262,632603,65.74"
"20,198,BAJAJELEC,EQ,240861,51460,21.37"
"20,199,BAJAJFINSV,EQ,454764,113851,25.04"
"20,200,BAJAJHCARE,EQ,140148,48922,34.91"
"20,201,BAJAJHIND,EQ,4691674,2752751,58.67"
"20,202,BAJAJHLDNG,EQ,82933,54372,65.56"
"20,203,BAJFINANCE,EQ,1272254,408808,32.13"
"20,204,BALAJITELE,EQ,320463,145220,45.32"
"20,205,BALAMINES,EQ,115544,38835,33.61"
"20,206,BALAXI,EQ,2247,1440,64.09"
"20,207,BALKRISHNA,EQ,12230,7910,64.68"
"20,208,BALKRISIND,EQ,182513,95274,52.20"
"20,209,BALMLAWRIE,EQ,286935,187988,65.52"
"20,210,BALPHARMA,EQ,86312,43708,50.64"
"20,211,BALRAMCHIN,EQ,3315733,877990,26.48"
"20,212,BANARBEADS,EQ,30591,8272,27.04"
"20,213,BANARISUG,EQ,10335,5539,53.59"
"20,214,BANCOINDIA,EQ,86044,44019,51.16"
"20,215,BANDHANBNK,EQ,18612020,8091109,43.47"
"20,216,BANG,EQ,28269,20476,72.43"
"20,217,BANKA,EQ,29667,27746,93.52"
"20,218,BANKBARODA,EQ,100828273,50868792,50.45"
"20,219,BANKBEES,EQ,837598,427583,51.05"
"20,220,BANKINDIA,EQ,6841967,3599085,52.60"
"20,221,BANSWRAS,EQ,35728,18506,51.80"
"20,222,BARBEQUE,EQ,62272,12538,20.13"
"20,223,BASF,EQ,103668,52537,50.68"
"20,224,BASML,EQ,174986,114205,65.27"
"20,225,BATAINDIA,EQ,304011,130490,42.92"
"20,226,BAYERCROP,EQ,19032,12349,64.89"
"20,227,BBETF0432,EQ,883,739,83.69"
"20,228,BBL,EQ,5565,3394,60.99"
"20,229,BBOX,EQ,16905,12513,74.02"
"20,230,BBTC,EQ,224520,55669,24.79"
"20,231,BBTCL,SM,1000,1000,100.00"
"20,232,BCLIND,EQ,82766,56989,68.86"
"20,233,BCONCEPTS,EQ,5080,2828,55.67"
"20,234,BCP,EQ,360470,258538,71.72"
"20,235,BDL,EQ,280357,124033,44.24"
"20,236,BEARDSELL,EQ,46757,38134,81.56"
"20,237,BECTORFOOD,EQ,111035,61682,55.55"
"20,238,BEDMUTHA,EQ,9157,5012,54.73"
"20,239,BEL,EQ,7393966,2496044,33.76"
"20,240,BEML,EQ,263175,78259,29.74"
"20,241,BEPL,EQ,645141,382300,59.26"
"20,242,BERGEPAINT,EQ,630126,325580,51.67"
"20,243,BESTAGRO,EQ,55357,8073,14.58"
"20,244,BETA,SM,1600,1400,87.50"
"20,245,BEWLTD,SM,2000,1750,87.50"
"20,246,BFINVEST,EQ,7556,3654,48.36"
