Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,12042022,1013441532,0002101"
"Trade Date <12-APR-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,201,BAJAJHIND,EQ,13262357,6216088,46.87"
"20,202,BAJAJHLDNG,EQ,284685,71873,25.25"
"20,203,BAJFINANCE,EQ,805598,296327,36.78"
"20,204,BALAJITELE,EQ,243498,121119,49.74"
"20,205,BALAMINES,EQ,130877,51716,39.51"
"20,206,BALAXI,EQ,7957,3906,49.09"
"20,207,BALKRISHNA,EQ,23646,16149,68.29"
"20,208,BALKRISIND,EQ,564251,391777,69.43"
"20,209,BALMLAWRIE,EQ,277846,104310,37.54"
"20,210,BALPHARMA,EQ,45620,28411,62.28"
"20,211,BALRAMCHIN,EQ,3732197,563459,15.10"
"20,212,BANARBEADS,EQ,98256,37482,38.15"
"20,213,BANARISUG,EQ,3575,2934,82.07"
"20,214,BANCOINDIA,EQ,95035,57116,60.10"
"20,215,BANDHANBNK,EQ,12106526,2670602,22.06"
"20,216,BANG,EQ,129638,70403,54.31"
"20,217,BANKA,EQ,4073,2863,70.29"
"20,218,BANKBARODA,EQ,23810157,3892880,16.35"
"20,219,BANKBEES,EQ,641270,178325,27.81"
"20,220,BANKINDIA,EQ,3440331,1133965,32.96"
"20,221,BANSWRAS,EQ,36865,17838,48.39"
"20,222,BARBEQUE,EQ,131297,65969,50.24"
"20,223,BASF,EQ,22791,12293,53.94"
"20,224,BASML,EQ,130680,51000,39.03"
"20,225,BATAINDIA,EQ,288328,51975,18.03"
"20,226,BAYERCROP,EQ,8401,3766,44.83"
"20,227,BBETF0432,EQ,14228,12023,84.50"
"20,228,BBL,EQ,8278,4114,49.70"
"20,229,BBOX,EQ,14325,6408,44.73"
"20,230,BBTC,EQ,42977,16345,38.03"
"20,231,BBTCL,SM,11000,7000,63.64"
"20,232,BCONCEPTS,EQ,56610,42862,75.71"
"20,233,BCP,EQ,403455,227970,56.50"
"20,234,BDL,EQ,2894012,452587,15.64"
"20,235,BEARDSELL,EQ,33105,28644,86.52"
"20,236,BECTORFOOD,EQ,63180,27520,43.56"
"20,237,BEDMUTHA,EQ,66881,40800,61.00"
"20,238,BEL,EQ,11388982,4405989,38.69"
"20,239,BEML,EQ,143945,45519,31.62"
"20,240,BEPL,EQ,346795,168996,48.73"
"20,241,BERGEPAINT,EQ,498942,196072,39.30"
"20,242,BESTAGRO,EQ,35262,6687,18.96"
"20,243,BETA,SM,10400,8800,84.62"
"20,244,BEWLTD,SM,250,250,100.00"
"20,245,BFINVEST,EQ,16126,6628,41.10"
"20,246,BFUTILITIE,EQ,198681,62153,31.28"
"20,247,BGRENERGY,EQ,132783,64924,48.89"
"20,248,BHAGCHEM,EQ,3970,2473,62.29"
"20,249,BHAGERIA,EQ,36272,23852,65.76"
"20,250,BHAGYANGR,EQ,50612,26531,52.42"
"20,251,BHAGYAPROP,EQ,6605,5364,81.21"
"20,252,BHANDARI,EQ,263747,183345,69.52"
"20,253,BHARATFORG,EQ,962218,364534,37.88"
"20,254,BHARATGEAR,EQ,51952,15009,28.89"
"20,255,BHARATRAS,EQ,2514,1006,40.02"
"20,256,BHARATWIRE,EQ,48730,26353,54.08"
"20,257,BHARTIARTL,EQ,3904026,2138025,54.76"
"20,258,BHEL,EQ,25159871,4064303,16.15"
"20,259,BIGBLOC,EQ,413861,170310,41.15"
"20,260,BIL,EQ,3573,2259,63.22"
"20,261,BINDALAGRO,EQ,210678,94166,44.70"
"20,262,BIOCON,EQ,2291502,762053,33.26"
"20,263,BIOFILCHEM,EQ,75421,43148,57.21"
"20,264,BIRET,RR,41762,36488,87.37"
"20,265,BIRLACABLE,EQ,165061,78474,47.54"
"20,266,BIRLACORPN,EQ,105504,42622,40.40"
"20,267,BIRLAMONEY,EQ,82569,48746,59.04"
"20,268,BIRLATYRE,EQ,410899,276521,67.30"
"20,269,BLBLIMITED,EQ,219234,149702,68.28"
"20,270,BLISSGVS,EQ,304340,164501,54.05"
"20,271,BLKASHYAP,EQ,185715,103811,55.90"
"20,272,BLS,EQ,762965,376619,49.36"
"20,273,BLUEDART,EQ,5355,2135,39.87"
"20,274,BLUESTARCO,EQ,188395,74435,39.51"
"20,275,BMETRICS,SM,96000,48000,50.00"
"20,276,BODALCHEM,EQ,371104,172723,46.54"
"20,277,BOMDYEING,EQ,3147018,849375,26.99"
"20,278,BOROLTD,EQ,47750,29923,62.67"
"20,279,BORORENEW,EQ,447781,163118,36.43"
"20,280,BOSCHLTD,EQ,18977,6305,33.22"
"20,281,BPCL,EQ,2445974,1096373,44.82"
"20,282,BPL,EQ,201007,110992,55.22"
"20,283,BRIGADE,EQ,257307,111643,43.39"
"20,284,BRIGHT,SM,132000,90000,68.18"
"20,285,BRITANNIA,EQ,238043,123058,51.70"
"20,286,BRITANNIA,N2,6745,6242,92.54"
"20,287,BRITANNIA,N3,9921,9826,99.04"
"20,288,BRNL,EQ,59395,37091,62.45"
"20,289,BROOKS,EQ,29400,17955,61.07"
"20,290,BSE,EQ,1238867,445752,35.98"
"20,291,BSL,EQ,154312,58139,37.68"
"20,292,BSLGOLDETF,EQ,19063,15694,82.33"
"20,293,BSLNIFTY,EQ,63625,42046,66.08"
"20,294,BSLSENETFG,EQ,2902,2727,93.97"
"20,295,BSOFT,EQ,13785887,2588418,18.78"
"20,296,BTML,SM,2400,2400,100.00"
"20,297,BURNPUR,EQ,871654,573343,65.78"
"20,298,BUTTERFLY,EQ,29782,19325,64.89"
"20,299,BYKE,EQ,279712,132179,47.26"
"20,300,CADSYS,SM,2000,2000,100.00"
"20,301,CALSOFT,EQ,48103,38987,81.05"
"20,302,CAMLINFINE,EQ,291252,179008,61.46"
"20,303,CAMS,EQ,87151,47832,54.88"
"20,304,CANBK,EQ,6398718,1022368,15.98"
"20,305,CANFINHOME,EQ,464090,133928,28.86"
"20,306,CANTABIL,EQ,30972,7554,24.39"
"20,307,CAPACITE,EQ,146831,69515,47.34"
"20,308,CAPLIPOINT,EQ,67119,19284,28.73"
"20,309,CAPTRUST,EQ,18173,8572,47.17"
"20,310,CARBORUNIV,EQ,140664,75559,53.72"
"20,311,CAREERP,EQ,24461,14682,60.02"
"20,312,CARERATING,EQ,59444,30267,50.92"
"20,313,CARTRADE,EQ,188215,51219,27.21"
"20,314,CASTROLIND,EQ,1357452,829191,61.08"
"20,315,CCCL,EQ,1245999,940616,75.49"
"20,316,CCHHL,EQ,127254,70781,55.62"
"20,317,CCL,EQ,845645,690497,81.65"
"20,318,CDSL,EQ,548086,266448,48.61"
"20,319,CEATLTD,EQ,516070,88316,17.11"
"20,320,CEBBCO,EQ,190536,125564,65.90"
"20,321,CELEBRITY,EQ,248430,160600,64.65"
"20,322,CENTENKA,EQ,290694,93080,32.02"
"20,323,CENTEXT,EQ,633474,353580,55.82"
"20,324,CENTRALBK,EQ,3279056,1100403,33.56"
"20,325,CENTRUM,EQ,249843,150646,60.30"
"20,326,CENTUM,EQ,9478,4427,46.71"
"20,327,CENTURYPLY,EQ,163803,87781,53.59"
"20,328,CENTURYTEX,EQ,482421,104829,21.73"
"20,329,CERA,EQ,29665,12376,41.72"
"20,330,CEREBRAINT,EQ,201658,92979,46.11"
"20,331,CESC,EQ,1836991,1037081,56.46"
"20,332,CGCL,EQ,100875,33027,32.74"
"20,333,CGPOWER,EQ,1552476,810990,52.24"
"20,334,CHALET,EQ,238935,70768,29.62"
"20,335,CHAMBLFERT,EQ,6911191,972632,14.07"
"20,336,CHEMBOND,EQ,31335,24894,79.44"
"20,337,CHEMCON,EQ,48398,21483,44.39"
"20,338,CHEMPLASTS,EQ,94114,41140,43.71"
"20,339,CHENNPETRO,EQ,3131058,764963,24.43"
"20,340,CHOICEIN,EQ,87302,11097,12.71"
"20,341,CHOLAFIN,EQ,1811999,392526,21.66"
"20,342,CHOLAHLDNG,EQ,709938,640054,90.16"
"20,343,CIGNITITEC,EQ,61659,38465,62.38"
"20,344,CINELINE,EQ,202972,109830,54.11"
"20,345,CINEVISTA,EQ,459700,270859,58.92"
"20,346,CIPLA,EQ,2746930,1561194,56.83"
"20,347,CLEAN,EQ,83162,44461,53.46"
"20,348,CLEDUCATE,EQ,43441,30004,69.07"
"20,349,CLNINDIA,EQ,46043,20885,45.36"
"20,350,CLSEL,EQ,540504,216083,39.98"
"20,351,CMICABLES,EQ,70131,34634,49.38"
"20,352,CMMIPL,SM,3000,3000,100.00"
"20,353,CMSINFO,EQ,382799,221831,57.95"
"20,354,COALINDIA,EQ,18907630,4656173,24.63"
"20,355,COASTCORP,EQ,46828,20809,44.44"
"20,356,COCHINSHIP,EQ,2765913,501903,18.15"
"20,357,COFFEEDAY,EQ,1076922,702838,65.26"
"20,358,COFORGE,EQ,405695,154589,38.10"
"20,359,COLPAL,EQ,315688,223479,70.79"
"20,360,COMPINFO,EQ,291152,162131,55.69"
"20,361,COMPUSOFT,EQ,68885,38271,55.56"
"20,362,CONCOR,EQ,705951,179561,25.44"
"20,363,CONFIPET,EQ,631630,232596,36.82"
"20,364,CONSOFINVT,EQ,7844,4648,59.26"
