SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3,,,,,,,,,,
500168,GOODYEAR (I),B ,Q,1089.45,1092.35,1072,1081.25,1081.25,1083.35,1276,7268,7861466,,INE533A01012,15-Jul-22,,,,,,,,,,,,
500170,GTN INDUS   ,X ,Q,52.85,52.85,50.1,50.85,50.85,50.95,48,4810,245677,,INE537A01013,15-Jul-22,,,,,,,,,,,,
500171,GHCL LTD    ,A ,Q,641.2,647,636,644.2,645.35,639.4,1309,19698,12650760,,INE539A01019,15-Jul-22,,,,,,,,,,,,
500173,GFLLIMITED  ,B ,Q,64.7,65.75,64.6,64.8,64.8,64.8,68,1100,71265,,INE538A01037,15-Jul-22,,,,,,,,,,,,
500174,GUJ.LEASE   ,B ,Q,2.89,2.89,2.89,2.89,2.89,2.91,3,249,719,,INE540A01017,15-Jul-22,,,,,,,,,,,,
500179,HCL INFOSYS ,B ,Q,17.4,17.4,16.35,16.5,16.5,16.8,840,113614,1889062,,INE236A01020,15-Jul-22,,,,,,,,,,,,
500180,HDFC BANK   ,A ,Q,1355,1365.25,1346.65,1363.85,1363.85,1351.3,11629,248018,337022508,,INE040A01034,15-Jul-22,,,,,,,,,,,,
500182,HEROMOTOCO  ,A ,Q,2796,2814.9,2783.45,2799.55,2799.55,2792.85,1770,10980,30742306,,INE158A01026,15-Jul-22,,,,,,,,,,,,
500183,HFCL        ,A ,Q,64,68.15,63.1,67.1,67.1,63.65,7381,1192996,78476352,,INE548A01028,15-Jul-22,,,,,,,,,,,,
500184,HSCL        ,A ,Q,88.1,89.2,82.4,85.7,85.7,88.2,6693,538065,45894620,,INE019C01026,15-Jul-22,,,,,,,,,,,,
500185,HIND.CONSTN.,A ,Q,12,12.17,11.92,12.07,12.07,11.96,732,355045,4271160,,INE549A01026,15-Jul-22,,,,,,,,,,,,
500186,HIND.OIL EXP,A ,Q,165,167.25,164.35,165.7,165.7,163.25,2140,76648,12703906,,INE345A01011,15-Jul-22,,,,,,,,,,,,
500187,AGI         ,A ,Q,203.4,205.9,201.45,204.15,205.75,202.9,367,2259,458768,,INE415A01038,15-Jul-22,,,,,,,,,,,,
500188,HINDUS.ZI   ,A ,Q,287.7,287.7,283.4,285.35,285.35,283.65,5309,171996,49011468,,INE267A01025,15-Jul-22,,,,,,,,,,,,
500189,NXTDIGITAL  ,B ,Q,391,412.5,391,409.85,408,401.6,232,1747,707833,,INE353A01023,15-Jul-22,,,,,,,,,,,,
500191,HMT LTD.    ,Z ,Q,24.25,24.95,24,24.55,24.75,25,36,2897,70493,,INE262A01018,15-Jul-22,,,,,,,,,,,,
500192,PRAG BOSIMI ,XT,Q,2.38,2.47,2.28,2.37,2.45,2.38,38,11859,28594,,INE962B01011,15-Jul-22,,,,,,,,,,,,
500193,HLVLTD      ,B ,Q,9.27,9.3,9.02,9.09,9.09,9.18,109,49256,447889,,INE102A01024,15-Jul-22,,,,,,,,,,,,
500199,I.G.PETRO   ,B ,Q,597.15,602.1,583.8,587.7,585.4,598.15,274,1232,727669,,INE204A01010,15-Jul-22,,,,,,,,,,,,
500201,IND.GLYCOLS ,A ,Q,842.5,873.9,842.5,866.6,866.6,842.2,842,5455,4701931,,INE560A01015,15-Jul-22,,,,,,,,,,,,
500202,IND.LEAS.DEV,X ,Q,7.22,7.58,6.93,7.58,6.97,7.22,20,3371,25086,,INE333C01013,15-Jul-22,,,,,,,,,,,,
500206,MARGO FIN   ,X ,Q,25.1,26.7,22.5,24.1,24,26.95,41,4035,99981,,INE680B01019,15-Jul-22,,,,,,,,,,,,
500207,INDO RAMA   ,B ,Q,63.5,63.55,62.05,62.25,62.65,63.65,364,12054,753319,,INE156A01020,15-Jul-22,,,,,,,,,,,,
500209,INFOSYS LTD ,A ,Q,1440.05,1443.5,1410.9,1430.5,1430.5,1429.1,17844,227996,324699007,,INE009A01021,15-Jul-22,,,,,,,,,,,,
500210,INGERSOLL   ,A ,Q,1512.95,1685,1512.95,1629.6,1629.6,1504,2276,6916,11262443,,INE177A01018,15-Jul-22,,,,,,,,,,,,
500211,INSILCO LTD.,X ,Q,6.8,6.8,6.32,6.37,6.37,6.3,37,13295,85900,,INE901A01011,15-Jul-22,,,,,,,,,,,,
500213,INTER.TRAVEL,X ,Q,141,146,138,139.45,139,138.25,305,12992,1847912,,INE262B01016,15-Jul-22,,,,,,,,,,,,
500214,ION EXCHANGE,A ,Q,1874.8,1875,1822.8,1836.8,1836,1839.7,378,870,1604386,,INE570A01014,15-Jul-22,,,,,,,,,,,,
500215,AGRO TECH FO,A ,Q,858,860.8,854,854.75,854,858.2,17,100,85838,,INE209A01019,15-Jul-22,,,,,,,,,,,,
500219,JAIN IRRIG  ,A ,Q,34.5,34.5,32.8,34.2,34.2,34.3,2561,707035,23684346,,INE175A01038,15-Jul-22,,,,,,,,,,,,
500220,JASCH INDUST,X ,Q,176.75,176.75,171,172.05,172.6,173.3,155,8586,1477016,,INE711C01010,15-Jul-22,,,,,,,,,,,,
500223,JCT LTD     ,X ,Q,3.04,3.05,2.98,3.03,3.05,3.02,810,642859,1936272,,INE945A01026,15-Jul-22,,,,,,,,,,,,
500227,JINDAL POLYF,A ,Q,1020,1032.3,1009.7,1025.4,1025.4,1016.35,1233,5408,5531468,,INE197D01010,15-Jul-22,,,,,,,,,,,,
500228,JSWSL       ,A ,Q,578,584,569.5,576.35,576.35,584.6,3074,104568,60338742,,INE019A01038,15-Jul-22,,,,,,,,,,,,
500231,UMANG DAIR  ,B ,Q,59,59,53.95,54,54.05,53.6,430,19271,1066822,,INE864B01027,15-Jul-22,,,,,,,,,,,,
500233,KAJARIA CER.,A ,Q,991.9,999.65,982.1,992.1,997,986.65,544,2298,2273851,,INE217B01036,15-Jul-22,,,,,,,,,,,,
500234,KAKATIYA CEM,B ,Q,200.95,201.05,196.1,196.25,197.85,200.2,21,240,48128,,INE437B01014,15-Jul-22,,,,,,,,,,,,
500235,KALYANI STEL,A ,Q,299.95,301.65,296,297.95,299,297.55,122,934,278070,,INE907A01026,15-Jul-22,,,,,,,,,,,,
500236,KANELIND    ,XT,Q,2.55,2.7,2.55,2.69,2.55,2.68,32,7177,18712,,INE252C01015,15-Jul-22,,,,,,,,,,,,
500238,WHIRLPOOL   ,A ,Q,1678,1698,1665.95,1691.45,1689,1671.7,2078,8632,14548120,,INE716A01013,15-Jul-22,,,,,,,,,,,,
500239,KG DENIM    ,X ,Q,34.95,34.95,33.9,34.7,34.65,34.95,8,213,7322,,INE104A01012,15-Jul-22,,,,,,,,,,,,
500240,KINETIC ENG.,X ,Q,70.55,75,70.55,73,73.9,71.6,45,4074,299383,,INE266B01017,15-Jul-22,,,,,,,,,,,,
500241,KIRL.BROS.  ,A ,Q,316.6,317.1,311.05,313.6,315,313.95,84,480,150810,,INE732A01036,15-Jul-22,,,,,,,,,,,,
500243,KIRL INDUS  ,B ,Q,1321.7,1321.75,1305.1,1306.85,1305.1,1295.85,16,40,52570,,INE250A01039,15-Jul-22,,,,,,,,,,,,
500245,KIRL.FERROUS,A ,Q,205,205,198.3,201.15,205,202.3,544,5179,1037938,,INE884B01025,15-Jul-22,,,,,,,,,,,,
500246,ENVAIN ELECT,X ,Q,23.4,23.4,21.25,22.05,23.4,22.35,10,411,9068,,INE601C01013,15-Jul-22,,,,,,,,,,,,
500247,KOTAK MAH.BK,A ,Q,1766,1789.85,1766,1787.6,1784.65,1769,2238,25861,46056485,,INE237A01028,15-Jul-22,,,,,,,,,,,,
500248,KRIFILIND   ,XT,Q,6.12,6.12,6.12,6.12,6.12,6.44,6,830,5079,,INE073A01019,15-Jul-22,,,,,,,,,,,,
500249,KSB         ,A ,Q,1487.8,1487.8,1415.45,1430.75,1428,1454.5,199,454,653273,,INE999A01015,15-Jul-22,,,,,,,,,,,,
500250,L.G.BALKRISH,A ,Q,642,652.2,641.95,644.05,646.15,642.4,1413,9885,6400277,,INE337A01034,15-Jul-22,,,,,,,,,,,,
500251,TRENT LTD.  ,A ,Q,1177.2,1214.3,1177.2,1210.85,1206.75,1180.75,1782,22811,27414436,,INE849A01020,15-Jul-22,,,,,,,,,,,,
500252,LAXMIMACH   ,A ,Q,9680.7,9855,9622.55,9829.4,9806.05,9701.95,200,288,2812545,,INE269B01029,15-Jul-22,,,,,,,,,,,,
500253,LIC HOUS.FIN,A ,Q,357,364.05,356,360.45,360.45,358.85,1191,32344,11666561,,INE115A01026,15-Jul-22,,,,,,,,,,,,
500257,LUPIN LTD.  ,A ,Q,641,646.2,636.9,640.5,640.6,643.2,1073,14976,9610423,,INE326A01037,15-Jul-22,,,,,,,,,,,,
