Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,04072022,543878238,0002105"
"Trade Date <04-JUL-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,167,ATGL,EQ,322319,236758,73.45"
"20,168,ATLANTA,EQ,16439,8862,53.91"
"20,169,ATUL,EQ,8190,3628,44.30"
"20,170,ATULAUTO,EQ,26391,11891,45.06"
"20,171,AUBANK,EQ,2304333,691527,30.01"
"20,172,AURDIS,SM,2000,2000,100.00"
"20,173,AURIONPRO,EQ,25337,9701,38.29"
"20,174,AUROPHARMA,EQ,834130,249472,29.91"
"20,175,AURUM,EQ,80594,52583,65.24"
"20,176,AURUMPP,X1,45914,34213,74.52"
"20,177,AUSOMENT,EQ,3056,1245,40.74"
"20,178,AUTOAXLES,EQ,449442,66324,14.76"
"20,179,AUTOBEES,EQ,9207,7652,83.11"
"20,180,AUTOIND,EQ,15203,9393,61.78"
"20,181,AVADHSUGAR,EQ,28259,6838,24.20"
"20,182,AVANTIFEED,EQ,90414,45121,49.90"
"20,183,AVSL,SM,9000,6000,66.67"
"20,184,AVTNPL,EQ,66785,42137,63.09"
"20,185,AWHCL,EQ,22698,12894,56.81"
"20,186,AXISBANK,EQ,3933384,1501543,38.17"
"20,187,AXISBNKETF,EQ,677,416,61.45"
"20,188,AXISBPSETF,EQ,10560,6497,61.52"
"20,189,AXISCADES,EQ,13038,6512,49.95"
"20,190,AXISCETF,EQ,1737,1598,92.00"
"20,191,AXISGOLD,EQ,81760,61269,74.94"
"20,192,AXISHCETF,EQ,1331,1231,92.49"
"20,193,AXISNIFTY,EQ,3151,2079,65.98"
"20,194,AXISTECETF,EQ,2440,1909,78.24"
"20,195,AXITA,EQ,37354,15445,41.35"
"20,196,AYMSYNTEX,EQ,16982,9654,56.85"
"20,197,BAGFILMS,EQ,782728,650830,83.15"
"20,198,BAJAJ-AUTO,EQ,536505,267765,49.91"
"20,199,BAJAJCON,EQ,2077046,1220853,58.78"
"20,200,BAJAJELEC,EQ,258504,41516,16.06"
"20,201,BAJAJFINSV,EQ,300425,110182,36.68"
"20,202,BAJAJHCARE,EQ,13511,8153,60.34"
"20,203,BAJAJHIND,EQ,1949917,767430,39.36"
"20,204,BAJAJHLDNG,EQ,23205,7015,30.23"
"20,205,BAJFINANCE,EQ,789818,205550,26.02"
"20,206,BALAJITELE,EQ,86458,54232,62.73"
"20,207,BALAMINES,EQ,19543,8348,42.72"
"20,208,BALAXI,EQ,330,210,63.64"
"20,209,BALKRISHNA,EQ,8283,3310,39.96"
"20,210,BALKRISIND,EQ,122854,32814,26.71"
"20,211,BALMLAWRIE,EQ,41711,26437,63.38"
"20,212,BALPHARMA,EQ,4906,2876,58.62"
"20,213,BALRAMCHIN,EQ,1240649,259065,20.88"
"20,214,BANARBEADS,EQ,1126,935,83.04"
"20,215,BANARISUG,EQ,1712,967,56.48"
"20,216,BANCOINDIA,EQ,176702,78529,44.44"
"20,217,BANDHANBNK,EQ,6708705,2823595,42.09"
"20,218,BANG,EQ,31190,11723,37.59"
"20,219,BANKA,EQ,639,474,74.18"
"20,220,BANKBARODA,EQ,23659060,7663253,32.39"
"20,221,BANKBEES,EQ,372116,214814,57.73"
"20,222,BANKINDIA,EQ,1497489,663772,44.33"
