Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,23052023,966430162,0002269"
"Trade Date <23-MAY-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,150,ANMOL,EQ,85588,43882,51.27"
"20,151,ANNAPURNA,SM,104000,75000,72.12"
"20,152,ANTGRAPHIC,EQ,115660,115639,99.98"
"20,153,ANUP,EQ,18022,9813,54.45"
"20,154,ANURAS,EQ,345286,192073,55.63"
"20,155,APARINDS,EQ,51028,25514,50.00"
"20,156,APCL,EQ,7740,4465,57.69"
"20,157,APCOTEXIND,EQ,155186,64570,41.61"
"20,158,APEX,EQ,34542,17953,51.97"
"20,159,APLAPOLLO,EQ,895404,569741,63.63"
"20,160,APLLTD,EQ,150464,118013,78.43"
"20,161,APOLLO,EQ,1297787,908565,70.01"
"20,162,APOLLOHOSP,EQ,433331,194522,44.89"
"20,163,APOLLOPIPE,EQ,42496,21930,51.60"
"20,164,APOLLOTYRE,EQ,4118807,1193539,28.98"
"20,165,APOLSINHOT,EQ,2347,1504,64.08"
"20,166,APTECHT,EQ,145038,52615,36.28"
"20,167,APTUS,EQ,122924,69263,56.35"
"20,168,ARCHIDPLY,EQ,38237,27510,71.95"
"20,169,ARCHIES,EQ,87622,60671,69.24"
"20,170,ARENTERP,EQ,897,773,86.18"
"20,171,ARHAM,SM,102000,87000,85.29"
"20,172,ARIES,EQ,94876,42084,44.36"
"20,173,ARIHANTCAP,EQ,105344,54995,52.21"
"20,174,ARIHANTSUP,EQ,176486,97130,55.04"
"20,175,ARISTO,SM,4800,4800,100.00"
"20,176,ARMANFIN,EQ,3486,2007,57.57"
"20,177,AROGRANITE,EQ,21153,10845,51.27"
"20,178,ARROWGREEN,EQ,61392,42460,69.16"
"20,179,ARSHIYA,EQ,281142,198277,70.53"
"20,180,ARTEMISMED,EQ,113316,78370,69.16"
"20,181,ARTNIRMAN,EQ,7851,6745,85.91"
"20,182,ARVEE,EQ,2139,643,30.06"
"20,183,ARVIND,EQ,1883884,781367,41.48"
"20,184,ARVINDFASN,EQ,104592,66244,63.34"
"20,185,ARVSMART,EQ,60496,37487,61.97"
"20,186,ASAHIINDIA,EQ,72414,42934,59.29"
"20,187,ASAHISONG,EQ,2260,1325,58.63"
"20,188,ASAL,EQ,14629,7229,49.42"
"20,189,ASALCBR,EQ,11209,6898,61.54"
"20,190,ASHAPURMIN,EQ,457038,259562,56.79"
"20,191,ASHIANA,EQ,49123,26687,54.33"
"20,192,ASHIMASYN,EQ,11107,7254,65.31"
"20,193,ASHOKA,EQ,788735,421236,53.41"
"20,194,ASHOKLEY,EQ,10231757,6504937,63.58"
"20,195,ASIANENE,EQ,208080,178338,85.71"
"20,196,ASIANHOTNR,EQ,3080,2007,65.16"
"20,197,ASIANPAINT,EQ,581204,322631,55.51"
"20,198,ASIANTILES,EQ,888780,445253,50.10"
"20,199,ASPINWALL,EQ,17937,13138,73.25"
"20,200,ASTEC,EQ,10823,5705,52.71"
"20,201,ASTERDM,EQ,93531,40199,42.98"
"20,202,ASTRAL,EQ,685664,319041,46.53"
"20,203,ASTRAMICRO,EQ,1092442,558840,51.16"
"20,204,ASTRAZEN,EQ,5808,3895,67.06"
"20,205,ASTRON,EQ,34619,23615,68.21"
