Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,16022023,701175966,0002183"
"Trade Date <16-FEB-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,242,BALAJITELE,EQ,235755,83617,35.47"
"20,243,BALAMINES,EQ,59209,26997,45.60"
"20,244,BALAXI,EQ,1403,1163,82.89"
"20,245,BALKRISIND,EQ,230533,131694,57.13"
"20,246,BALMLAWRIE,EQ,86089,44837,52.08"
"20,247,BALPHARMA,EQ,9473,5690,60.07"
"20,248,BALRAMCHIN,EQ,1074288,265151,24.68"
"20,249,BANARBEADS,EQ,12070,5344,44.28"
"20,250,BANARISUG,EQ,208,106,50.96"
"20,251,BANCOINDIA,EQ,560857,199634,35.59"
"20,252,BANDHANBNK,EQ,5045368,1468207,29.10"
"20,253,BANG,EQ,9513,4930,51.82"
"20,254,BANKA,EQ,10960,5848,53.36"
"20,255,BANKBARODA,EQ,16113489,6015239,37.33"
"20,256,BANKBEES,EQ,443603,202590,45.67"
"20,257,BANKINDIA,EQ,5018615,1409015,28.08"
"20,258,BANSWRAS,EQ,168370,86986,51.66"
"20,259,BARBEQUE,EQ,69750,22717,32.57"
"20,260,BASF,EQ,27110,9458,34.89"
"20,261,BASML,EQ,36127,18915,52.36"
"20,262,BATAINDIA,EQ,530445,213421,40.23"
"20,263,BAYERCROP,EQ,8120,5085,62.62"
"20,264,BBETF0432,EQ,2044,1445,70.69"
"20,265,BBL,EQ,9697,3896,40.18"
"20,266,BBOX,EQ,16731,12701,75.91"
"20,267,BBTC,EQ,50749,20565,40.52"
"20,268,BBTCL,EQ,17985,10299,57.26"
"20,269,BCG,EQ,77713017,9770034,12.57"
"20,270,BCLIND,EQ,89419,37254,41.66"
"20,271,BCP,EQ,166478,108189,64.99"
"20,272,BDL,EQ,5590684,681198,12.18"
"20,273,BEARDSELL,EQ,36457,25740,70.60"
"20,274,BECTORFOOD,EQ,302496,147943,48.91"
