Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,14062023,1238105369,0002236"
"Trade Date <14-JUN-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,393,CINELINE,EQ,213350,110499,51.79"
"20,394,CINEVISTA,EQ,12496,10272,82.20"
"20,395,CIPLA,EQ,1831109,1346505,73.53"
"20,396,CLEAN,EQ,147365,92061,62.47"
"20,397,CLEDUCATE,EQ,194104,114562,59.02"
"20,398,CLOUD,SM,177000,104000,58.76"
"20,399,CLSEL,EQ,77516,35161,45.36"
"20,400,CMNL,SM,423000,297000,70.21"
"20,401,CMRSL,SM,800,800,100.00"
"20,402,CMSINFO,EQ,2216285,1091909,49.27"
"20,403,COALINDIA,EQ,7034468,4446091,63.20"
"20,404,COASTCORP,EQ,16009,10870,67.90"
"20,405,COASTPP1,E1,2,2,100.00"
"20,406,COCHINSHIP,EQ,516799,135358,26.19"
"20,407,COFFEEDAY,EQ,7648276,3032142,39.64"
"20,408,COFORGE,EQ,398730,196319,49.24"
"20,409,COLPAL,EQ,294476,167241,56.79"
"20,410,COMPINFO,EQ,7924413,2346149,29.61"
"20,411,COMPUSOFT,EQ,116092,70332,60.58"
"20,412,CONCOR,EQ,1913846,1261107,65.89"
"20,413,CONFIPET,EQ,1821365,882061,48.43"
"20,414,CONSOFINVT,EQ,31301,21572,68.92"
"20,415,CONSUMBEES,EQ,16512,11557,69.99"
"20,416,CONTI,SM,3333,3333,100.00"
"20,417,CONTROLPR,EQ,23653,13404,56.67"
"20,418,COOLCAPS,SM,2500,2250,90.00"
"20,419,CORALFINAC,EQ,30705,20252,65.96"
"20,420,CORDSCABLE,EQ,77281,44445,57.51"
"20,421,COROMANDEL,EQ,450746,229195,50.85"
"20,422,COSMOFIRST,EQ,23847,10668,44.74"
"20,423,COUNCODOS,EQ,175176,96226,54.93"
"20,424,CPSEETF,EQ,760541,617568,81.20"
"20,425,CRAFTSMAN,EQ,71846,28968,40.32"
"20,426,CRAYONS,ST,1036000,946000,91.31"
"20,427,CREATIVE,EQ,30328,11782,38.85"
"20,428,CREATIVEYE,EQ,620,620,100.00"
"20,429,CREDITACC,EQ,97419,44329,45.50"
"20,430,CREDITACC,N1,84,84,100.00"
"20,431,CREDITACC,N3,100,100,100.00"
"20,432,CREST,EQ,14822,8823,59.53"
"20,433,CRISIL,EQ,18714,7649,40.87"
"20,434,CROMPTON,EQ,2818553,1631770,57.89"
"20,435,CROWN,EQ,81656,71979,88.15"
"20,436,CSBBANK,EQ,194808,91483,46.96"
"20,437,CSLFINANCE,EQ,56997,36067,63.28"
"20,438,CTE,EQ,158421,86834,54.81"
"20,439,CUB,EQ,2619390,1604117,61.24"
"20,440,CUMMINSIND,EQ,690383,261486,37.88"
"20,441,CUPID,EQ,33120,17473,52.76"
"20,442,CYBERMEDIA,EQ,35134,26251,74.72"
"20,443,CYBERTECH,EQ,837275,295062,35.24"
"20,444,CYIENT,EQ,856839,197840,23.09"
"20,445,DAAWAT,EQ,2670224,1066200,39.93"
"20,446,DABUR,EQ,1577846,961737,60.95"
"20,447,DALBHARAT,EQ,395868,209267,52.86"
"20,448,DALMIASUG,EQ,58877,35439,60.19"
"20,449,DAMODARIND,EQ,13620,7283,53.47"
"20,450,DANGEE,EQ,23203,14430,62.19"
"20,451,DATAMATICS,EQ,338832,119565,35.29"
"20,452,DATAPATTNS,EQ,228857,84462,36.91"
"20,453,DBCORP,EQ,287316,123300,42.91"
"20,454,DBL,EQ,521556,217763,41.75"
"20,455,DBOL,EQ,135535,81389,60.05"
"20,456,DBREALTY,EQ,286934,140844,49.09"
"20,457,DBSTOCKBRO,EQ,61315,26255,42.82"
"20,458,DCAL,EQ,212848,111804,52.53"
"20,459,DCBBANK,EQ,1120265,755201,67.41"
"20,460,DCM,EQ,12724,10026,78.80"
"20,461,DCMNVL,EQ,76048,38808,51.03"
"20,462,DCMSHRIRAM,EQ,49759,34929,70.20"
"20,463,DCMSRIND,EQ,69207,44608,64.46"
"20,464,DCW,EQ,2146687,1176080,54.79"
"20,465,DCXINDIA,EQ,468957,159620,34.04"
"20,466,DECCANCE,EQ,22080,15588,70.60"
