Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,02012023,874219990,0002215"
"Trade Date <02-JAN-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,161,ARVSMART,EQ,204608,81273,39.72"
"20,162,ASAHIINDIA,EQ,72931,32573,44.66"
"20,163,ASAHISONG,EQ,4991,3429,68.70"
"20,164,ASAL,EQ,13907,5759,41.41"
"20,165,ASALCBR,EQ,19467,9697,49.81"
"20,166,ASHAPURMIN,EQ,396620,172282,43.44"
"20,167,ASHIANA,EQ,37588,19563,52.05"
"20,168,ASHIMASYN,EQ,145310,123430,84.94"
"20,169,ASHOKA,EQ,1576710,574135,36.41"
"20,170,ASHOKLEY,EQ,16056291,6398376,39.85"
"20,171,ASIANENE,EQ,12850,7826,60.90"
"20,172,ASIANHOTNR,EQ,2335,1631,69.85"
"20,173,ASIANPAINT,EQ,1015990,415605,40.91"
"20,174,ASIANTILES,EQ,235164,140702,59.83"
"20,175,ASPINWALL,EQ,5225,3102,59.37"
"20,176,ASTEC,EQ,4932,2325,47.14"
"20,177,ASTERDM,EQ,117410,58967,50.22"
"20,178,ASTRAL,EQ,224720,115106,51.22"
"20,179,ASTRAMICRO,EQ,666317,161516,24.24"
"20,180,ASTRAZEN,EQ,6205,2067,33.31"
"20,181,ASTRON,EQ,285730,184324,64.51"
"20,182,ATALREAL,SM,144000,43200,30.00"
"20,183,ATFL,EQ,2400,1254,52.25"
"20,184,ATGL,EQ,332645,77130,23.19"
"20,185,ATLANTA,EQ,18450,18449,99.99"
"20,186,ATUL,EQ,13967,4877,34.92"
"20,187,ATULAUTO,EQ,487173,113884,23.38"
"20,188,AUBANK,EQ,1586054,681787,42.99"
"20,189,AURIONPRO,EQ,22081,13885,62.88"
"20,190,AUROPHARMA,EQ,1245057,365933,29.39"
"20,191,AURUM,EQ,31857,22661,71.13"
"20,192,AURUMPP,X1,5246,5246,100.00"
"20,193,AUSOMENT,EQ,14702,9892,67.28"
"20,194,AUTOAXLES,EQ,6934,4590,66.20"
"20,195,AUTOBEES,EQ,35505,18168,51.17"
"20,196,AUTOIND,EQ,71812,46113,64.21"
"20,197,AVADHSUGAR,EQ,61329,13332,21.74"
"20,198,AVANTIFEED,EQ,74251,34605,46.61"
"20,199,AVROIND,EQ,1109103,287986,25.97"
"20,200,AVTNPL,EQ,68538,34941,50.98"
"20,201,AWHCL,EQ,113927,39618,34.77"
"20,202,AWL,EQ,1904864,837767,43.98"
"20,203,AXISBANK,EQ,3498198,1624181,46.43"
"20,204,AXISBNKETF,EQ,3543,2931,82.73"
"20,205,AXISBPSETF,EQ,19988,19456,97.34"
"20,206,AXISCADES,EQ,25863,15988,61.82"
"20,207,AXISCETF,EQ,699,697,99.71"
"20,208,AXISGOLD,EQ,62679,38335,61.16"
"20,209,AXISHCETF,EQ,3443,1764,51.23"
"20,210,AXISILVER,EQ,11114,9012,81.09"
"20,211,AXISNIFTY,EQ,3041,1817,59.75"
"20,212,AXISTECETF,EQ,2512,2118,84.32"
"20,213,AXITA,EQ,361841,125700,34.74"
"20,214,AYMSYNTEX,EQ,32476,18910,58.23"
"20,215,BAGFILMS,EQ,135831,107106,78.85"
"20,216,BAHETI,SM,291000,159000,54.64"
"20,217,BAJAJ-AUTO,EQ,471328,196019,41.59"
"20,218,BAJAJCON,EQ,363812,182881,50.27"
"20,219,BAJAJELEC,EQ,28257,12912,45.69"
"20,220,BAJAJFINSV,EQ,1061404,325301,30.65"
"20,221,BAJAJHCARE,EQ,122691,47248,38.51"
"20,222,BAJAJHIND,EQ,9088600,4556124,50.13"
"20,223,BAJAJHLDNG,EQ,141578,58891,41.60"
"20,224,BAJFINANCE,EQ,579340,105116,18.14"
"20,225,BALAJITELE,EQ,40781,19602,48.07"
"20,226,BALAMINES,EQ,67759,39800,58.74"
"20,227,BALAXI,EQ,4856,2732,56.26"
"20,228,BALKRISIND,EQ,128747,51972,40.37"
"20,229,BALMLAWRIE,EQ,320799,178067,55.51"
"20,230,BALPHARMA,EQ,29193,18305,62.70"
"20,231,BALRAMCHIN,EQ,1626810,336396,20.68"
"20,232,BANARBEADS,EQ,4575,3500,76.50"
"20,233,BANARISUG,EQ,300,198,66.00"
"20,234,BANCOINDIA,EQ,49054,20210,41.20"
"20,235,BANDHANBNK,EQ,7625641,1676138,21.98"
"20,236,BANG,EQ,243302,85286,35.05"
"20,237,BANKA,EQ,19687,8798,44.69"
"20,238,BANKBARODA,EQ,14679657,3341340,22.76"
"20,239,BANKBEES,EQ,477841,268287,56.15"
"20,240,BANKINDIA,EQ,24017164,5717374,23.81"
"20,241,BANSWRAS,EQ,55461,33886,61.10"
"20,242,BARBEQUE,EQ,24907,11915,47.84"
"20,243,BASF,EQ,8775,4465,50.88"
"20,244,BASML,EQ,38274,18905,49.39"
"20,245,BATAINDIA,EQ,198652,124276,62.56"
"20,246,BAYERCROP,EQ,12275,5789,47.16"
"20,247,BBETF0432,EQ,9346,8685,92.93"
"20,248,BBL,EQ,5738,2531,44.11"
"20,249,BBOX,EQ,15683,9867,62.92"
"20,250,BBTC,EQ,102370,40252,39.32"
"20,251,BBTCL,EQ,11241,7324,65.15"
"20,252,BCG,EQ,25134753,5642091,22.45"
"20,253,BCLIND,EQ,38369,17771,46.32"
"20,254,BCP,EQ,95100,68179,71.69"
"20,255,BDL,EQ,431159,89578,20.78"
"20,256,BEARDSELL,EQ,36860,27913,75.73"
"20,257,BECTORFOOD,EQ,135554,85157,62.82"
"20,258,BEDMUTHA,EQ,35923,16931,47.13"
"20,259,BEL,EQ,6973552,2476600,35.51"
"20,260,BEML,EQ,261207,72533,27.77"
