Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,25102022,1008109209,0002083"
"Trade Date <25-OCT-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,185,AXISGOLD,EQ,60313,37902,62.84"
"20,186,AXISHCETF,EQ,2101,1736,82.63"
"20,187,AXISILVER,EQ,5811,2171,37.36"
"20,188,AXISNIFTY,EQ,3762,2820,74.96"
"20,189,AXISTECETF,EQ,7001,2611,37.29"
"20,190,AXITA,EQ,689097,530858,77.04"
"20,191,AYMSYNTEX,EQ,230362,86972,37.75"
"20,192,BAJAJ-AUTO,EQ,351456,225360,64.12"
"20,193,BAJAJCON,EQ,207336,116264,56.08"
"20,194,BAJAJELEC,EQ,108612,38385,35.34"
"20,195,BAJAJFINSV,EQ,1870289,832294,44.50"
"20,196,BAJAJHCARE,EQ,13773,9922,72.04"
"20,197,BAJAJHIND,EQ,1737602,984418,56.65"
"20,198,BAJAJHLDNG,EQ,128602,55153,42.89"
"20,199,BAJFINANCE,EQ,909899,356276,39.16"
"20,200,BALAJITELE,EQ,47451,26031,54.86"
"20,201,BALAMINES,EQ,29700,13616,45.85"
"20,202,BALKRISHNA,EQ,11084,5105,46.06"
"20,203,BALKRISIND,EQ,230136,119173,51.78"
"20,204,BALMLAWRIE,EQ,65463,46896,71.64"
"20,205,BALPHARMA,EQ,8004,4075,50.91"
"20,206,BALRAMCHIN,EQ,733176,226344,30.87"
"20,207,BANARBEADS,EQ,2889,2174,75.25"
"20,208,BANARISUG,EQ,323,173,53.56"
"20,209,BANCOINDIA,EQ,367926,154663,42.04"
"20,210,BANDHANBNK,EQ,6966245,2144230,30.78"
"20,211,BANG,EQ,25213,11865,47.06"
"20,212,BANKA,EQ,7163,4821,67.30"
"20,213,BANKBARODA,EQ,42782169,11180410,26.13"
"20,214,BANKBEES,EQ,734938,387297,52.70"
"20,215,BANKINDIA,EQ,33792078,11545538,34.17"
"20,216,BANSWRAS,EQ,34798,29148,83.76"
"20,217,BARBEQUE,EQ,58862,22500,38.23"
"20,218,BASF,EQ,8988,4493,49.99"
"20,219,BASML,EQ,74307,50068,67.38"
"20,220,BATAINDIA,EQ,149646,82144,54.89"
"20,221,BAYERCROP,EQ,4797,2795,58.27"
"20,222,BBETF0432,EQ,781,674,86.30"
"20,223,BBL,EQ,8110,3799,46.84"
"20,224,BBOX,EQ,18983,10421,54.90"
"20,225,BBTC,EQ,84107,27608,32.82"
"20,226,BBTCL,SM,11000,11000,100.00"
"20,227,BCG,EQ,8270213,5255069,63.54"
"20,228,BCLIND,EQ,19466,11574,59.46"
"20,229,BCP,EQ,154106,102809,66.71"
"20,230,BDL,EQ,2753823,531107,19.29"
"20,231,BEARDSELL,EQ,44937,25523,56.80"
"20,232,BECTORFOOD,EQ,115732,39072,33.76"
"20,233,BEDMUTHA,EQ,7105,4727,66.53"
"20,234,BEL,EQ,13217298,6960615,52.66"
"20,235,BEML,EQ,58024,20237,34.88"
"20,236,BEPL,EQ,146681,82361,56.15"
"20,237,BERGEPAINT,EQ,754247,483059,64.05"
"20,238,BESTAGRO,EQ,209043,102760,49.16"
"20,239,BETA,SM,3200,2800,87.50"
"20,240,BEWLTD,SM,6000,4000,66.67"
"20,241,BFINVEST,EQ,11326,6247,55.16"
"20,242,BFUTILITIE,EQ,152372,44723,29.35"
"20,243,BGRENERGY,EQ,64749,27491,42.46"
"20,244,BHAGCHEM,EQ,20217,17308,85.61"
"20,245,BHAGERIA,EQ,18073,9615,53.20"
"20,246,BHAGYANGR,EQ,16705,9014,53.96"
"20,247,BHAGYAPROP,EQ,5495,4681,85.19"
"20,248,BHANDARI,EQ,165468,133038,80.40"
"20,249,BHARATFORG,EQ,3021828,1256558,41.58"
"20,250,BHARATGEAR,EQ,66130,33724,51.00"
"20,251,BHARATRAS,EQ,11530,2063,17.89"
"20,252,BHARATWIRE,EQ,133999,82052,61.23"
"20,253,BHARTIARTL,EQ,3184277,2023337,63.54"
"20,254,BHEL,EQ,133272405,34803264,26.11"
"20,255,BIGBLOC,EQ,57535,32997,57.35"
"20,256,BIL,EQ,4257,2987,70.17"
"20,257,BINDALAGRO,EQ,80818,62695,77.58"
"20,258,BIOCON,EQ,1941410,1246781,64.22"
"20,259,BIOFILCHEM,EQ,11980,7059,58.92"
"20,260,BIRET,RR,10082,7034,69.77"
"20,261,BIRLACABLE,EQ,81174,51139,63.00"
"20,262,BIRLACORPN,EQ,56826,27704,48.75"
"20,263,BIRLAMONEY,EQ,40698,28989,71.23"
"20,264,BLBLIMITED,EQ,87251,38290,43.88"
"20,265,BLISSGVS,EQ,41908,27126,64.73"
"20,266,BLKASHYAP,EQ,258670,233214,90.16"
"20,267,BLS,EQ,548194,217505,39.68"
"20,268,BLUEDART,EQ,12565,5830,46.40"
"20,269,BLUESTARCO,EQ,39981,18594,46.51"
"20,270,BMETRICS,SM,200,200,100.00"
"20,271,BODALCHEM,EQ,139166,88411,63.53"
"20,272,BOMDYEING,EQ,3911970,1160242,29.66"
"20,273,BOROLTD,EQ,332840,90500,27.19"
"20,274,BORORENEW,EQ,191252,58767,30.73"
"20,275,BOSCHLTD,EQ,8065,2857,35.42"
"20,276,BPCL,EQ,2842331,1546156,54.40"
"20,277,BPL,EQ,59223,37588,63.47"
"20,278,BRIGADE,EQ,156221,100045,64.04"
"20,279,BRIGHT,SM,42000,36000,85.71"
"20,280,BRITANNIA,EQ,228569,108546,47.49"
"20,281,BRITANNIA,N3,2130,1897,89.06"
"20,282,BRNL,EQ,49404,26865,54.38"
"20,283,BSE,EQ,1463112,414809,28.35"
"20,284,BSL,EQ,10213,5577,54.61"
"20,285,BSLGOLDETF,EQ,27158,15879,58.47"
"20,286,BSLNIFTY,EQ,40167,20021,49.84"
"20,287,BSLSENETFG,EQ,1931,1255,64.99"
"20,288,BSOFT,EQ,2799096,1034790,36.97"
"20,289,BTML,SM,138000,96000,69.57"
"20,290,BURNPUR,EQ,74643,36634,49.08"
"20,291,BUTTERFLY,EQ,4250,2182,51.34"
"20,292,BYKE,EQ,22709,14832,65.31"
"20,293,CADSYS,SM,8000,8000,100.00"
"20,294,CALSOFT,EQ,1660848,400031,24.09"
"20,295,CAMLINFINE,EQ,1888802,630897,33.40"
"20,296,CAMPUS,EQ,951037,398566,41.91"
"20,297,CAMS,EQ,112120,69617,62.09"
"20,298,CANBK,EQ,35875913,6794420,18.94"
"20,299,CANFINHOME,EQ,1084772,375922,34.65"
"20,300,CANTABIL,EQ,11981,4861,40.57"
"20,301,CAPACITE,EQ,151383,82199,54.30"
"20,302,CAPLIPOINT,EQ,34978,21820,62.38"
"20,303,CAPTRUST,EQ,4183,3080,73.63"
