Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,17122020,1033177324,0001790"
"Trade Date <17-DEC-2020>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,205,BHARTIARTL,EQ,19654749,7095595,36.10"
"20,206,BHEL,EQ,31094015,7078820,22.77"
"20,207,BIL,EQ,2913,2286,78.48"
"20,208,BINDALAGRO,EQ,80012,59849,74.80"
"20,209,BIOCON,EQ,2153719,562905,26.14"
"20,210,BIRLACABLE,EQ,94552,50890,53.82"
"20,211,BIRLACORPN,EQ,108957,60534,55.56"
"20,212,BIRLAMONEY,EQ,155205,85725,55.23"
"20,213,BIRLATYRE,EQ,200438,200437,100.00"
"20,214,BLBLIMITED,EQ,8718,7062,81.00"
"20,215,BLISSGVS,EQ,376066,59230,15.75"
"20,216,BLKASHYAP,EQ,101204,101203,100.00"
"20,217,BLS,EQ,54899,30912,56.31"
"20,218,BLUEDART,EQ,17281,13020,75.34"
"20,219,BLUESTARCO,EQ,77561,43041,55.49"
"20,220,BODALCHEM,EQ,907540,436651,48.11"
"20,221,BOMDYEING,EQ,18912197,5351526,28.30"
"20,222,BOROLTD,EQ,459630,292615,63.66"
"20,223,BORORENEW,EQ,616467,268790,43.60"
"20,224,BOSCHLTD,EQ,49405,14660,29.67"
"20,225,BPCL,EQ,6116994,1847593,30.20"
"20,226,BPL,EQ,74283,42967,57.84"
"20,227,BRFL,EQ,303800,220393,72.55"
"20,228,BRIGADE,EQ,349894,235446,67.29"
"20,229,BRIGHT,SM,27000,24000,88.89"
"20,230,BRITANNIA,EQ,488772,235122,48.10"
"20,231,BRITANNIA,N2,2585,2585,100.00"
"20,232,BRNL,EQ,287532,183901,63.96"
"20,233,BROOKS,EQ,15197,10743,70.69"
"20,234,BSE,EQ,459789,245893,53.48"
"20,235,BSELINFRA,EQ,168257,105447,62.67"
"20,236,BSHSL,EQ,1168,868,74.32"
"20,237,BSLGOLDETF,EQ,261,127,48.66"
"20,238,BSLNIFTY,EQ,964,915,94.92"
"20,239,BSLRIFS4RG,MF,5000,5000,100.00"
