Name,BSE Code,NSE Code,Industry,Current Price,Net worth,Market Capitalization,,
Black Rose Indus,514183,,Trading,145.8,136.83,743.58,,514183
Semac Consul,505368,SEMAC,Engineering - Turnkey Services,2425,109.92,740.69,,
Menon Bearings,523828,MENONBE,Bearings,132,134.52,739.19,,
Selan Expl. Tech,530075,SELAN,Oil Drilling / Allied Services,485.2,374.16,738.52,,
Haldyn Glass,515147,,Glass & Glass Products,136.75,186.68,735.05,,515147
Dhanlaxmi Bank,532180,DHANBANK,Banks - Private Sector,29,961.15,732.09,,
DMCC Speciality,506405,DMCC,Chemicals,293.55,203.32,731.99,,
Chembond Chem.,530871,CHEMBOND,Chemicals,543.55,342.79,731.36,,
Vinyas Innovativ,,VINYAS,Electronics - Components,580.8,82.23,730.92,,
Jayant Agro Org.,524330,JAYAGROGN,Chemicals,242.8,517.52,729.27,,
Essar Shipping,533704,ESSARSHPNG,Shipping,35.25,-2695.05,728.22,,
Taylormade Renew,541228,,Electric Equipment,662.05,40.22,727.43,,541228
Kirl. Electric,533193,KECL,Electric Equipment,109.4,99.01,727.22,,
Nicco Parks,526721,,Recreation / Amusement Parks,155.3,68.88,726.81,,526721
Kamdhenu,532741,KAMDHENU,Steel - Medium / Small,269.35,185.01,725.51,,
Ester Industries,500136,ESTER,Packaging,86.95,686.8,724.38,,
Elin Electronics,543725,ELIN,Electronics - Components,145.65,496.67,723.53,,
Wim Plast,526586,,Plastics Products,602.25,460.38,722.91,,526586
Visaka Industrie,509055,VISAKAIND,Cement Products,83.65,762.2,722.7,,
Plastiblends (I),523648,PLASTIBLEN,Chemicals,277.9,398.16,722.24,,
Arihant Capital,511605,ARIHANTCAP,Finance & Investments,69.15,278.68,720.5,,
Zuari Agro Chem.,534742,ZUARI,Fertilizers,170.45,1594.11,718.88,,
BGR Energy Sys.,532930,BGRENERGY,Engineering - Turnkey Services,99.75,-106.39,717.73,,
Medico Remedies,540937,MEDICO,Pharmaceuticals - Indian - Bulk Drugs & Formln,86.25,39.31,715.91,,
VLS Finance,511333,VLSFINANCE,Finance & Investments,205.85,2889.17,715.62,,
Anuh Pharma,506260,,Pharmaceuticals - Indian - Bulk Drugs,142.05,256.74,711.84,,506260
Nectar Lifesci.,532649,NECLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,31.75,1067.43,709.42,,
Quint Digital,539515,,Computers - Software - Medium / Small,150.6,204.62,709.11,,539515
Nitta Gelatin,506532,,Chemicals,779.2,309.68,707.51,,506532
Dhunseri Invest.,533336,DHUNINV,Finance & Investments,1159.2,2463.34,706.87,,
Vikas Lifecare,542655,VIKASLIFE,Trading,4.9,352.2,706.84,,
Pyramid Technopl,543969,PYRAMID,Packaging,191.3,208.11,704.76,,
Medicamen Biotec,531146,MEDICAMEQ,Pharmaceuticals - Indian - Formulations,556.65,199.9,704.53,,
Indl.& Prud.Inv.,501298,,Finance & Investments,4202,687.5,704.18,,501298
Z F Steering,505163,,Auto Ancillaries,775.55,440.09,703.42,,505163
Eldeco Housing,523329,ELDEHSG,Construction,721.55,358.61,699.65,,
Urja Global,526987,URJA,Trading,13.3,173.36,699.34,,
Waaree Tech.,539337,,Auto Ancillaries,649.4,9.25,699.28,,539337
Artson Engg.,522134,,Engineering - Turnkey Services,188.5,-1.07,695.94,,522134
Bhageria Indust.,530803,BHAGERIA,Dyes And Pigments,158.9,504.05,692.69,,
Bright Outdoor,543831,,Miscellaneous,493,103.31,686.68,,543831
Sh.Pushkar Chem.,539334,SHREEPUSHK,Dyes And Pigments,216.85,453.93,686.27,,
Maan Aluminium,532906,MAANALU,Aluminium and Aluminium Products,126.15,148.26,682.81,,
Emkay Taps & Cut,,EMKAYTOOLS,Engineering,638.35,256.79,681.2,,
FCS Software,532666,FCSSOFT,Computers - Software - Medium / Small,4,356.75,680.72,,
Salzer Electron.,517059,SALZERELEC,Electric Equipment,391.55,426.36,679.88,,
Hubtown,532799,HUBTOWN,Construction,88.35,1300.6,677.78,,
N R Agarwal Inds,516082,NRAIL,Paper,396.8,714.2,675.32,,
Shankar Lal Ram.,542232,,Trading,105.1,94.49,672.29,,542232
Moneyboxx Fin.,538446,,Finance & Investments,262.6,84.91,672.11,,538446
Apex Frozen Food,540692,APEX,Aquaculture,215.35,501.95,671.91,,
Aurum Proptech,539289,AURUM,Computers - Software - Medium / Small,132.1,196.74,671.89,,
Mallcom (India),539400,MALLCOM,Textiles - Products,1073.05,219.37,671.4,,
Andhra Petrochem,500012,,Chemicals,78.52,502.13,667.19,,500012
Niyogin Fintech,538772,,Finance & Investments,70.19,283.09,663.09,,538772
Khazanchi Jewell,543953,,Trading,267.4,161.34,661.73,,543953
Allied Digital,532875,ADSL,Computers - Software - Medium / Small,119.6,555.72,661.57,,
Systematix Corp.,526506,,Finance & Investments,509.3,105.19,661.09,,526506
Jet Airways,532617,JETAIRWAYS,Transport - Airlines,57.3,-17506.5,660.5,,
Basilic Fly Stud,,BASILIC,Entertainment / Electronic Media Software,283.85,102.32,659.67,,
GHCL Textiles,543918,GHCLTEXTIL,Textiles - Spinning - Synthetic / Blended,68.8,1369.59,658.64,,
Indo Tech.Trans.,532717,INDOTECH,Electric Equipment,608.8,180.78,656.02,,
DigiSpice Tech.,517214,DIGISPICE,Computers - Software - Medium / Small,28.2,205.46,655.3,,
Kamat Hotels,526668,KAMATHOTEL,Hotels,265.4,155.47,654.64,,
Jindal Poly Inve,536773,JPOLYINVST,Finance & Investments,618.85,2453.04,652.33,,
Mac Charles(I),507836,,Power Generation And Supply,497.65,218.47,651.92,,507836
Hindustan Media,533217,HMVL,Entertainment / Electronic Media Software,88.35,1472.06,651.17,,
Macpower CNC,,MACPOWER,Engineering,648.25,104.7,648.52,,
Oswal Green Tech,539290,OSWALGREEN,Finance & Investments,25,2482.82,642.76,,
Muthoot Cap.Serv,511766,MUTHOOTCAP,Finance & Investments,390.7,590.43,642.36,,
Singer India,505729,,Engineering,104.85,138.74,641.61,,505729
TVS Elec.,532513,TVSELECT,Computers - Hardware,343.5,99.89,640.82,,
Khadim India,540775,KHADIM,Leather / Leather Products,357.2,228.9,640.34,,
GRP,509152,GRPLTD,Miscellaneous,4795.45,151.59,637.41,,
Mirza Internatio,526642,MIRZAINT,Leather / Leather Products,45.95,546.64,635.31,,
SBC Exports,542725,SBC,Textiles - Products,30,42.54,634.71,,
Rane Brake Lin.,532987,RBL,Auto Ancillaries,820,256.41,634.16,,
Nagarjuna Fert.,539917,NAGAFERT,Fertilizers,10.6,-3002.89,633.95,,
Automotive Stamp,520119,ASAL,Auto Ancillaries,399.15,-19.59,632.83,,
Khaitan Chemical,507794,KHAICHEM,Fertilizers,65,285.65,631.63,,
Tiger Logistics,536264,,Miscellaneous,595.65,103.16,629.75,,536264
Hind.Composites,509635,HINDCOMPOS,Auto Ancillaries,425.55,948.83,628.71,,
Race Eco,537785,RACE,Trading,380.8,21.7,628.18,,
Orient Ceratech,504879,ORIENTCER,Abrasives And Grinding Wheels,52.1,264.71,624.69,,
Krishival Foods,,KRISHIVAL,Food - Processing - Indian,280,115.08,624.26,,
XT Global Infot.,531225,,Computers - Software - Medium / Small,46.83,162.75,622.69,,531225
HCL Infosystems,500179,HCL-INSYS,Computers - Hardware,18.85,-254.49,620.57,,
Arrow Greentech,516064,ARROWGREEN,Plastics Products,410,111.12,618.54,,
Indo Borax & Ch.,524342,INDOBORAX,Chemicals,192.5,272.22,616.91,,
Jaykay Enter.,500306,,Miscellaneous,105.37,170.73,615.96,,500306
Advait Infratech,543230,,Construction,603.2,58.4,615.26,,543230
Max India Ltd,543223,MAXIND,Miscellaneous,142.05,529.17,609.88,,
Reliance Communi,532712,RCOM,Telecommunications - Service Provider,2.2,-77942,608.42,,
Shreyas Shipping,520151,SHREYAS,Shipping,278.2,784.62,607.74,,
Jindal Photo,532624,JINDALPHOT,Finance & Investments,591.4,2071.82,606.82,,
Iris Clothings,,IRISDOREME,Textiles - Products,74.35,63.76,606.48,,
Axita Cotton,542285,AXITA,Textiles - Products,30.85,58.24,605.26,,
Northern Spirits,542628,,Trading,376,90.27,603.53,,542628
Lokesh Mach.,532740,LOKESHMACH,Engineering,335.4,163.03,602.08,,
Global Education,,GLOBAL,Miscellaneous,294.5,78.17,599.62,,
Ritco Logistics,542383,RITCO,Miscellaneous,245.85,164.02,598.99,,
RMC Switchgears,540358,,Electric Equipment,568,53.77,585.51,,540358
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,164.8,321.57,585.44,,
Prime Securities,500337,PRIMESECU,Finance & Investments,176.35,135.88,583.83,,
Danlaw Tech.,532329,,Electronics - Components,1198.55,45.47,583.77,,532329
Sunshield Chem.,530845,,Chemicals,792.3,72.32,582.59,,530845
Sh. Jagdamba Pol,512453,,Packaging,663.9,229.32,581.44,,512453
Natl. Peroxide,500298,,Chemicals,1010.55,910.46,580.76,,500298
Intl. Conveyors,509709,INTLCONV,Engineering,91.65,253.07,580.61,,
Osia Hyper Reta.,,OSIAHYPER,Trading,49.05,164.53,579.4,,
Star Housing Fin,539017,,Finance - Housing,74.92,112.48,578.52,,539017
3B Blackbio,532067,,Pesticides / Agrochemicals - Indian,770.25,208.35,578.31,,532067
Orient Bell,530365,ORIENTBELL,Ceramics - Tiles / Sanitaryware,398.1,309.64,577.99,,
H T Media,532662,HTMEDIA,Entertainment / Electronic Media Software,24.85,1729.48,577.72,,
Anjani Portland,518091,APCL,Cement - South India,196.75,304.75,576.49,,
Empire Inds.,509525,,Diversified - Medium / Small,960.7,285.25,576.42,,509525
Sika Interplant,523606,,Engineering,1356.85,93.94,575.3,,523606
Nikhil Adhesives,526159,,Chemicals,125,107.36,574.28,,526159
Mindteck (India),517344,MINDTECK,Computers - Software - Medium / Small,226.55,202.24,574.19,,
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,272.45,44.2,573.32,,
IM+ Capitals,511628,,Finance & Investments,574.05,351.28,568.4,,511628
Adit.Birla Money,532974,BIRLAMONEY,Finance & Investments,100.25,130.93,566.25,,
Uni Abex Alloy,504605,,Castings & Forgings,2860,99.21,564.85,,504605
Kanoria Chem.,506525,KANORICHEM,Chemicals,129.25,614.96,564.61,,
CL Educate,540403,CLEDUCATE,Miscellaneous,102.7,285.96,564.46,,
Music Broadcast,540366,RADIOCITY,Entertainment / Electronic Media Software,16.35,526.02,562.02,,
Annapurna Swadi.,,ANNAPURNA,Food - Processing - Indian,322.75,93.46,561.26,,
Cool Caps,,COOLCAPS,Plastics Products,484,42.55,559.5,,
Kilitch Drugs,524500,KILITCH,Pharmaceuticals - Indian - Formulations,347.1,167.42,558.22,,
Vertoz Advertis.,,VERTOZ,Computers - Software - Medium / Small,404.45,125.49,556.93,,
Zuari Industries,500780,ZUARIIND,Sugar,184.55,2563.05,550.95,,
Deep Energy,532760,DEEPENR,Miscellaneous,172.45,398.88,550.94,,
Ratnaveer Precis,543978,RATNAVEER,Steel - Medium / Small,113.4,237.71,550.92,,
Munjal Showa,520043,MUNJALSHOW,Auto Ancillaries,137.05,647.52,548.13,,
Windsor Machines,522029,WINDMACHIN,Engineering,84.4,273.29,546.91,,
Bajaj Steel Inds,507944,,Steel - Medium / Small,1051.25,297.66,546.65,,507944
Veefin Solutions,543931,,Computers - Software - Medium / Small,257.5,64.5,545.58,,543931
United Drilling,522014,UNIDT,Engineering,269.75,248.41,544.82,,
PTL Enterprises,509220,PTL,Miscellaneous,41.2,735.59,544.25,,
Affordable Robo.,541402,,Engineering,532.6,52.67,542.16,,541402
Bartronics India,532694,ASMS,Computers - Software - Medium / Small,17.75,528.23,540.32,,
Kriti Industries,526423,KRITI,Plastics Products,108.65,140.5,539.89,,
Zim Laboratories,541400,ZIMLAB,Pharmaceuticals - Indian - Formulations,110.8,225.99,539.65,,
Cellecor Gadgets,,CELLECOR,Trading,256.45,60,537.72,,
Nahar Poly,523391,NAHARPOLY,Packaging,217.95,802.71,536.49,,
Diamines & Chem.,500120,DIAMINESQ,Chemicals,548.15,144.07,536.46,,
Raghuvansh Agro.,538921,,Food - Processing - Indian,449.8,65.43,536.06,,538921
KSE,519421,,Food - Processing - Indian,1675,203.82,536,,519421
Ind-Swift Labs.,532305,INDSWFTLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,90.6,729.6,534.14,,
Nahar Indl. Ent.,519136,NAHARINDUS,Textiles - Cotton/Blended,124.05,935.21,534.14,,
STEL Holdings,533316,STEL,Finance & Investments,288.75,1137.52,531.4,,
Albert David,524075,ALBERTDAVD,Pharmaceuticals - Indian - Bulk Drugs & Formln,929.85,350.29,530.91,,
The Invest.Trust,530023,THEINVEST,Finance & Investments,101.7,645.4,530.8,,
B&B Triplewall,543668,BBTCL,Paper,259.1,114.74,530.65,,
Ceinsys Tech,538734,,Computers - Software - Medium / Small,343.75,211.43,530.46,,538734
Supershakti Met.,541701,,Steel - Medium / Small,460,244.58,530.16,,541701
Bedmutha Indus.,533270,BEDMUTHA,Steel - Medium / Small,163.2,107.21,529.49,,
Virtuoso Optoel.,543597,,Electronics - Components,230,97.18,525.29,,543597
Sinclairs Hotels,523023,,Hotels,192.1,134.18,521.55,,523023
RIR Power Electr,517035,,Electronics - Components,748.35,38.6,520.86,,517035
Bharat Agri Fert,531862,,Fertilizers,98.5,48.28,520.62,,531862
W S Inds.,504220,WSI,Construction,110.75,96.8,519.99,,
Donear Inds.,512519,DONEAR,Textiles - Processing,99.85,181.59,518.48,,
Vikas Ecotech,530961,VIKASECO,Plastics Products,3.8,339.96,517.03,,
Radhika Jeweltec,540125,RADHIKAJWE,Diamond Cutting / Jewellery,43.7,225.95,515.88,,
All E Tech,,ALLETEC,Computers - Software - Medium / Small,255.45,106.56,515.86,,
Sealmatic India,543782,,Engineering,569.35,84.5,515.26,,543782
Exxaro Tiles,543327,EXXARO,Ceramics - Tiles / Sanitaryware,115.05,274.48,514.53,,
Geekay Wires,,GEEKAYWIRE,Steel - Medium / Small,98.45,89,514.5,,
Scooters India,505141,,Automobiles - Scooters And 3 - Wheelers,58.9,-8.08,514.04,,505141
Chemfab Alka.,541269,CHEMFAB,Chemicals,357.7,377.08,510.43,,
Vikram Thermo,530477,,Pharmaceuticals - Indian - Bulk Drugs & Formln,162.6,102.12,509.87,,530477
Indo National,504058,NIPPOBATRY,Dry Cells,678.65,230.57,508.95,,
Newjaisa Tecch,,NEWJAISA,Trading,158,9.3,508.5,,
Kesar India,543542,,Construction,1436.8,25.67,507.25,,543542
Sarveshwar Foods,543688,SARVESHWAR,Food - Processing - Indian,5.2,243.63,507.05,,
ASM Technologies,526433,,Computers - Software - Medium / Small,461.6,73.94,506.48,,526433
Phantom Digital,,PHANTOMFX,Entertainment / Electronic Media Software,432,54.61,502.85,,
Venus Remedies,526953,VENUSREM,Pharmaceuticals - Indian - Formulations,376.4,470.98,502.42,,
Autoline Industr,532797,AUTOIND,Auto Ancillaries,129.4,80.12,502,,
Stovec Inds.,504959,,Textile Machinery,2400,168.29,501.6,,504959
Prevest Denpro,543363,,Healthcare,416.95,80.3,500.47,,543363
Starlineps Enter,540492,,Trading,115.65,26.03,499.95,,540492
Pondy Oxides,532626,POCL,Mining / Minerals / Metals,429.8,268.73,499.18,,
Newtime Infra.,531959,,Construction,29.28,75.35,498.77,,531959
Prozone Realty,534675,PROZONER,Miscellaneous,32.7,522.27,498.72,,
Banswara Syntex,503722,BANSWRAS,Textiles - Spinning - Synthetic / Blended,145.45,518.08,497.38,,
High Energy Bat.,504176,,Electric Equipment,553.25,80.11,495.93,,504176
Bharat Seats,523229,,Auto Ancillaries,157.9,153.49,495.8,,523229
Goa Carbon,509567,GOACARBON,Petrochemicals,538.35,211.96,492.54,,
Parsvnath Devl.,532780,PARSVNATH,Construction,11.3,-1102.83,491.76,,
Genus Paper & Bo,538961,GENUSPAPER,Paper,18.9,469.55,488.9,,
Tierra Agrotech,543531,,Trading,87.06,112.95,486.95,,543531
MMP Industries,,MMP,Aluminium and Aluminium Products,191.65,270.18,486.84,,
NDL Ventures,500189,NDLVENTURE,Entertainment / Electronic Media Software,144.55,62.1,486.56,,
Mazda,523792,MAZDA,Engineering,1214.45,193.93,485.21,,
MBL Infrast,533152,MBLINFRA,Construction,47.1,767.26,483.14,,
Ador Fontech,530431,,Electrodes - Welding Equipment,138,144.22,483,,530431
Oricon Enterpris,513121,ORICONENT,Packaging,30.5,1131.41,482.58,,
Nahar Capital,532952,NAHARCAP,Finance & Investments,289.65,1548.4,482.34,,
U P Hotels,509960,,Hotels,891.9,125,481.63,,509960
A.K.Capital Serv,530499,,Finance & Investments,726.95,876.54,479.79,,530499
Cybertech Sys.,532173,CYBERTECH,Computers - Software - Medium / Small,167.45,165.29,478.23,,
Pavna Industries,543915,PAVNAIND,Auto Ancillaries,392.05,67.87,477.18,,
Orbit Exports,512626,ORBTEXP,Textiles - Processing,175.95,241.31,476,,
Liberty Shoes,526596,LIBERTSHOE,Leather / Leather Products,278.45,204.16,475.13,,
Raghuvir Synth,514316,,Textiles - Processing,122.35,21.45,474.11,,514316
Aarti Surfactant,543210,AARTISURF,Chemicals,619.8,178,471.16,,
Pudumjee Paper,539785,PDMJEPAPER,Paper,49.5,422.6,470.58,,
Indo US Bio-Tech,541304,,Trading,234.4,64.52,470.02,,541304
South West Pinn.,543986,SOUTHWEST,Mining / Minerals / Metals,168,118.61,469.3,,
U. Y. Fincorp,530579,,Finance & Investments,24.53,308.51,466.65,,530579
Shree Tirupati,,TIRUPATI,Packaging,460,75.01,465.98,,
Galaxy Bearings,526073,,Bearings,1457.7,82.09,463.55,,526073
Meson Valves Ind,543982,,Trading,456.1,49.19,463.4,,543982
Vardhman Acrylic,,VARDHACRLC,Textiles - Manmade,57.55,251.99,462.49,,
Emami Realty Ltd,533218,EMAMIREAL,Construction,122.25,51.47,462.47,,
Vintage Coffee,538920,,Tea,44.07,153.93,461.43,,538920
Sigma Solve,543917,SIGMA,Computers - Software - Medium / Small,449.4,42.28,461.16,,
Cropster Agro,523105,,Packaging,184.3,25.04,460.75,,523105
Droneacharya Aer,543713,,Miscellaneous,191.85,70.27,460.22,,543713
Binny,514215,,Construction,205.7,425.53,459.12,,514215
OK Play India,526415,,Plastics Products,173.2,80.8,458.51,,526415
SPML Infra,500402,SPMLINFRA,Construction,94.35,339.36,457.59,,
NBI Indl. Fin.,,NBIFIN,Finance & Investments,1861.6,2335.61,457.36,,
Modern Insulator,515008,,Electric Equipment,97,400.56,457.3,,515008
Shreeoswal Seeds,,OSWALSEEDS,Miscellaneous,59.95,47.04,456.97,,
Advani Hotels.,523269,ADVANIHOTR,Hotels,98.75,61.22,456.84,,
Uday Jewellery,539518,,Diamond Cutting / Jewellery,207.3,73,456.51,,539518
Dolphin Offshore,522261,DOLPHIN,Oil Drilling / Allied Services,1138.55,180.58,455.39,,
Sayaji Hotels,523710,,Hotels,258.85,152.22,453.51,,523710
Haz.Multi Proj.,532467,,Construction,299,144.65,453.27,,532467
Euro Panel,,EUROBOND,Aluminium and Aluminium Products,184.65,107,452.4,,
Shivam Autotech,532776,SHIVAMAUTO,Auto Ancillaries,37.05,78.88,452.29,,
Simplex Infra,523838,SIMPLEXINF,Construction,78.6,146.55,450.27,,
Sahana Systems,,SAHANA,Computers - Software - Medium / Small,562.4,40.72,449.72,,
Goldstone Tech.,531439,GOLDTECH,Computers - Software - Medium / Small,130.1,68.53,449.57,,
GeeCee Vent.,532764,GEECEE,Construction,214.85,591.28,449.29,,
Krishna Defence,,KRISHNADEF,Diversified - Medium / Small,364.5,50.3,448.12,,
Hi-Green Carbon,,HIGREEN,Chemicals,179.3,68.39,448.07,,
DIC India,500089,DICIND,Chemicals,480.65,418.71,445.51,,
SIL Investments,521194,SILINV,Finance & Investments,418.7,1959.56,444.18,,
Sarla Performanc,526885,SARLAPOLY,Textiles - Spinning - Synthetic / Blended,53.05,408.06,443.99,,
Bharat Parenter.,541096,,Pharmaceuticals - Indian - Formulations,768.8,194.44,443.96,,541096
Essen Speciality,,ESFL,Plastics Products,213.95,85.62,442.86,,
Fermenta Biotec.,506414,,Pharmaceuticals - Indian - Bulk Drugs,150,286.57,441.46,,506414
Synergy Green,541929,SGIL,Castings & Forgings,311.2,40.91,441.45,,
Oswal Agro Mills,500317,OSWALAGRO,Trading,32.85,836.51,440.94,,
IFB Agro Inds.,507438,IFBAGRO,Breweries & Distilleries,471.45,550.61,440.69,,
Suraj Products,518075,,Steel - Sponge Iron,385.8,117.13,439.81,,518075
DU Digital,,DUGLOBAL,Miscellaneous,62.75,14.7,437.57,,
Sahyadri Industr,532841,SAHYADRI,Cement Products,399.25,352.62,437.19,,
Hitech Corp.,526217,HITECHCORP,Packaging,255.3,254.36,436.71,,
Balaxi Pharma,,BALAXI,Trading,426.6,155.47,436.42,,
Intellivate Capi,506134,,Finance & Investments,101.3,29.69,435.87,,506134
Veljan Denison,505232,,Engineering,1925.9,189.68,433.33,,505232
Rubfila Intl.,500367,,Miscellaneous,79.84,249.64,433.27,,500367
Kothari Sugars,,KOTARISUG,Sugar,52.25,276.48,433.1,,
KCP Sugar &Inds.,533192,KCPSUGIND,Sugar,38.45,431.36,432.55,,
Amal,506597,,Dyes And Pigments,349.2,67.46,431.71,,506597
Cineline India,532807,CINELINE,Entertainment / Electronic Media Software,135,139.45,431.62,,
Exhicon Events,543895,,Miscellaneous,362.7,43.53,430.72,,543895
Universus Photo,542933,UNIVPHOTO,Photographic And Allied Products,393.2,967.6,430.31,,
Wanbury,524212,WANBURY,Pharmaceuticals - Indian - Bulk Drugs,131.7,-22.26,428.46,,
Wealth First Por,,WEALTH,Finance & Investments,400,92.69,426.2,,
Plaza Wires,544003,PLAZACABLE,Cables - Power,97.2,55.61,426.12,,
Alliance Integ.,534064,,Steel - Medium / Small,36.62,-149.37,425.25,,534064
A-1 Acid,542012,,Trading,369.45,46.82,424.87,,542012
Vishal Fabrics,538598,VISHAL,Textiles - Processing,21.45,397.8,423.87,,
Shiv Aum Steels,,SHIVAUM,Trading,311.3,102.79,423.38,,
Inflame Applian.,541083,,Domestic Appliances,576.4,45.94,423.13,,541083
Kriti Nutrients,533210,KRITINUT,Solvent Extraction,83.8,153.44,423.03,,
Chemcrux Enterp.,540395,,Chemicals,285.55,66.41,422.87,,540395
Bhartiya Intl.,526666,BIL,Leather / Leather Products,338.5,390.49,421.69,,
Shyam Century,539252,SHYAMCENT,Mining / Minerals / Metals,19.8,161.76,420.3,,
Foce India,,FOCE,Trading,858,53.63,419.81,,
Varanium Cloud,,CLOUD,Computers - Software - Medium / Small,104.2,237.36,418.94,,
Paul Merchants,539113,,Finance & Investments,1358.05,538.76,418.82,,539113
Lords Chloro,500284,LORDSCHLO,Chlor Alkali / Soda Ash,166.4,167.68,417.55,,
Baroda Rayon,500270,,Construction,181.5,315.96,415.84,,500270
UFO Moviez,539141,UFO,Entertainment / Electronic Media Software,107.35,275.77,415.02,,
Sh. Rama Multi.,532310,SHREERAMA,Packaging,31.3,97.26,414.64,,
Nupur Recyclers,,NRL,Trading,90.55,81.22,414.36,,
Jay Jalaram Tech,,KORE,Trading,371.35,24.27,413.31,,
Asian Hotels (N),500023,ASIANHOTNR,Hotels,212.15,119.25,412.63,,
Shemaroo Entert.,538685,SHEMAROO,Entertainment / Electronic Media Software,151.15,596.42,411.64,,
Kaya Ltd,539276,KAYA,Personal Care - Indian,314.7,-124,411.58,,
MKVentures Cap.,514238,,Finance & Investments,1066.6,82.84,409.94,,514238
Innovators,541353,,Construction,216.5,135.37,408.49,,541353
Bharat Road,540700,BRNL,Construction,48.4,234.34,406.63,,
Goodricke Group,500166,,Tea,187.75,340.09,405.54,,500166
Last Mile Enter.,526961,,Construction,307.9,24.15,405.53,,526961
Modison,506261,MODISONLTD,Electric Equipment,124.9,195,405.3,,
Indl. Inv. Trust,501295,IITL,Finance & Investments,180.65,378.52,402.92,,
Gokul Refoils,532980,GOKUL,Solvent Extraction,40.75,326.06,402.69,,
Apollo Sindoori,,APOLSINHOT,Hotels,1542.95,127.72,401.23,,
Mangalam Industr,537800,,Finance & Investments,4.15,28.47,399.09,,537800
Dhabriya Poly.,538715,,Plastics Products,368.5,75.52,398.87,,538715
ADC India,523411,,Telecommunications - Equipment,865.65,57.51,398.2,,523411
Fredun Pharma,539730,,Pharmaceuticals - Indian - Formulations,867.7,111.38,397.42,,539730
RRIL,531307,,Construction,32.73,95.26,396.73,,531307
Kiran Vyapar,537750,,Finance & Investments,145.4,1594.87,396.72,,537750
Nandan Denim,532641,NDL,Textiles - Products,27.5,550.61,396.55,,
Trigyn Techno.,517562,TRIGYN,Computers - Software - Medium / Small,128.35,710.48,395.28,,
Zenotech Lab.,532039,,Pharmaceuticals - Indian - Formulations,64.62,86.57,394.38,,532039
BPL,500074,BPL,Electronics - Consumer,81.85,248.12,394.26,,
IL&FS Inv.Manag.,511208,IVC,Finance & Investments,12.5,195.93,393.11,,
Lyka Labs,500259,LYKALABS,Pharmaceuticals - Indian - Bulk Drugs & Formln,119.25,68.22,392.99,,
Nureca,543264,NURECA,Trading,391.85,197.04,392.19,,
Macfos,543787,,Trading,443.65,20.37,391.98,,543787
Megasoft,532408,MEGASOFT,Computers - Software - Medium / Small,53.25,193.52,391.48,,
Khoday India,507435,,Breweries & Distilleries,116.25,5.02,391.3,,507435
MIRC Electronics,500279,MIRCELECTR,Electronics - Consumer,16.9,178.22,390.76,,
TPL Plastech,526582,TPLPLASTEH,Packaging,49.9,118.62,389.83,,
PNGS Gargi FJ,543709,,Trading,404,23.54,388.97,,543709
Ruchira Papers,532785,RUCHIRA,Paper,129.75,412.06,388.13,,
Alufluoride,524634,,Chemicals,494.5,77.56,386.72,,524634
Lotus Chocolate,523475,,Food - Processing - Indian,301.15,35.8,386.67,,523475
Prime Fresh,540404,,Trading,291.5,32.84,385.97,,540404
Menon Pistons,531727,,Auto Ancillaries,75.48,127.38,384.95,,531727
Sakuma Exports,532713,SAKUMA,Trading,16.5,450.76,384.63,,
PVP Ventures,517556,PVP,Construction,14.75,140.3,383.55,,
Nath Bio-Genes,537291,NATHBIOGEN,Miscellaneous,200.8,604.56,381.69,,
Wonder Electric.,543449,WEL,Electric Equipment,287.5,60.25,381.67,,
Vinsys IT Servic,,VINSYS,Computers - Education,259,84.39,380.16,,
Crayons Advertis,,CRAYONS,Miscellaneous,155,85.73,378.66,,
Vaarad Ventures,532320,,Finance & Investments,15.15,22.59,378.6,,532320
BEW Engg,,BEWLTD,Engineering,1299.65,57.68,378.48,,
VIP Clothing,532613,VIPCLOTHNG,Textiles - Products,45.9,149.11,378.47,,
Integ. Industrie,531889,,Trading,466.5,69.9,378.05,,531889
Poddar Pigments,524570,PODDARMENT,Dyes And Pigments,356.3,293.71,377.52,,
Graviss Hospital,509546,,Hotels,53.5,177.97,377.27,,509546
TIL,505196,TIL,Engineering,375.9,-312.1,377.03,,
Kings Infra,530215,,Aquaculture,160.35,40.35,377.02,,530215
AVG Logistics,543910,AVG,Miscellaneous,317.65,102.23,376.92,,
Swiss Military,523558,,Trading,19.13,66.82,376.09,,523558
Concord Control,543619,,Electric Equipment,627.1,27.24,375.13,,543619
Swadeshi Polytex,503816,,Construction,95.85,62.89,373.81,,503816
Rama Phosphates,524037,RAMAPHO,Fertilizers,209.7,308.2,372.01,,
Kwality Pharma,539997,,Pharmaceuticals - Indian - Bulk Drugs & Formln,358.5,213.65,371.99,,539997
Praxis Home,540901,PRAXIS,Trading,29.9,8.99,370.7,,
Saakshi Medtech,,SAAKSHI,Diversified - Medium / Small,209.55,82.54,369.98,,
Mawana Sugars,523371,MAWANASUG,Sugar,94.2,345.55,369.27,,
V-Marc India,,VMARCIND,Cables - Power,162.05,85.19,369.24,,
Std. Capital Mkt,511700,,Finance & Investments,75.06,155.16,367.79,,511700
