Name,BSE Code,NSE Code,Industry,Current Price,Net worth,Market Capitalization,,
ICICI Lombard,540716,ICICIGI,Finance & Investments,1413.2,11310.74,69571.02,,
Tube Investments,540762,TIINDIA,Auto Ancillaries,3559.75,4424.34,68888.39,,
Marico,531642,MARICO,Solvent Extraction,531.25,4216,68747.45,,
CG Power & Indu.,500093,CGPOWER,Electric Equipment,448.9,2227.84,68672.76,,
Zydus Lifesci.,532321,ZYDUSLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,663.75,18732.8,67199.75,,
Berger Paints,509480,BERGEPAINT,Paints / Varnishes,572.55,4841.96,66765.06,,
JSW Energy,533148,JSWENERGY,Power Generation And Supply,405.05,19877.07,66640.76,,
HDFC AMC,541729,HDFCAMC,Finance & Investments,3116.6,6025.23,66518.44,,
I R C T C,542830,IRCTC,Travel Agencies,815.15,2845.86,65271.2,,
Info Edg.(India),532777,NAUKRI,Miscellaneous,4997.45,19713.34,64660.93,,
Colgate-Palmoliv,500830,COLPAL,Personal Care - Multinational,2369.6,1763.21,64415.12,,
Vodafone Idea,532822,IDEA,Telecommunications - Service Provider,13.1,-90942.9,63724.87,,
Bosch,500530,BOSCHLTD,Auto Ancillaries,21494.15,11588.7,63341.98,,
Max Healthcare,543220,MAXHEALTH,Healthcare,650.25,7846.02,63212.03,,
Samvardh. Mothe.,517334,MOTHERSON,Auto Ancillaries,92.2,22535.53,62485.09,,
IDFC First Bank,539437,IDFCFIRSTB,Banks - Private Sector,87.35,25951.88,61648.4,,
NHPC Ltd,533098,NHPC,Power Generation And Supply,60.35,39065.14,60631.13,,
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1032.8,28188.8,60524.53,,
Indian Hotels Co,500850,INDHOTEL,Hotels,424.25,8283.62,60267.27,,
B H E L,500103,BHEL,Electric Equipment,172,26082.46,59907.7,,
Solar Industries,532725,SOLARINDS,Chemicals,6512.35,2858.68,58994.85,,
Yes Bank,532648,YESBANK,Banks - Private Sector,20.5,39770.43,58908.04,,
Supreme Inds.,509930,SUPREMEIND,Plastics Products,4637.9,4605.31,58903.83,,
Alkem Lab,539523,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,4877.35,9842.49,58367.47,,
Muthoot Finance,533398,MUTHOOTFIN,Finance & Investments,1443.3,22180.53,57922.94,,
Lupin,500257,LUPIN,Pharmaceuticals - Indian - Bulk Drugs & Formln,1227.6,13238.74,55886.81,,
P & G Hygiene,500459,PGHH,Personal Care - Multinational,17052.85,946.03,55399.67,,
Patanjali Foods,500368,PATANJALI,Solvent Extraction,1529.45,10204.38,55313.43,,
Bharat Forge,500493,BHARATFORG,Castings & Forgings,1176.15,7012.37,54742.28,,
Persistent Sys,533179,PERSISTENT,Computers - Software - Medium / Small,6996.6,4418.67,53788.23,,
NMDC,526371,NMDC,Mining / Minerals / Metals,183.4,24487.3,53761.2,,
General Insuranc,540755,GICRE,Finance & Investments,305.5,44591.31,53655.05,,
Tata Elxsi,500408,TATAELXSI,Computers - Software - Medium / Small,8608.35,2096.37,53612.15,,
Indian Bank,532814,INDIANB,Banks - Public Sector,429.75,49506.82,53510.86,,
L&T Technology,540115,LTTS,Computers - Software - Large,5047.9,4789,53360.4,,
Cummins India,500480,CUMMINSIND,Engines,1908.65,5650.94,52883.7,,
Godrej Propert.,533150,GODREJPROP,Construction,1890.7,9458.71,52579.59,,
H P C L,500104,HINDPETRO,Refineries,364.85,45054.36,51721.76,,
P I Industries,523642,PIIND,Pesticides / Agrochemicals - Indian,3370.55,7982,51143.38,,
AU Small Finance,540611,AUBANK,Banks - Private Sector,760.05,10978.83,50800.95,,
