SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,price,,,Exch,Code,Name,"Dly
Price
Close
on Last bar


  Value","Dly
Avg(E,5)

on Last bar


  Value","Dly
Avg(E,10)

on Last bar


  Value","Dly
Avg(E,20)

on Last bar


  Value","Dly
Avg(E,50)

on Last bar


  Value","Dly
Avg(E,200)

on Last bar


  Value","Dly
Price
High
Highest In N Bars
(75)

  Value","Dly
Price
Low
Lowest In N Bars
(75)

  Value",,,,
CLSL,Crop Life Science Limited,SM,30-Aug-23,10,INE00NH01017,10,42.4,,CMRSL,N,11447,CMRSL     SM,177.6,173.52,165.15,152.4,138.51,161.2,195.5,102.9,,12,,
CMNL,Chaman Metallics Limited,SM,16-Jan-23,10,INE06PV01010,10,60.95,,COMMITTED,N,19513,COMMITTED SM,55.45,55.13,56.34,81.04,271.73,713.95,1053.15,52.3,,12,,
CMRSL,Cyber Media Research & Services Limited,SM,10-Oct-22,10,INE075Z01011,10,177.6,,CONTI,N,2531,CONTI     SM,28.85,28.99,29.04,29.48,28.99,22.25,34.4,18.1,,12,,
COMMITTED,Committed Cargo Care Limited,SM,18-Oct-23,10,INE597Z01014,10,55.45,,COOLCAPS,N,8560,COOLCAPS  SM,475,483.05,486.34,490.07,498.7,477.46,585,454,,12,,
CONTI,Continental Seeds and Chemicals Limited,SM,4-Apr-18,10,INE340Z01019,10,28.85,,CPS,N,18372,CPS       SM,424.5,423.44,430.2,435,437.01,430,,,,12,,
COOLCAPS,Cool Caps Industries Limited,SM,24-Mar-22,10,INE0HS001010,10,475,,CRAYONS,N,16419,CRAYONS   SM,158.9,157.97,159.62,159.84,155.88,145.08,181.95,129.05,,12,,
CPS,C P S Shapers Limited,SM,7-Sep-23,10,INE0QBU01012,10,424.5,,DENEERS,N,15449,DENEERS   SM,239.9,240.88,242.77,243.45,241.76,224.75,279,223,,12,,
CRAYONS,Crayons Advertising Limited,SM,2-Jun-23,10,INE0OFK01019,10,158.9,,DENTALKAR,N,16454,DENTALKARTSM,652.65,645.21,650.24,642.52,591.6,440.63,730,382.8,,12,,
DENEERS,De Neers Tools Limited,SM,11-May-23,10,INE0JWV01011,10,239.9,,DESTINY,N,6087,DESTINY   SM,35.2,37.77,38.97,39.64,35.92,23.52,56.35,16.8,,12,,
DENTALKART,Vasa Denticity Limited,SM,2-Jun-23,10,INE0N5801013,10,#N/A,,DIGIKORE,N,19138,DIGIKORE  SM,361.4,353.54,356.35,351.23,330.99,308.93,,,,12,,
DESTINY,Destiny Logistics & Infra Limited,SM,13-Oct-21,10,INE0IGO01011,10,35.2,,DKEGL,N,6249,DKEGL     SM,76,75.16,76.87,79.61,82.02,71.2,104.7,66,,12,,
DIGIKORE,Digikore Studios Limited,SM,4-Oct-23,10,INE0QJ901011,10,361.4,,DOLLEX,N,13323,DOLLEX    SM,48.9,49.92,50.35,49.74,47.24,42.4,57.9,37,,12,,
DKEGL,D.K. Enterprises Global Limited,SM,22-Oct-21,10,INE0GN101014,10,76,,DRL,N,18769,DRL       SM,13.35,12.14,11.2,10.42,9.84,14.21,13.35,5.85,,12,,
DOLLEX,Dollex Agrotech Limited,SM,28-Dec-22,10,INE0JHH01011,10,48.9,,DRONE,N,17372,DRONE     SM,148.3,152.82,156.76,158.54,152.51,143.97,177,112.2,,12,,
DRL,Dhanuka Realty Limited,SM,18-Oct-16,10,INE704V01015,10,13.35,,DUCOL,N,13766,DUCOL     SM,116.65,117.11,119.43,124.06,136.17,136.76,188,111.05,,12,,
