Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230222,501295,104,102,92.25,93.2,0.09,B 
230222,501298,44,43,1850.0,1871.5,0.8,X 
230222,501301,13097,7136,2005.15,2068.95,143.09,A 
230222,501314,2888611,2803705,2.02,2.13,56.63,X 
230222,501343,5890,5153,28.45,29.75,1.47,B 
230222,501370,437,427,116.35,122.0,0.5,X 
230222,501391,28,9,263.4,267.9,0.02,X 
230222,501421,2,2,196.9,196.9,0.0,XT
230222,501423,180,141,1254.2,1244.8,1.77,B 
230222,501425,2198,601,885.4,893.85,5.32,A 
230222,501430,12,11,705.0,705.0,0.08,X 
230222,501455,108232,50134,130.25,133.25,65.3,A 
230222,501477,818,818,185.55,176.75,1.52,XT
230222,501622,37,37,27.25,27.45,0.01,XT
230222,501700,80224,80224,62.3,59.35,49.98,XT
230222,501831,525,406,214.65,215.45,0.87,B 
230222,501833,225,225,12.2,12.65,0.03,XT
230222,501848,25415,12817,38.15,38.45,4.89,X 
230222,502015,108924,7036,13.07,13.02,0.92,X 
230222,502090,2663,1656,212.25,217.65,3.51,B 
230222,502137,622,528,465.9,467.5,2.46,B 
230222,502157,532,438,274.7,276.0,1.2,B 
230222,502168,7430,3132,173.5,174.25,5.43,B 
230222,502175,42148,17404,55.35,55.85,9.63,X 
230222,502180,4641,1528,66.35,67.15,1.01,B 
230222,502219,17126,7495,450.95,452.55,33.8,A 
230222,502250,122,122,423.0,436.0,0.52,XT
230222,502281,4494,4494,22.9,23.05,1.03,XT
230222,502294,69,69,38.0,39.4,0.03,X 
230222,502330,6335,4421,429.5,436.65,18.99,B 
230222,502355,3660,1276,2054.25,2050.6,26.21,A 
230222,502420,161726,49519,37.7,38.05,18.67,B 
230222,502445,101,101,21.9,20.9,0.02,XT
230222,502448,562110,548250,1.09,1.14,5.98,B 
230222,502450,1139,858,256.2,260.95,2.2,B 
230222,502563,11,11,2.2,2.15,0.0,Z 
230222,502587,6631,6532,58.95,58.6,3.85,X 
230222,502589,100,100,67.0,66.85,0.07,XT
230222,502820,4677,4131,77.05,76.9,3.18,B 
230222,502865,1255,674,638.25,641.8,4.3,B 
230222,502873,1471,1147,91.1,93.0,1.04,X 
230222,502901,1,1,3810.0,4010.0,0.04,X 
230222,502933,1702,1448,215.05,227.3,3.11,X 
230222,502937,57578,26212,58.8,59.45,15.41,B 
230222,502958,131,123,3785.0,3915.0,4.66,X 
230222,502986,37284,8384,313.4,313.65,26.28,A 
230222,503031,483716,336365,14.11,12.83,47.46,B 
230222,503092,231,231,22.85,22.8,0.05,X 
230222,503100,4076,2251,1301.6,1291.0,29.3,A 
230222,503101,475,350,261.3,262.35,0.91,B 
230222,503127,4,4,3700.0,3604.05,0.15,XT
230222,503162,592,259,138.0,143.15,0.36,B 
230222,503169,380,329,183.2,184.3,0.6,B 
230222,503310,12565,2559,252.65,261.2,6.47,A 
230222,503349,15,15,2511.0,2427.0,0.38,XT
230222,503624,583,366,6.31,6.09,0.02,X 
230222,503641,16,14,33.9,32.95,0.0,X 
230222,503657,12013,12013,10.14,10.56,1.22,XT
230222,503663,137639,84175,3.69,3.67,3.11,X 
230222,503669,2,2,10.78,11.34,0.0,X 
230222,503675,40275,24240,0.82,0.82,0.2,X 
230222,503722,7816,5578,138.5,145.0,7.73,B 
230222,503772,83,82,86.0,81.85,0.07,X 
230222,503776,621,621,35.55,37.3,0.22,XT
230222,503804,213,130,534.3,540.0,0.69,X 
230222,503806,39225,27673,2273.75,2320.25,629.21,A 
230222,503811,4049,2011,461.9,468.95,9.29,A 
230222,503816,12964,10281,37.85,36.05,3.89,X 
230222,503837,154,154,4.98,4.95,0.01,XT
230222,503863,103,103,11.45,11.65,0.01,XT
230222,503960,2844,1545,2555.5,2705.45,39.48,B 
230222,504000,59844,56945,67.05,67.6,38.18,B 
230222,504028,14051,12106,71.0,73.15,8.6,X 
230222,504036,107,94,195.2,201.5,0.18,B 
230222,504058,625,501,327.15,327.7,1.64,B 
230222,504067,450582,67047,286.1,293.25,191.82,A 
230222,504076,30511,26588,18.4,18.5,4.89,X 
230222,504080,353,353,404.15,405.0,1.43,XT
230222,504084,38,25,7070.4,6892.65,1.77,X 
230222,504092,2656,2656,109.85,113.35,2.92,XT
230222,504093,2110,1840,235.25,240.65,4.33,X 
230222,504112,5085,2639,592.5,601.8,15.64,B 
230222,504132,5132,3297,813.15,824.7,26.81,X 
230222,504176,12497,9512,347.95,348.4,33.1,X 
230222,504180,1109,746,28.0,27.95,0.21,X 
230222,504212,15470,10126,373.6,380.9,37.83,B 
230222,504240,3015,2493,73.05,73.7,1.82,X 
230222,504258,2549,2108,754.05,779.85,15.9,X 
230222,504273,43697,43697,10.17,10.7,4.44,Z 
230222,504286,1961,1667,72.7,66.65,1.21,B 
230222,504340,2,2,12.05,12.29,0.0,X 
230222,504341,1641,1510,44.5,43.7,0.67,X 
230222,504356,871,871,7.54,7.55,0.07,XT
230222,504378,65401,61208,4.19,4.33,2.56,X 
230222,504380,1706,1174,98.05,96.95,1.15,X 
230222,504392,11382,11382,98.5,101.6,11.21,XT
230222,504397,60,60,49.75,48.2,0.03,XT
230222,504605,1838,1522,882.0,906.9,13.42,X 
230222,504614,4702,1668,1095.1,1114.2,18.27,A 
230222,504646,97,97,249.15,264.85,0.24,X 
230222,504648,224,224,22.6,22.6,0.05,X 
230222,504697,1760,1760,1.8,1.76,0.03,Z 
230222,504731,803,803,23.0,22.65,0.18,XT
230222,504741,15669,8657,137.7,141.7,11.92,B 
230222,504786,648,622,293.25,295.1,1.82,X 
230222,504810,28751,19474,52.0,56.7,10.13,X 
230222,504840,52,50,2242.0,2290.0,1.12,X 
230222,504879,13163,10491,24.25,24.65,2.54,B 
230222,504882,132,77,4632.75,4755.6,3.57,A 
230222,504908,2911,2799,389.95,398.6,10.91,X 
230222,504918,9384,5981,877.95,885.15,52.51,A 
230222,504959,205,180,2118.95,2126.65,3.81,X 
230222,504961,2294,2294,64.1,65.65,1.47,XT
230222,504966,7547,5132,321.7,326.05,16.51,A 
230222,504973,2742,882,585.0,578.4,5.16,A 
230222,504988,51,51,706.95,710.0,0.36,X 
230222,505010,1889,1297,2430.3,2462.15,31.52,B 
230222,505036,3323,2667,782.35,793.8,20.87,X 
230222,505075,18546,14400,8.74,9.01,1.26,B 
230222,505141,3711,3711,28.4,27.45,1.05,T 
230222,505160,8120,5341,439.15,462.8,23.46,B 
230222,505163,1363,1247,413.05,422.9,5.15,X 
230222,505192,234,125,699.0,708.7,0.87,B 
230222,505196,173,173,156.95,160.2,0.27,T 
230222,505200,13619,3889,3247.85,3275.95,126.31,A 
230222,505212,3702,3702,112.5,118.25,4.16,XT
230222,505216,29,24,719.9,699.65,0.17,X 
230222,505232,1244,811,1228.0,1225.05,9.96,X 
230222,505242,814,298,2639.9,2713.25,7.87,B 
230222,505250,253,243,59.7,63.35,0.15,X 
230222,505255,4975,2802,1560.65,1576.1,43.73,A 
230222,505283,24252,20010,586.5,583.95,117.36,A 
230222,505299,7825,5364,282.45,297.5,15.15,X 
230222,505302,370,355,670.2,645.3,2.38,X 
230222,505324,14561,12113,16.45,17.0,1.99,B 
230222,505343,25000,25000,0.28,0.27,0.07,Z 
230222,505355,7630,5125,540.35,550.35,27.69,A 
230222,505358,42495,31927,95.75,95.95,30.57,X 
230222,505368,453,308,1184.25,1198.0,3.65,B 
230222,505400,3311,2656,53.5,53.6,1.42,B 
230222,505412,130,106,8530.65,8718.05,9.04,B 
230222,505509,587,311,126.7,126.6,0.39,B 
230222,505515,11854,9799,4.72,4.47,0.46,X 
230222,505523,1884910,1884910,1.23,1.27,23.18,XT
230222,505526,22928,20266,51.75,52.2,10.49,B 
230222,505533,3080,1036,657.25,680.25,6.81,A 
230222,505537,478492,105380,205.9,210.95,216.98,A 
230222,505590,200298,154734,19.65,21.45,30.41,B 
230222,505650,6281,5780,11.09,11.55,0.64,X 
