Date,NSE_Code,NSE_Volume,NSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
200210,MANAPPURAM,10251803.0,3281848.0,168.1,166.95,5516.79,EQ
200210,MANAV,4000.0,4000.0,4.9,4.7,0.2,SM
200210,MANGALAM,25123.0,15356.0,33.45,32.75,5.14,EQ
200210,MANGCHEFER,149980.0,130492.0,32.05,31.3,41.82,EQ
200210,MANGLMCEM,8046.0,4660.0,282.95,285.55,13.19,EQ
200210,MANINDS,178716.0,105105.0,58.75,57.6,61.75,EQ
200210,MANINFRA,121679.0,78123.0,31.1,31.35,24.3,EQ
200210,MANUGRAPH,1298.0,820.0,13.8,13.9,0.11,EQ
200210,MANXT50,366.0,252.0,288.6,289.5,0.73,EQ
200210,MARALOVER,1045.0,852.0,14.95,14.7,0.13,EQ
200210,MARATHON,8388.0,2825.0,89.7,91.35,2.53,EQ
200210,MARICO,1685622.0,899142.0,308.65,311.7,2775.2,EQ
200210,MARINE,10000.0,4000.0,97.5,97.35,3.9,SM
200210,MARKSANS,5903573.0,2066487.0,22.1,20.4,456.69,EQ
200210,MARSHALL,3000.0,3000.0,15.05,15.0,0.45,SM
200210,MARUTI,593773.0,146478.0,6892.9,6971.75,10096.58,EQ
200210,MASFIN,18969.0,10224.0,1127.05,1116.35,115.23,EQ
200210,MASTEK,155089.0,78219.0,417.1,452.6,326.25,EQ
200210,MATRIMONY,6631.0,5930.0,476.05,475.55,28.23,EQ
200210,MAWANASUG,71933.0,29472.0,40.85,41.55,12.04,EQ
200210,MAXINDIA,474849.0,207530.0,91.7,89.5,190.31,EQ
200210,MAXVIL,113932.0,64953.0,53.15,52.5,34.52,EQ
200210,MAYURUNIQ,35102.0,20881.0,221.55,224.75,46.26,EQ
200210,MAZDA,4860.0,2867.0,499.35,504.25,14.32,EQ
200210,MBLINFRA,32607.0,30092.0,4.8,4.4,1.44,EQ
200210,MCDOWELL-N,2604922.0,508993.0,687.9,676.65,3501.36,EQ
200210,MCL,260400.0,202800.0,75.0,92.3,152.1,SM
200210,MCLEODRUSS,205701.0,127334.0,4.9,5.0,6.24,EQ
200210,MCX,153874.0,60734.0,1234.5,1263.65,749.76,EQ
200210,MEGASOFT,24861.0,16523.0,8.05,7.9,1.33,EQ
200210,MEGH,2174671.0,694123.0,58.8,56.9,408.14,EQ
200210,MENONBE,9319.0,8579.0,55.7,57.55,4.78,EQ
200210,MEP,654642.0,516187.0,39.65,38.2,204.67,EQ
200210,MERCATOR,428174.0,428174.0,0.8,0.85,3.43,EQ
200210,METALFORGE,27141.0,18961.0,4.85,5.0,0.92,EQ
200210,METROPOLIS,37991.0,23047.0,1616.55,1660.5,372.57,EQ
200210,MFSL,403602.0,77675.0,478.2,479.65,371.44,EQ
200210,MGEL,2000.0,2000.0,53.1,54.05,1.06,SM
200210,MGL,1219428.0,187636.0,1195.45,1198.5,2243.09,EQ
200210,MHHL,6000.0,3000.0,20.0,20.2,0.6,SM
200210,MHRIL,23178.0,11968.0,226.05,228.95,27.05,EQ
200210,MIDHANI,174923.0,69383.0,163.9,163.55,113.72,EQ
200210,MINDACORP,328842.0,178511.0,111.3,110.65,198.68,EQ
200210,MINDAIND,78519.0,47642.0,377.45,382.2,179.82,EQ
200210,MINDTECK,3436.0,1964.0,26.55,26.35,0.52,EQ
200210,MINDTREE,535026.0,125596.0,920.3,921.8,1155.86,EQ
200210,MIRCELECTR,99173.0,62030.0,9.1,9.3,5.64,EQ
200210,MIRZAINT,94262.0,57096.0,56.9,56.95,32.49,EQ
200210,M&M,9648880.0,2540595.0,528.4,569.1,13424.5,EQ
200210,M&MFIN,1227562.0,627603.0,394.25,398.05,2474.32,EQ
200210,MMFL,1931.0,1150.0,431.7,432.4,4.96,EQ
200210,MMP,3406.0,3001.0,105.7,108.0,3.17,EQ
200210,MMTC,626030.0,309135.0,19.45,19.9,60.13,EQ
200210,MOHITIND,3359.0,2859.0,3.45,3.45,0.1,EQ
200210,MOIL,86705.0,50911.0,148.85,152.05,75.78,EQ
200210,MOLDTECH,3054.0,3018.0,47.45,46.3,1.43,EQ
200210,MOLDTKPAC,18555.0,13070.0,265.6,268.95,34.71,EQ
200210,MONTECARLO,9888.0,4902.0,264.15,270.95,12.95,EQ
200210,MORARJEE,3202.0,1676.0,14.65,15.0,0.25,EQ
200210,MOREPENLAB,400165.0,247824.0,14.2,14.35,35.19,EQ
200210,MOTHERSUMI,41957029.0,10190079.0,124.75,132.3,12712.12,EQ
200210,MOTILALOFS,37877.0,16071.0,789.7,808.75,126.91,EQ
200210,MOTOGENFIN,1055.0,646.0,30.6,30.55,0.2,EQ
200210,MPHASIS,193759.0,165052.0,930.05,937.4,1535.07,EQ
200210,MPSLTD,8096.0,5930.0,353.25,363.15,20.95,EQ
200210,MPTODAY,2000.0,2000.0,22.1,21.05,0.44,SM
200210,MRF,29310.0,2723.0,73247.9,70960.45,1994.54,EQ
200210,MRPL,205940.0,89010.0,42.9,43.05,38.19,EQ
200210,MSPL,4161.0,3008.0,6.45,6.5,0.19,EQ
200210,MSTCLTD,650267.0,259717.0,140.9,142.85,365.94,EQ
200210,MTEDUCARE,31079.0,23097.0,14.2,14.2,3.28,EQ
200210,MTNL,878432.0,364881.0,10.85,11.25,39.59,EQ
200210,MUKANDENGG,3271.0,2292.0,11.8,12.05,0.27,EQ
200210,MUKANDLTD,15328.0,11573.0,28.45,29.8,3.29,EQ
200210,MUKTAARTS,6636.0,4705.0,36.85,38.05,1.73,EQ
200210,MUNJALAU,152730.0,79119.0,48.2,49.9,38.14,EQ
200210,MUNJALSHOW,10195.0,5076.0,126.2,128.0,6.41,EQ
200210,MURUDCERA,55614.0,35282.0,18.3,18.5,6.46,EQ
200210,MUTHOOTCAP,9931.0,7370.0,558.75,582.05,41.18,EQ
200210,MUTHOOTFIN,315966.0,107687.0,760.3,760.95,818.74,EQ
200210,N100,11050.0,8755.0,662.69,666.58,58.02,EQ
200210,NACLIND,179912.0,130103.0,33.75,34.95,43.91,EQ
200210,NAGREEKCAP,7645.0,5992.0,7.3,7.2,0.44,EQ
200210,NAGREEKEXP,8275.0,5533.0,13.75,13.75,0.76,EQ
200210,NAHARCAP,1004.0,554.0,78.3,78.4,0.43,EQ
200210,NAHARINDUS,3924.0,1983.0,25.0,26.1,0.5,EQ
200210,NAHARPOLY,4310.0,3316.0,34.75,36.05,1.15,EQ
200210,NAHARSPING,3424.0,2829.0,43.6,44.5,1.23,EQ
200210,NAM-INDIA,4373497.0,1591559.0,388.05,379.0,6176.04,EQ
200210,NATCOPHARM,735852.0,140908.0,717.65,700.85,1011.23,EQ
200210,NATHBIOGEN,4645.0,3334.0,327.0,324.3,10.9,EQ
200210,NATIONALUM,10922663.0,5823638.0,43.25,45.1,2518.72,EQ
200210,NAUKRI,137020.0,62022.0,3013.75,3078.3,1869.19,EQ
200210,NAVINFLUOR,23461.0,12609.0,1144.15,1140.2,144.27,EQ
