Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230420,500547,278211,213697,343.65,341.95,734.37,A 
230420,500550,34214,30105,3271.05,3261.95,984.75,A 
230420,500570,524346,172316,476.8,468.95,821.6,A 
230420,500575,420166,366557,867.25,851.45,3178.97,A 
230420,500620,7171,3824,647.75,641.3,24.77,A 
230420,500645,31962,10555,599.35,615.95,63.26,A 
230420,500650,1058,651,882.4,866.05,5.74,B 
230420,500655,5220,3359,583.75,582.55,19.61,B 
230420,500660,2780,2097,1234.8,1246.25,25.89,A 
230420,500670,95301,9103,531.85,534.0,48.41,A 
230420,500672,127,102,583.25,584.65,0.59,B 
230420,500674,1204,752,5978.0,5965.4,44.95,A 
230420,500680,869,667,3772.95,3760.25,25.17,A 
230420,500690,33454,7776,125.35,125.4,9.75,A 
230420,500696,24094,8815,2493.0,2525.55,219.76,A 
230420,500710,1393,799,2312.0,2313.0,18.47,A 
230420,500730,40998,10037,214.5,214.0,21.53,A 
230420,500770,86604,46117,942.6,933.15,434.7,A 
230420,500777,8052,4468,77.99,77.08,3.48,B 
230420,500780,4213,3283,126.15,124.05,4.14,B 
230420,500790,809,336,20472.05,20604.6,68.79,A 
230420,500800,38760,23903,703.3,701.0,168.11,A 
230420,500820,41941,29606,2843.85,2809.0,841.95,A 
230420,500825,5718,2458,4255.85,4297.55,104.61,A 
230420,500830,3088,1926,1534.9,1528.6,29.56,A 
230420,500840,51853,21228,171.3,169.75,36.36,A 
230420,500850,168535,96555,335.05,330.55,323.51,A 
230420,500870,22377,12583,115.8,116.85,14.57,A 
230420,500875,138815,50755,400.3,398.4,203.17,A 
230420,500877,68504,25014,334.7,332.6,83.72,A 
230420,500878,6290,2634,1409.5,1428.1,37.13,A 
230420,500890,186,186,60.5,62.61,0.11,T 
230420,500940,49802,26847,164.25,166.35,44.1,A 
230420,501150,23938,18104,18.48,18.99,3.35,B 
230420,501295,24612,22810,86.0,86.0,19.62,B 
230420,501298,28,28,1915.2,1933.8,0.54,X 
230420,501301,2978,1455,2064.7,2072.5,30.04,A 
230420,501311,815,808,6.97,7.33,0.06,X 
230420,501314,180042,180042,2.17,2.28,3.91,XT
230420,501343,3605,3605,32.41,31.83,1.17,T 
230420,501351,1,1,90.0,94.25,0.0,XT
230420,501391,100,72,250.0,251.25,0.18,X 
230420,501421,1,1,201.5,191.95,0.0,XT
230420,501423,131,91,1006.0,1011.5,0.92,B 
230420,501425,3449,1675,913.85,923.65,15.31,A 
230420,501430,1659,965,716.55,706.0,6.91,X 
230420,501455,96158,62481,135.7,135.6,84.79,A 
230420,501622,304,304,33.84,32.23,0.1,XT
230420,501700,3538,2336,53.04,52.24,1.24,X 
230420,501831,753,640,208.6,212.2,1.34,B 
230420,501833,2759,2759,14.1,13.84,0.39,XT
230420,501848,26820,23820,29.23,27.86,6.96,X 
230420,502015,103591,10343,12.05,11.86,1.25,X 
230420,502090,5076,2675,194.8,193.9,5.21,B 
