Company Name,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Code,BSE_Code,Segment
Bombay Metrics Supply Chain Lt,5600,123.75,126.5,6.93,BMETRICS,,SM
Bright Solar Ltd.,108000,5.4,5.3,5.832,BRIGHT,,SM
Cadsys India Ltd.,26000,256.5,274.5,66.69,CADSYS,,SM
Cell Point (India) Ltd.,18000,50.0,50.0,9.0,CELLPOINT,,SM
Chaman Metallics Ltd.,36000,70.95,69.25,25.542,CMNL,,SM
CMM Infraprojects Ltd.,6000,3.5,3.5,0.21,CMMIPL,,ST
Continental Seeds and Chemical,6666,29.95,31.5,1.9964669999999998,CONTI,,SM
Cool Caps Industries Ltd.,2250,497.95,494.45,11.203875,COOLCAPS,,SM
Crayons Advertising Ltd.,12000,150.0,150.0,18.0,CRAYONS,,SM
Cyber Media Research & Service,800,128.0,124.8,1.024,CMRSL,,SM
DE Neers Tools Ltd.,2400,233.2,233.2,5.5968,DENEERS,,SM
Destiny Logistics & Infra Ltd.,72000,43.35,41.6,31.212,DESTINY,,ST
Dollex Agrotech Ltd.,28000,40.05,41.9,11.214,DOLLEX,,SM
Drone Destination Ltd.,32000,130.3,131.55,41.696000000000005,DRONE,,SM
DU Digital Global Ltd.,12500,59.9,59.95,7.4875,DUGLOBAL,,SM
Ducol Organics & Colours Ltd.,9600,170.1,163.15,16.3296,DUCOL,,SM
Dynamic Services & Security Lt,258000,107.55,102.45,277.479,DYNAMIC,,SM
Emkay Taps And Cutting Tools L,1800,510.0,500.0,9.18,EMKAYTOOLS,,SM
Essen Speciality Films Ltd.,97200,145.25,145.5,141.183,ESFL,,SM
Euro Panel Products Ltd.,4000,144.65,145.5,5.786,EUROBOND,,SM
Felix Industries Ltd.,25000,99.8,109.95,24.95,FELIX,,SM
Fidel Softech Ltd.,18000,133.45,130.0,24.021,FIDEL,,SM
Foce India Ltd.,2200,896.0,845.0,19.712,FOCE,,SM
Frog Cellsat Ltd.,18400,229.3,229.8,42.1912,FROG,,SM
Gayatri Rubbers and Chemicals ,8000,107.8,107.5,8.624,GRCL,,ST
Giriraj Civil Developers Ltd.,1200,1809.0,1735.0,21.708,GIRIRAJ,,SM
Global Pet Industries Ltd.,48000,79.85,78.75,38.327999999999996,GLOBALPET,,SM
Globe International Carriers L,45000,67.55,64.35,30.3975,GICL,,SM
Globesecure Technologies Ltd.,2000,101.0,102.0,2.02,GSTL,,SM
Goldstar Power Ltd.,45000,19.25,18.35,8.6625,GOLDSTAR,,SM
Greenchef Appliances Ltd.,27200,113.85,112.95,30.9672,GREENCHEF,,SM
Homesfy Realty Ltd.,1500,426.0,419.0,6.39,HOMESFY,,SM
Infinium Pharmachem Ltd.,12000,257.9,252.45,30.947999999999997,INFINIUM,,SM
Infollion Research Services Lt,32000,189.6,189.0,60.672,INFOLLION,,SM
Innovana Thinklabs Ltd.,400,541.4,556.0,2.1656,INNOVANA,,SM
Innovative Tyres & Tubes Ltd.,42000,6.1,6.4,2.562,INNOVATIVE,,SM
Integrated Personnel Services ,2000,125.0,128.9,2.5,IPSL,,SM
Ishan International Ltd.,4800,35.25,33.95,1.692,ISHAN,,SM
Jainam Ferro Alloys (I) Ltd.,7000,128.25,135.0,8.9775,JAINAM,,SM
Jalan Transolutions (India) Lt,27000,4.5,4.7,1.215,JALAN,,SM
Jay Jalaram Technologies Ltd.,4000,321.0,314.0,12.84,KORE,,SM
Jeena Sikho Lifecare Ltd.,6000,1121.95,1083.0,67.317,JSLL,,SM
Jet Knitwears Ltd.,1500,105.0,109.0,1.575,JETKNIT,,SM
JFL Life Sciences Ltd.,8000,49.4,47.95,3.952,JFLLIFE,,SM
Kck Industries Ltd.,4000,27.5,27.0,1.1,KCK,,SM
KHFM Hospitality and Facility ,9300,52.7,52.85,4.9011,KHFM,,SM
KN Agri Resources Ltd.,6400,140.0,139.0,8.96,KNAGRI,,SM
Kore Digital Ltd.,3200,312.0,302.4,9.984,KDL,,SM
Kotyark Industries Ltd.,12000,806.9,812.65,96.828,KOTYARK,,SM
Krishca Strapping Solutions Lt,8000,223.0,227.0,17.84,KRISHCA,,SM
Krishna Defence and Allied Ind,4000,287.4,287.0,11.496,KRISHNADEF,,SM
Laxmi Goldorna House Ltd.,8000,119.5,116.5,9.56,LGHL,,SM
Le Merite Exports Ltd.,8000,48.5,46.85,3.88,LEMERITE,,SM
Lead Reclaim And Rubber Produc,24000,48.05,50.1,11.532,LRRPL,,SM
Magson Retail & Distribution L,14000,83.95,85.35,11.753,MAGSON,,SM
